x_in,y_in,x_d,y_d
1.103883,0.276988,-0.236929,0.971527
1.106516,0.278345,-0.239357,0.970932
1.109149,0.279708,-0.241784,0.970330
1.111782,0.281077,-0.244209,0.969723
1.114414,0.282451,-0.246632,0.969109
1.117047,0.283831,-0.249054,0.968490
1.119678,0.285217,-0.251475,0.967864
1.122310,0.286608,-0.253894,0.967232
1.124941,0.288005,-0.256311,0.966594
1.127571,0.289408,-0.258727,0.965951
1.130201,0.290817,-0.261141,0.965301
1.132831,0.292232,-0.263553,0.964645
1.135460,0.293652,-0.265964,0.963983
1.138088,0.295078,-0.268373,0.963315
1.140716,0.296510,-0.270780,0.962641
1.143343,0.297948,-0.273186,0.961961
1.145970,0.299391,-0.275590,0.961275
1.148596,0.300841,-0.277993,0.960583
1.151221,0.302296,-0.280393,0.959885
1.153846,0.303757,-0.282792,0.959181
1.156469,0.305224,-0.285189,0.958471
1.159092,0.306697,-0.287584,0.957755
1.161714,0.308175,-0.289978,0.957033
1.164335,0.309660,-0.292370,0.956305
1.166956,0.311150,-0.294759,0.955572
1.169575,0.312646,-0.297147,0.954832
1.172193,0.314148,-0.299534,0.954086
1.174811,0.315656,-0.301918,0.953334
1.177427,0.317169,-0.304300,0.952576
1.180042,0.318689,-0.306681,0.951812
1.182657,0.320214,-0.309059,0.951043
1.185270,0.321745,-0.311436,0.950267
1.187882,0.323282,-0.313811,0.949486
1.190492,0.324825,-0.316183,0.948698
1.193102,0.326374,-0.318554,0.947905
1.195710,0.327929,-0.320923,0.947105
1.198317,0.329489,-0.323290,0.946300
1.200923,0.331056,-0.325654,0.945489
1.203528,0.332628,-0.328017,0.944672
1.206131,0.334206,-0.330378,0.943849
1.208732,0.335790,-0.332736,0.943020
1.211333,0.337380,-0.335093,0.942185
1.213932,0.338976,-0.337447,0.941344
1.216529,0.340577,-0.339799,0.940498
1.219125,0.342185,-0.342150,0.939645
1.221719,0.343798,-0.344498,0.938787
1.224312,0.345418,-0.346844,0.937923
1.226903,0.347043,-0.349187,0.937053
1.229492,0.348674,-0.351529,0.936177
1.232080,0.350311,-0.353868,0.935295
1.234666,0.351954,-0.356205,0.934408
1.237250,0.353603,-0.358540,0.933514
1.239833,0.355257,-0.360873,0.932615
1.242414,0.356918,-0.363203,0.931710
1.244993,0.358584,-0.365531,0.930799
1.247570,0.360256,-0.367857,0.929882
1.250145,0.361935,-0.370181,0.928960
1.252719,0.363619,-0.372502,0.928031
1.255290,0.365309,-0.374821,0.927097
1.257860,0.367004,-0.377138,0.926157
1.260427,0.368706,-0.379452,0.925212
1.262993,0.370414,-0.381764,0.924260
1.265556,0.372127,-0.384073,0.923303
1.268118,0.373846,-0.386380,0.922340
1.270677,0.375572,-0.388685,0.921371
1.273234,0.377303,-0.390987,0.920396
1.275789,0.379040,-0.393287,0.919416
1.278342,0.380782,-0.395584,0.918430
1.280892,0.382531,-0.397879,0.917438
1.283440,0.384285,-0.400171,0.916440
1.285986,0.386046,-0.402461,0.915437
1.288530,0.387812,-0.404748,0.914428
1.291071,0.389584,-0.407033,0.913413
1.293610,0.391362,-0.409315,0.912393
1.296147,0.393146,-0.411595,0.911367
1.298681,0.394936,-0.413872,0.910335
1.301212,0.396731,-0.416147,0.909297
1.303741,0.398532,-0.418419,0.908254
1.306268,0.400339,-0.420688,0.907205
1.308792,0.402153,-0.422955,0.906151
1.311313,0.403971,-0.425219,0.905091
1.313832,0.405796,-0.427480,0.904025
1.316348,0.407627,-0.429739,0.902953
1.318862,0.409463,-0.431995,0.901876
1.321373,0.411305,-0.434248,0.900793
1.323881,0.413153,-0.436499,0.899705
1.326386,0.415007,-0.438747,0.898611
1.328889,0.416866,-0.440992,0.897511
1.331389,0.418732,-0.443234,0.896406
1.333886,0.420603,-0.445474,0.895295
1.336380,0.422480,-0.447711,0.894178
1.338871,0.424363,-0.449945,0.893056
1.341359,0.426251,-0.452176,0.891929
1.343845,0.428146,-0.454405,0.890795
1.346327,0.430046,-0.456630,0.889657
1.348806,0.431952,-0.458853,0.888512
1.351283,0.433863,-0.461073,0.887362
1.353756,0.435781,-0.463290,0.886207
1.356226,0.437704,-0.465504,0.885046
1.358693,0.439633,-0.467715,0.883879
1.361157,0.441568,-0.469923,0.882707
1.363618,0.443508,-0.472128,0.881530
1.366075,0.445455,-0.474331,0.880347
1.368530,0.447407,-0.476530,0.879158
1.370981,0.449364,-0.478727,0.877964
1.373428,0.451328,-0.480920,0.876765
1.375873,0.453297,-0.483110,0.875559
1.378314,0.455272,-0.485298,0.874349
1.380752,0.457253,-0.487482,0.873133
1.383186,0.459239,-0.489663,0.871912
1.385617,0.461231,-0.491842,0.870685
1.388045,0.463229,-0.494017,0.869452
1.390469,0.465232,-0.496189,0.868215
1.392890,0.467241,-0.498358,0.866971
1.395307,0.469256,-0.500524,0.865723
1.397720,0.471277,-0.502687,0.864469
1.400130,0.473303,-0.504846,0.863209
1.402537,0.475335,-0.507003,0.861945
1.404939,0.477372,-0.509156,0.860674
1.407338,0.479416,-0.511306,0.859399
1.409734,0.481464,-0.513453,0.858118
1.412125,0.483519,-0.515597,0.856832
1.414513,0.485579,-0.517737,0.855540
1.416898,0.487645,-0.519874,0.854243
1.419278,0.489716,-0.522008,0.852940
1.421655,0.491793,-0.524139,0.851633
1.424027,0.493876,-0.526266,0.850320
1.426396,0.495964,-0.528390,0.849001
1.428761,0.498058,-0.530511,0.847678
1.431122,0.500158,-0.532629,0.846349
1.433479,0.502263,-0.534743,0.845015
1.435833,0.504374,-0.536854,0.843675
1.438182,0.506490,-0.538961,0.842330
1.440527,0.508612,-0.541066,0.840980
1.442868,0.510739,-0.543166,0.839625
1.445205,0.512872,-0.545264,0.838265
1.447538,0.515011,-0.547358,0.836899
1.449867,0.517155,-0.549448,0.835528
1.452192,0.519304,-0.551535,0.834152
1.454512,0.521460,-0.553619,0.832770
1.456829,0.523620,-0.555699,0.831383
1.459141,0.525787,-0.557776,0.829992
1.461449,0.527958,-0.559849,0.828595
1.463752,0.530136,-0.561919,0.827192
1.466051,0.532318,-0.563985,0.825785
1.468346,0.534507,-0.566048,0.824372
1.470637,0.536701,-0.568107,0.822955
1.472923,0.538900,-0.570163,0.821532
1.475205,0.541105,-0.572215,0.820104
1.477483,0.543315,-0.574263,0.818671
1.479756,0.545531,-0.576308,0.817233
1.482024,0.547752,-0.578349,0.815789
1.484288,0.549978,-0.580387,0.814341
1.486548,0.552210,-0.582421,0.812887
1.488803,0.554448,-0.584451,0.811429
1.491053,0.556691,-0.586478,0.809965
1.493299,0.558939,-0.588501,0.808496
1.495540,0.561193,-0.590521,0.807023
1.497777,0.563452,-0.592536,0.805544
1.500008,0.565717,-0.594548,0.804060
1.502236,0.567987,-0.596557,0.802571
1.504458,0.570263,-0.598561,0.801077
1.506676,0.572543,-0.600562,0.799578
1.508889,0.574830,-0.602559,0.798074
1.511097,0.577121,-0.604552,0.796565
1.513300,0.579418,-0.606542,0.795052
1.515499,0.581720,-0.608528,0.793533
1.517693,0.584028,-0.610509,0.792009
1.519881,0.586341,-0.612488,0.790480
1.522065,0.588659,-0.614462,0.788947
1.524244,0.590983,-0.616432,0.787408
1.526418,0.593312,-0.618399,0.785864
1.528587,0.595647,-0.620362,0.784316
1.530751,0.597986,-0.622320,0.782763
1.532911,0.600331,-0.624275,0.781204
1.535064,0.602681,-0.626226,0.779641
1.537213,0.605037,-0.628174,0.778073
1.539357,0.607398,-0.630117,0.776500
1.541496,0.609764,-0.632056,0.774923
1.543629,0.612135,-0.633991,0.773340
1.545758,0.614512,-0.635923,0.771753
1.547881,0.616894,-0.637850,0.770160
1.549999,0.619281,-0.639774,0.768563
1.552112,0.621673,-0.641693,0.766962
1.554219,0.624071,-0.643608,0.765355
1.556321,0.626474,-0.645520,0.763744
1.558418,0.628882,-0.647427,0.762127
1.560510,0.631295,-0.649330,0.760506
1.562596,0.633713,-0.651230,0.758881
1.564677,0.636137,-0.653125,0.757250
1.566752,0.638566,-0.655016,0.755615
1.568822,0.641000,-0.656903,0.753975
1.570887,0.643439,-0.658786,0.752331
1.572946,0.645883,-0.660665,0.750681
1.575000,0.648333,-0.662539,0.749027
1.577048,0.650788,-0.664410,0.747369
1.579091,0.653247,-0.666276,0.745705
1.581128,0.655712,-0.668138,0.744037
1.583159,0.658183,-0.669996,0.742365
1.585185,0.660658,-0.671850,0.740687
1.587205,0.663138,-0.673700,0.739005
1.589220,0.665623,-0.675545,0.737319
1.591229,0.668114,-0.677386,0.735628
1.593232,0.670610,-0.679223,0.733932
1.595229,0.673110,-0.681056,0.732231
1.597221,0.675616,-0.682884,0.730527
1.599207,0.678127,-0.684709,0.728817
1.601187,0.680643,-0.686528,0.727103
1.603162,0.683164,-0.688344,0.725384
1.605130,0.685690,-0.690155,0.723661
1.607093,0.688221,-0.691962,0.721934
1.609050,0.690757,-0.693765,0.720201
1.611001,0.693298,-0.695563,0.718465
1.612946,0.695844,-0.697357,0.716724
1.614885,0.698395,-0.699147,0.714978
1.616818,0.700952,-0.700932,0.713228
1.618745,0.703513,-0.702713,0.711473
1.620666,0.706079,-0.704490,0.709714
1.622582,0.708650,-0.706262,0.707951
1.624491,0.711226,-0.708029,0.706183
1.626394,0.713807,-0.709793,0.704411
1.628290,0.716393,-0.711551,0.702634
1.630181,0.718984,-0.713306,0.700853
1.632066,0.721580,-0.715056,0.699068
1.633944,0.724181,-0.716801,0.697278
1.635817,0.726786,-0.718542,0.695484
1.637683,0.729397,-0.720278,0.693685
1.639543,0.732013,-0.722010,0.691882
1.641396,0.734633,-0.723738,0.690075
1.643243,0.737258,-0.725461,0.688263
1.645084,0.739889,-0.727179,0.686448
1.646919,0.742524,-0.728893,0.684628
1.648748,0.745164,-0.730602,0.682803
1.650570,0.747809,-0.732307,0.680975
1.652385,0.750458,-0.734007,0.679142
1.654194,0.753113,-0.735703,0.677305
1.655997,0.755772,-0.737394,0.675463
1.657794,0.758436,-0.739080,0.673618
1.659583,0.761105,-0.740762,0.671768
