x_in,y_in,x_d,y_d
3.790182,-0.691068,2.422846,2.186882
3.791808,-0.689836,2.420437,2.187549
3.793431,-0.688602,2.418027,2.188215
3.795049,-0.687365,2.415617,2.188881
3.796663,-0.686124,2.413207,2.189545
3.798273,-0.684881,2.410797,2.190209
3.799880,-0.683635,2.408386,2.190872
3.801482,-0.682386,2.405975,2.191534
3.803080,-0.681134,2.403565,2.192195
3.804673,-0.679879,2.401153,2.192856
3.806263,-0.678620,2.398742,2.193515
3.807849,-0.677359,2.396330,2.194174
3.809430,-0.676095,2.393919,2.194832
3.811007,-0.674828,2.391506,2.195490
3.812581,-0.673559,2.389094,2.196146
3.814150,-0.672286,2.386682,2.196802
3.815715,-0.671010,2.384269,2.197457
3.817276,-0.669731,2.381856,2.198111
3.818833,-0.668450,2.379443,2.198764
3.820385,-0.667165,2.377030,2.199416
3.821934,-0.665878,2.374616,2.200068
3.823478,-0.664587,2.372202,2.200719
3.825018,-0.663294,2.369788,2.201369
3.826554,-0.661998,2.367374,2.202018
3.828086,-0.660699,2.364960,2.202667
3.829614,-0.659397,2.362545,2.203315
3.831138,-0.658092,2.360130,2.203962
3.832657,-0.656784,2.357715,2.204608
3.834173,-0.655473,2.355300,2.205253
3.835684,-0.654160,2.352884,2.205898
3.837191,-0.652843,2.350469,2.206541
3.838694,-0.651524,2.348053,2.207184
3.840192,-0.650202,2.345637,2.207826
3.841687,-0.648877,2.343220,2.208468
3.843177,-0.647549,2.340804,2.209108
3.844663,-0.646218,2.338387,2.209748
3.846145,-0.644885,2.335970,2.210387
3.847623,-0.643548,2.333553,2.211025
3.849097,-0.642209,2.331135,2.211663
3.850566,-0.640867,2.328718,2.212299
3.852032,-0.639522,2.326300,2.212935
3.853493,-0.638174,2.323882,2.213570
3.854950,-0.636824,2.321464,2.214204
3.856402,-0.635471,2.319045,2.214838
3.857851,-0.634114,2.316627,2.215471
3.859295,-0.632755,2.314208,2.216102
3.860735,-0.631394,2.311789,2.216734
3.862171,-0.630029,2.309370,2.217364
3.863603,-0.628662,2.306950,2.217993
3.865030,-0.627292,2.304531,2.218622
3.866454,-0.625919,2.302111,2.219250
3.867873,-0.624543,2.299691,2.219877
3.869288,-0.623165,2.297271,2.220504
3.870698,-0.621783,2.294850,2.221129
3.872105,-0.620399,2.292429,2.221754
3.873507,-0.619013,2.290009,2.222378
