x_in,y_in,x_d,y_d
1.833275,-0.773196,4.284207,1.546740
1.837249,-0.774682,4.282436,1.548505
1.841215,-0.776163,4.280664,1.550268
1.845175,-0.777639,4.278890,1.552030
1.849128,-0.779109,4.277115,1.553790
1.853074,-0.780573,4.275338,1.555549
1.857013,-0.782032,4.273561,1.557307
1.860944,-0.783485,4.271782,1.559063
1.864869,-0.784933,4.270001,1.560818
1.868787,-0.786375,4.268219,1.562572
1.872697,-0.787811,4.266436,1.564324
1.876601,-0.789241,4.264651,1.566075
1.880497,-0.790665,4.262865,1.567824
1.884387,-0.792084,4.261078,1.569572
1.888269,-0.793496,4.259290,1.571319
1.892145,-0.794903,4.257500,1.573064
1.896013,-0.796303,4.255708,1.574808
1.899874,-0.797697,4.253916,1.576551
1.903728,-0.799085,4.252122,1.578292
1.907575,-0.800468,4.250327,1.580032
1.911415,-0.801843,4.248530,1.581770
1.915248,-0.803213,4.246732,1.583507
1.919074,-0.804577,4.244933,1.585243
1.922893,-0.805934,4.243133,1.586977
1.926705,-0.807286,4.241331,1.588711
1.930510,-0.808631,4.239528,1.590442
1.934308,-0.809970,4.237723,1.592172
1.938099,-0.811303,4.235917,1.593901
1.941884,-0.812629,4.234110,1.595629
1.945661,-0.813950,4.232302,1.597355
1.949432,-0.815264,4.230492,1.599080
1.953196,-0.816572,4.228681,1.600804
1.956953,-0.817874,4.226869,1.602526
1.960703,-0.819169,4.225055,1.604246
1.964446,-0.820458,4.223241,1.605966
1.968183,-0.821741,4.221424,1.607684
1.971913,-0.823018,4.219607,1.609401
1.975636,-0.824289,4.217788,1.611116
1.979353,-0.825553,4.215968,1.612830
1.983063,-0.826811,4.214147,1.614542
1.986767,-0.828062,4.212325,1.616254
1.990464,-0.829307,4.210501,1.617964
1.994154,-0.830546,4.208676,1.619672
1.997838,-0.831779,4.206849,1.621379
2.001516,-0.833005,4.205022,1.623085
2.005187,-0.834225,4.203193,1.624790
2.008851,-0.835439,4.201363,1.626493
2.012510,-0.836646,4.199531,1.628194
2.016162,-0.837847,4.197699,1.629895
2.019808,-0.839041,4.195865,1.631594
2.023447,-0.840230,4.194030,1.633292
2.027081,-0.841411,4.192193,1.634988
2.030708,-0.842587,4.190356,1.636683
2.034329,-0.843756,4.188517,1.638377
2.037944,-0.844918,4.186677,1.640069
2.041553,-0.846075,4.184835,1.641760
2.045156,-0.847225,4.182993,1.643450
2.048753,-0.848368,4.181149,1.645138
2.052345,-0.849505,4.179304,1.646825
2.055930,-0.850636,4.177457,1.648510
2.059509,-0.851760,4.175610,1.650195
2.063083,-0.852878,4.173761,1.651877
2.066651,-0.853989,4.171911,1.653559
2.070214,-0.855094,4.170060,1.655239
2.073771,-0.856193,4.168207,1.656918
2.077322,-0.857285,4.166354,1.658595
2.080868,-0.858370,4.164499,1.660272
2.084408,-0.859450,4.162643,1.661946
2.087943,-0.860522,4.160786,1.663620
2.091472,-0.861589,4.158927,1.665292
2.094996,-0.862649,4.157067,1.666963
2.098515,-0.863702,4.155206,1.668632
2.102028,-0.864749,4.153344,1.670300
2.105537,-0.865790,4.151481,1.671967
2.109040,-0.866824,4.149617,1.673633
2.112538,-0.867852,4.147751,1.675297
2.116032,-0.868873,4.145884,1.676959
2.119520,-0.869888,4.144016,1.678621
2.123003,-0.870896,4.142147,1.680281
2.126482,-0.871899,4.140276,1.681940
2.129956,-0.872894,4.138405,1.683597
2.133425,-0.873883,4.136532,1.685253
2.136889,-0.874866,4.134658,1.686908
2.140349,-0.875842,4.132783,1.688561
2.143804,-0.876812,4.130906,1.690213
2.147254,-0.877776,4.129029,1.691864
2.150701,-0.878733,4.127150,1.693513
2.154142,-0.879683,4.125270,1.695162
2.157580,-0.880628,4.123389,1.696808
2.161013,-0.881566,4.121507,1.698454
2.164442,-0.882497,4.119624,1.700098
2.167867,-0.883422,4.117739,1.701741
2.171287,-0.884341,4.115853,1.703382
2.174704,-0.885253,4.113967,1.705022
2.178117,-0.886159,4.112079,1.706661
2.181525,-0.887059,4.110190,1.708298
2.184930,-0.887952,4.108299,1.709934
2.188331,-0.888839,4.106408,1.711569
2.191729,-0.889719,4.104515,1.713203
2.195122,-0.890593,4.102622,1.714835
2.198512,-0.891461,4.100727,1.716466
2.201899,-0.892323,4.098831,1.718095
2.205282,-0.893178,4.096934,1.719723
2.208661,-0.894027,4.095035,1.721350
2.212037,-0.894869,4.093136,1.722976
2.215410,-0.895705,4.091236,1.724600
2.218780,-0.896535,4.089334,1.726223
2.222146,-0.897359,4.087431,1.727844
2.225509,-0.898177,4.085527,1.729465
2.228869,-0.898988,4.083622,1.731084
2.232227,-0.899793,4.081716,1.732701
2.235581,-0.900592,4.079809,1.734318
2.238932,-0.901384,4.077901,1.735932
2.242281,-0.902170,4.075991,1.737546
2.245627,-0.902951,4.074081,1.739159
2.248970,-0.903725,4.072169,1.740770
2.252310,-0.904492,4.070256,1.742379
2.255648,-0.905254,4.068342,1.743988
2.258984,-0.906009,4.066427,1.745595
2.262317,-0.906759,4.064511,1.747201
2.265647,-0.907502,4.062594,1.748805
2.268975,-0.908239,4.060676,1.750408
2.272301,-0.908970,4.058756,1.752010
2.275625,-0.909695,4.056836,1.753611
2.278947,-0.910414,4.054914,1.755210
2.282267,-0.911127,4.052991,1.756808
2.285584,-0.911833,4.051068,1.758404
2.288900,-0.912534,4.049143,1.760000
2.292214,-0.913229,4.047217,1.761594
2.295526,-0.913918,4.045290,1.763186
2.298837,-0.914601,4.043362,1.764778
2.302145,-0.915277,4.041433,1.766368
2.305452,-0.915948,4.039503,1.767957
2.308758,-0.916613,4.037571,1.769544
2.312062,-0.917272,4.035639,1.771130
2.315364,-0.917926,4.033705,1.772715
2.318665,-0.918573,4.031771,1.774299
2.321965,-0.919214,4.029835,1.775881
2.325264,-0.919850,4.027899,1.777462
2.328561,-0.920480,4.025961,1.779042
2.331858,-0.921104,4.024022,1.780620
2.335153,-0.921722,4.022083,1.782197
2.338447,-0.922334,4.020142,1.783773
2.341740,-0.922941,4.018200,1.785347
2.345033,-0.923542,4.016257,1.786921
2.348324,-0.924137,4.014313,1.788493
2.351615,-0.924727,4.012368,1.790063
2.354905,-0.925311,4.010422,1.791632
2.358195,-0.925889,4.008474,1.793200
2.361484,-0.926462,4.006526,1.794767
2.364772,-0.927029,4.004577,1.796333
2.368060,-0.927590,4.002627,1.797897
2.371348,-0.928146,4.000675,1.799459
2.374635,-0.928696,3.998723,1.801021
2.377922,-0.929241,3.996770,1.802581
2.381209,-0.929780,3.994815,1.804140
2.384495,-0.930314,3.992860,1.805698
2.387781,-0.930843,3.990904,1.807254
2.391068,-0.931366,3.988946,1.808809
2.394354,-0.931883,3.986988,1.810363
2.397641,-0.932395,3.985028,1.811916
2.400927,-0.932902,3.983068,1.813467
2.404214,-0.933403,3.981106,1.815017
2.407501,-0.933899,3.979143,1.816566
2.410788,-0.934390,3.977180,1.818113
2.414076,-0.934875,3.975215,1.819659
2.417364,-0.935355,3.973250,1.821204
2.420653,-0.935830,3.971283,1.822747
2.423942,-0.936300,3.969315,1.824290
2.427231,-0.936764,3.967347,1.825831
2.430522,-0.937224,3.965377,1.827370
2.433813,-0.937678,3.963407,1.828909
2.437104,-0.938127,3.961435,1.830446
2.440397,-0.938571,3.959462,1.831982
2.443690,-0.939010,3.957489,1.833516
2.446984,-0.939444,3.955514,1.835049
2.450279,-0.939872,3.953539,1.836581
2.453575,-0.940296,3.951562,1.838112
2.456872,-0.940715,3.949585,1.839642
2.460171,-0.941129,3.947606,1.841170
2.463470,-0.941538,3.945626,1.842697
2.466771,-0.941942,3.943646,1.844222
2.470072,-0.942341,3.941664,1.845747
2.473375,-0.942735,3.939682,1.847270
2.476680,-0.943124,3.937699,1.848792
2.479986,-0.943509,3.935714,1.850312
2.483293,-0.943889,3.933729,1.851832
2.486601,-0.944264,3.931742,1.853350
2.489912,-0.944634,3.929755,1.854866
2.493223,-0.945000,3.927767,1.856382
2.496537,-0.945361,3.925777,1.857896
2.499852,-0.945717,3.923787,1.859409
2.503169,-0.946068,3.921796,1.860921
2.506487,-0.946415,3.919804,1.862431
2.509808,-0.946758,3.917811,1.863940
2.513130,-0.947096,3.915817,1.865448
2.516454,-0.947429,3.913822,1.866955
2.519780,-0.947758,3.911826,1.868460
2.523108,-0.948082,3.909829,1.869964
2.526438,-0.948402,3.907831,1.871467
2.529770,-0.948717,3.905832,1.872969
2.533105,-0.949028,3.903832,1.874469
2.536441,-0.949335,3.901832,1.875968
2.539780,-0.949637,3.899830,1.877466
2.543121,-0.949935,3.897827,1.878962
2.546464,-0.950228,3.895824,1.880457
2.549810,-0.950518,3.893819,1.881951
2.553158,-0.950803,3.891814,1.883444
2.556509,-0.951083,3.889808,1.884936
2.559862,-0.951360,3.887800,1.886426
2.563217,-0.951632,3.885792,1.887915
2.566576,-0.951900,3.883783,1.889403
2.569936,-0.952164,3.881773,1.890889
2.573300,-0.952424,3.879762,1.892374
2.576666,-0.952680,3.877750,1.893858
2.580035,-0.952931,3.875737,1.895341
2.583406,-0.953179,3.873723,1.896823
2.586781,-0.953423,3.871709,1.898303
2.590158,-0.953662,3.869693,1.899782
2.593539,-0.953898,3.867677,1.901260
2.596922,-0.954129,3.865659,1.902736
2.600308,-0.954357,3.863641,1.904211
2.603697,-0.954581,3.861622,1.905685
2.607090,-0.954801,3.859601,1.907158
2.610485,-0.955016,3.857580,1.908629
2.613884,-0.955229,3.855558,1.910100
2.617285,-0.955437,3.853536,1.911569
2.620690,-0.955641,3.851512,1.913036
2.624099,-0.955842,3.849487,1.914503
2.627510,-0.956039,3.847461,1.915968
2.630925,-0.956232,3.845435,1.917432
2.634343,-0.956422,3.843408,1.918895
2.637765,-0.956607,3.841379,1.920357
2.641190,-0.956790,3.839350,1.921817
2.644619,-0.956968,3.837320,1.923276
2.648051,-0.957143,3.835289,1.924734
2.651487,-0.957314,3.833257,1.926190
2.654926,-0.957482,3.831225,1.927646
2.658369,-0.957646,3.829191,1.929100
2.661815,-0.957806,3.827157,1.930553
2.665265,-0.957963,3.825121,1.932004
2.668719,-0.958117,3.823085,1.933455
2.672177,-0.958267,3.821048,1.934904
2.675639,-0.958413,3.819010,1.936352
2.679104,-0.958556,3.816971,1.937799
2.682573,-0.958696,3.814931,1.939244
2.686046,-0.958832,3.812891,1.940688
2.689523,-0.958965,3.810849,1.942131
2.693004,-0.959094,3.808807,1.943573
2.696489,-0.959220,3.806763,1.945014
2.699978,-0.959343,3.804719,1.946453
2.703471,-0.959462,3.802674,1.947891
2.706967,-0.959578,3.800629,1.949328
2.710469,-0.959691,3.798582,1.950764
2.713974,-0.959801,3.796534,1.952198
2.717483,-0.959907,3.794486,1.953631
2.720997,-0.960010,3.792437,1.955063
2.724514,-0.960110,3.790387,1.956494
2.728036,-0.960207,3.788336,1.957924
2.731562,-0.960300,3.786284,1.959352
2.735093,-0.960390,3.784231,1.960779
2.738627,-0.960478,3.782178,1.962205
2.742167,-0.960562,3.780123,1.963629
2.745710,-0.960643,3.778068,1.965053
2.749258,-0.960720,3.776012,1.966475
2.752810,-0.960795,3.773955,1.967896
2.756366,-0.960867,3.771897,1.969316
2.759927,-0.960935,3.769839,1.970734
2.763493,-0.961001,3.767779,1.972152
2.767062,-0.961063,3.765719,1.973568
2.770637,-0.961123,3.763658,1.974983
2.774216,-0.961179,3.761596,1.976396
2.777799,-0.961233,3.759533,1.977809
