x_in,y_in
2.909906,-0.961254
2.913664,-0.961204
2.917426,-0.961151
2.921194,-0.961095
2.924966,-0.961036
2.928743,-0.960975
2.932525,-0.960911
2.936312,-0.960845
2.940103,-0.960776
2.943900,-0.960704
2.947701,-0.960629
2.951507,-0.960552
2.955317,-0.960472
2.959133,-0.960390
2.962953,-0.960304
2.966778,-0.960217
2.970608,-0.960126
2.974443,-0.960033
2.978283,-0.959937
2.982127,-0.959839
2.985976,-0.959737
2.989830,-0.959633
2.993688,-0.959527
2.997551,-0.959418
3.001420,-0.959306
3.005292,-0.959191
3.009170,-0.959074
3.013052,-0.958954
3.016939,-0.958832
3.020831,-0.958706
3.024727,-0.958579
3.028628,-0.958448
3.032534,-0.958315
3.036444,-0.958179
3.040359,-0.958040
3.044279,-0.957899
3.048203,-0.957755
3.052132,-0.957608
3.056066,-0.957458
3.060004,-0.957306
3.063947,-0.957151
3.067894,-0.956993
3.071846,-0.956833
3.075802,-0.956670
3.079763,-0.956504
3.083729,-0.956335
3.087699,-0.956164
3.091674,-0.955990
3.095653,-0.955813
3.099636,-0.955634
3.103624,-0.955451
3.107617,-0.955266
3.111614,-0.955078
3.115615,-0.954887
3.119621,-0.954694
3.123631,-0.954498
3.127645,-0.954298
3.131664,-0.954096
3.135687,-0.953892
3.139714,-0.953684
3.143746,-0.953474
3.147781,-0.953261
3.151821,-0.953044
3.155866,-0.952826
3.159914,-0.952604
3.163966,-0.952379
3.168023,-0.952152
3.172084,-0.951921
3.176149,-0.951688
3.180218,-0.951452
3.184290,-0.951212
3.188367,-0.950970
3.192448,-0.950726
3.196533,-0.950478
3.200622,-0.950227
3.204715,-0.949973
3.208811,-0.949716
3.212911,-0.949457
3.217016,-0.949194
3.221124,-0.948929
3.225235,-0.948660
3.229351,-0.948389
3.233470,-0.948114
3.237593,-0.947836
3.241719,-0.947556
3.245849,-0.947272
3.249983,-0.946986
3.254120,-0.946696
3.258260,-0.946403
3.262404,-0.946108
3.266552,-0.945809
3.270703,-0.945507
3.274857,-0.945202
3.279015,-0.944894
3.283176,-0.944583
3.287340,-0.944268
3.291507,-0.943951
3.295678,-0.943631
3.299852,-0.943307
3.304028,-0.942980
3.308208,-0.942650
3.312391,-0.942317
3.316577,-0.941981
3.320766,-0.941642
3.324958,-0.941299
3.329153,-0.940954
3.333350,-0.940605
3.337551,-0.940253
3.341754,-0.939898
3.345960,-0.939539
3.350169,-0.939178
3.354380,-0.938813
3.358594,-0.938445
3.362810,-0.938073
3.367029,-0.937699
3.371251,-0.937321
3.375475,-0.936940
3.379701,-0.936556
3.383930,-0.936168
3.388161,-0.935777
3.392394,-0.935383
3.396630,-0.934986
