x_in,y_in,x_d,y_d
1.638659,-1.614634,3.493714,1.873969
1.642892,-1.616438,3.486052,1.874539
1.647125,-1.618235,3.478416,1.875107
1.651359,-1.620023,3.470805,1.875671
1.655594,-1.621805,3.463219,1.876231
1.659829,-1.623578,3.455658,1.876789
1.664065,-1.625345,3.448123,1.877343
1.668302,-1.627104,3.440613,1.877894
1.672539,-1.628855,3.433128,1.878442
1.676777,-1.630599,3.425668,1.878987
1.681015,-1.632335,3.418233,1.879529
1.685254,-1.634064,3.410823,1.880067
1.689494,-1.635786,3.403438,1.880602
1.693734,-1.637500,3.396078,1.881134
1.697974,-1.639206,3.388743,1.881663
1.702215,-1.640905,3.381433,1.882189
1.706456,-1.642597,3.374148,1.882712
1.710698,-1.644281,3.366887,1.883232
1.714940,-1.645957,3.359652,1.883749
1.719182,-1.647626,3.352441,1.884263
1.723425,-1.649288,3.345255,1.884773
1.727668,-1.650942,3.338093,1.885281
1.731912,-1.652589,3.330957,1.885786
1.736155,-1.654228,3.323845,1.886288
1.740399,-1.655860,3.316757,1.886787
1.744644,-1.657485,3.309694,1.887283
1.748888,-1.659102,3.302656,1.887776
1.753133,-1.660711,3.295642,1.888266
1.757378,-1.662313,3.288652,1.888754
1.761623,-1.663908,3.281687,1.889238
1.765868,-1.665495,3.274747,1.889720
1.770114,-1.667075,3.267831,1.890199
1.774359,-1.668648,3.260939,1.890675
1.778605,-1.670213,3.254071,1.891148
1.782851,-1.671770,3.247227,1.891619
1.787097,-1.673320,3.240408,1.892086
1.791343,-1.674863,3.233613,1.892551
1.795589,-1.676398,3.226842,1.893013
1.799835,-1.677926,3.220095,1.893473
1.804081,-1.679447,3.213373,1.893930
1.808326,-1.680960,3.206674,1.894384
1.812572,-1.682466,3.199999,1.894835
1.816818,-1.683964,3.193349,1.895284
1.821064,-1.685455,3.186722,1.895730
1.825310,-1.686939,3.180119,1.896173
1.829555,-1.688415,3.173540,1.896614
1.833801,-1.689884,3.166984,1.897053
1.838046,-1.691346,3.160453,1.897488
1.842291,-1.692800,3.153945,1.897921
1.846537,-1.694246,3.147461,1.898352
1.850781,-1.695686,3.141000,1.898780
1.855026,-1.697118,3.134563,1.899205
1.859270,-1.698543,3.128150,1.899628
1.863514,-1.699960,3.121760,1.900049
1.867758,-1.701370,3.115394,1.900466
1.872002,-1.702773,3.109051,1.900882
1.876245,-1.704169,3.102732,1.901295
1.880488,-1.705557,3.096436,1.901705
1.884731,-1.706938,3.090163,1.902113
1.888973,-1.708311,3.083914,1.902519
1.893215,-1.709677,3.077688,1.902922
1.897457,-1.711036,3.071485,1.903323
1.901698,-1.712388,3.065305,1.903722
1.905938,-1.713732,3.059149,1.904118
1.910179,-1.715069,3.053015,1.904511
1.914419,-1.716399,3.046905,1.904903
1.918658,-1.717721,3.040818,1.905292
1.922897,-1.719037,3.034753,1.905679
1.927135,-1.720345,3.028712,1.906063
1.931373,-1.721645,3.022694,1.906445
1.935611,-1.722939,3.016698,1.906825
1.939847,-1.724225,3.010725,1.907202
1.944084,-1.725504,3.004775,1.907578
1.948319,-1.726776,2.998848,1.907951
1.952554,-1.728040,2.992944,1.908322
1.956789,-1.729297,2.987062,1.908690
1.961023,-1.730547,2.981203,1.909057
1.965256,-1.731790,2.975366,1.909421
1.969488,-1.733026,2.969552,1.909783
1.973720,-1.734254,2.963761,1.910143
1.977951,-1.735476,2.957991,1.910500
1.982182,-1.736690,2.952245,1.910856
1.986412,-1.737896,2.946521,1.911209
1.990641,-1.739096,2.940819,1.911560
1.994869,-1.740289,2.935139,1.911910
1.999096,-1.741474,2.929482,1.912257
2.003323,-1.742652,2.923847,1.912602
2.007549,-1.743823,2.918234,1.912944
2.011774,-1.744987,2.912643,1.913285
2.015998,-1.746144,2.907074,1.913624
2.020221,-1.747293,2.901527,1.913961
2.024444,-1.748436,2.896003,1.914295
2.028666,-1.749571,2.890500,1.914628
2.032886,-1.750699,2.885019,1.914959
2.037106,-1.751820,2.879561,1.915287
2.041325,-1.752934,2.874124,1.915614
2.045543,-1.754041,2.868708,1.915939
2.049760,-1.755141,2.863315,1.916261
2.053976,-1.756234,2.857943,1.916582
2.058191,-1.757319,2.852593,1.916901
2.062405,-1.758398,2.847265,1.917218
2.066618,-1.759469,2.841958,1.917533
2.070830,-1.760534,2.836673,1.917846
2.075041,-1.761591,2.831409,1.918157
2.079251,-1.762641,2.826167,1.918466
2.083460,-1.763685,2.820946,1.918773
2.087668,-1.764721,2.815747,1.919079
2.091875,-1.765750,2.810569,1.919382
2.096080,-1.766772,2.805412,1.919684
2.100285,-1.767787,2.800277,1.919984
2.104488,-1.768795,2.795162,1.920282
2.108690,-1.769797,2.790069,1.920578
2.112891,-1.770791,2.784997,1.920873
2.117091,-1.771778,2.779946,1.921165
2.121290,-1.772758,2.774917,1.921456
2.125487,-1.773731,2.769908,1.921745
2.129683,-1.774697,2.764920,1.922032
2.133878,-1.775657,2.759953,1.922318
2.138072,-1.776609,2.755007,1.922602
2.142264,-1.777554,2.750082,1.922884
2.146456,-1.778493,2.745178,1.923164
2.150645,-1.779424,2.740294,1.923443
2.154834,-1.780349,2.735431,1.923719
2.159021,-1.781267,2.730589,1.923995
2.163207,-1.782177,2.725767,1.924268
2.167392,-1.783081,2.720966,1.924540
2.171575,-1.783978,2.716186,1.924810
2.175757,-1.784868,2.711426,1.925078
2.179937,-1.785751,2.706686,1.925345
2.184116,-1.786627,2.701967,1.925610
2.188294,-1.787497,2.697268,1.925874
2.192470,-1.788359,2.692590,1.926136
2.196645,-1.789215,2.687932,1.926396
2.200818,-1.790064,2.683294,1.926654
2.204990,-1.790906,2.678676,1.926911
2.209160,-1.791741,2.674079,1.927167
2.213329,-1.792569,2.669501,1.927421
2.217496,-1.793391,2.664944,1.927673
2.221662,-1.794205,2.660407,1.927924
2.225827,-1.795013,2.655889,1.928173
2.229989,-1.795814,2.651392,1.928420
2.234151,-1.796609,2.646915,1.928666
2.238310,-1.797396,2.642457,1.928911
2.242468,-1.798177,2.638019,1.929154
2.246625,-1.798951,2.633601,1.929395
2.250780,-1.799718,2.629203,1.929635
2.254933,-1.800479,2.624824,1.929874
2.259085,-1.801232,2.620465,1.930110
2.263235,-1.801979,2.616126,1.930346
2.267383,-1.802720,2.611806,1.930580
2.271530,-1.803453,2.607506,1.930812
2.275675,-1.804180,2.603225,1.931043
2.279818,-1.804900,2.598964,1.931273
2.283960,-1.805613,2.594722,1.931501
2.288100,-1.806320,2.590499,1.931728
