psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat,psi_d,x_d,y_d
3.278757,0.199925,-5.691505,1.651026,3.278763,-5.690442,1.656557,0.210743,-3.004145,-5.688156,1.644930
3.278826,0.199925,-5.693485,1.650755,3.278833,-5.692422,1.656287,0.210737,-3.004075,-5.690136,1.644656
3.278896,0.199925,-5.695466,1.650483,3.278903,-5.694402,1.656017,0.210732,-3.004005,-5.692116,1.644382
3.278966,0.199925,-5.697446,1.650210,3.278973,-5.696381,1.655747,0.210726,-3.003935,-5.694096,1.644108
3.279036,0.199925,-5.699427,1.649938,3.279043,-5.698361,1.655476,0.210721,-3.003865,-5.696076,1.643834
3.279106,0.199925,-5.701408,1.649666,3.279113,-5.700341,1.655205,0.210715,-3.003795,-5.698056,1.643559
3.279176,0.199925,-5.703388,1.649393,3.279183,-5.702320,1.654935,0.210709,-3.003725,-5.700035,1.643284
3.279246,0.199925,-5.705369,1.649121,3.279253,-5.704300,1.654664,0.210704,-3.003655,-5.702015,1.643010
3.279316,0.199925,-5.707349,1.648848,3.279323,-5.706279,1.654393,0.210698,-3.003585,-5.703995,1.642735
3.279386,0.199925,-5.709330,1.648575,3.279393,-5.708259,1.654122,0.210692,-3.003515,-5.705975,1.642460
3.279456,0.199925,-5.711310,1.648302,3.279463,-5.710238,1.653851,0.210687,-3.003445,-5.707955,1.642185
3.279527,0.199925,-5.713291,1.648028,3.279534,-5.712218,1.653579,0.210681,-3.003375,-5.709935,1.641909
3.279597,0.199925,-5.715271,1.647755,3.279604,-5.714197,1.653308,0.210676,-3.003305,-5.711915,1.641634
3.279667,0.199925,-5.717252,1.647482,3.279674,-5.716177,1.653036,0.210670,-3.003234,-5.713895,1.641358
3.279737,0.199925,-5.719232,1.647208,3.279744,-5.718156,1.652764,0.210664,-3.003164,-5.715874,1.641082
3.279808,0.199925,-5.721213,1.646934,3.279815,-5.720136,1.652492,0.210659,-3.003094,-5.717854,1.640806
3.279878,0.199925,-5.723193,1.646660,3.279885,-5.722115,1.652220,0.210653,-3.003023,-5.719834,1.640530
3.279948,0.199925,-5.725173,1.646386,3.279955,-5.724094,1.651948,0.210648,-3.002953,-5.721814,1.640254
3.280019,0.199925,-5.727154,1.646112,3.280026,-5.726074,1.651676,0.210642,-3.002883,-5.723793,1.639978
3.280089,0.199925,-5.729134,1.645838,3.280096,-5.728053,1.651403,0.210636,-3.002812,-5.725773,1.639701
3.280160,0.199925,-5.731115,1.645563,3.280167,-5.730032,1.651130,0.210631,-3.002742,-5.727753,1.639425
3.280230,0.199925,-5.733095,1.645289,3.280237,-5.732012,1.650858,0.210625,-3.002671,-5.729732,1.639148
3.280301,0.199925,-5.735075,1.645014,3.280308,-5.733991,1.650585,0.210620,-3.002601,-5.731712,1.638871
3.280371,0.199925,-5.737055,1.644739,3.280379,-5.735970,1.650312,0.210614,-3.002530,-5.733691,1.638594
