psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat
3.146090,0.199899,-0.047052,1.999962,3.146131,-0.046822,2.000023,0.263518
3.146122,0.199899,-0.049051,1.999966,3.146163,-0.048823,2.000030,0.263472
3.146154,0.199899,-0.051050,1.999970,3.146195,-0.050824,2.000037,0.263426
3.146186,0.199899,-0.053049,1.999975,3.146227,-0.052825,2.000044,0.263380
3.146219,0.199899,-0.055048,1.999979,3.146259,-0.054825,2.000051,0.263334
3.146251,0.199899,-0.057047,1.999983,3.146292,-0.056826,2.000058,0.263288
3.146283,0.199899,-0.059046,1.999987,3.146324,-0.058827,2.000064,0.263243
3.146315,0.199899,-0.061045,1.999991,3.146356,-0.060827,2.000071,0.263197
3.146348,0.199899,-0.063044,1.999994,3.146389,-0.062828,2.000078,0.263151
3.146380,0.199899,-0.065043,1.999998,3.146421,-0.064829,2.000084,0.263106
3.146413,0.199899,-0.067042,2.000002,3.146453,-0.066830,2.000090,0.263060
3.146445,0.199899,-0.069041,2.000005,3.146486,-0.068830,2.000097,0.263014
3.146477,0.199899,-0.071040,2.000009,3.146518,-0.070831,2.000103,0.262969
3.146510,0.199899,-0.073039,2.000012,3.146550,-0.072832,2.000109,0.262923
3.146542,0.199899,-0.075038,2.000016,3.146583,-0.074832,2.000115,0.262878
3.146575,0.199899,-0.077037,2.000019,3.146615,-0.076833,2.000121,0.262833
3.146607,0.199899,-0.079036,2.000022,3.146648,-0.078833,2.000127,0.262787
3.146640,0.199899,-0.081035,2.000026,3.146680,-0.080834,2.000133,0.262742
3.146672,0.199899,-0.083034,2.000029,3.146713,-0.082835,2.000139,0.262696
3.146705,0.199899,-0.085034,2.000032,3.146745,-0.084835,2.000145,0.262651
3.146738,0.199899,-0.087033,2.000035,3.146778,-0.086836,2.000151,0.262606
3.146770,0.199899,-0.089032,2.000037,3.146811,-0.088836,2.000156,0.262561
3.146803,0.199899,-0.091031,2.000040,3.146843,-0.090837,2.000162,0.262516
3.146836,0.199899,-0.093030,2.000043,3.146876,-0.092837,2.000167,0.262471
3.146868,0.199899,-0.095029,2.000046,3.146909,-0.094838,2.000173,0.262426
3.146901,0.199899,-0.097028,2.000048,3.146941,-0.096839,2.000178,0.262380
3.146934,0.199899,-0.099027,2.000051,3.146974,-0.098839,2.000183,0.262335
3.146966,0.199899,-0.101026,2.000053,3.147007,-0.100840,2.000188,0.262291
3.146999,0.199899,-0.103025,2.000055,3.147039,-0.102840,2.000193,0.262246
3.147032,0.199899,-0.105024,2.000058,3.147072,-0.104841,2.000198,0.262201
3.147065,0.199899,-0.107023,2.000060,3.147105,-0.106841,2.000203,0.262156
3.147098,0.199899,-0.109022,2.000062,3.147138,-0.108842,2.000208,0.262111
3.147131,0.199899,-0.111021,2.000064,3.147170,-0.110842,2.000213,0.262066
3.147163,0.199899,-0.113020,2.000066,3.147203,-0.112842,2.000218,0.262022
3.147196,0.199899,-0.115019,2.000068,3.147236,-0.114843,2.000222,0.261977
3.147229,0.199899,-0.117018,2.000070,3.147269,-0.116843,2.000227,0.261932
3.147262,0.199899,-0.119017,2.000071,3.147302,-0.118844,2.000231,0.261888
3.147295,0.199899,-0.121016,2.000073,3.147335,-0.120844,2.000236,0.261843
3.147328,0.199899,-0.123015,2.000074,3.147368,-0.122845,2.000240,0.261799
3.147361,0.199899,-0.125014,2.000076,3.147401,-0.124845,2.000244,0.261754
3.147394,0.199899,-0.127013,2.000077,3.147434,-0.126845,2.000249,0.261710
3.147427,0.199900,-0.129012,2.000079,3.147467,-0.128846,2.000253,0.261665
3.147460,0.199900,-0.131011,2.000080,3.147500,-0.130846,2.000257,0.261621
3.147493,0.199900,-0.133010,2.000081,3.147533,-0.132847,2.000261,0.261576
3.147527,0.199900,-0.135009,2.000082,3.147566,-0.134847,2.000265,0.261532
3.147560,0.199900,-0.137008,2.000083,3.147599,-0.136847,2.000268,0.261488
3.147593,0.199900,-0.139007,2.000084,3.147632,-0.138848,2.000272,0.261444
3.147626,0.199900,-0.141006,2.000085,3.147665,-0.140848,2.000276,0.261399
3.147659,0.199900,-0.143006,2.000086,3.147698,-0.142848,2.000279,0.261355
3.147692,0.199900,-0.145005,2.000087,3.147731,-0.144849,2.000283,0.261311
3.147726,0.199900,-0.147004,2.000087,3.147764,-0.146849,2.000286,0.261267
3.147759,0.199900,-0.149003,2.000088,3.147798,-0.148849,2.000290,0.261223
3.147792,0.199900,-0.151002,2.000088,3.147831,-0.150849,2.000293,0.261179
3.147825,0.199900,-0.153001,2.000089,3.147864,-0.152850,2.000296,0.261135
3.147859,0.199900,-0.155000,2.000089,3.147897,-0.154850,2.000299,0.261091
3.147892,0.199900,-0.156999,2.000090,3.147930,-0.156850,2.000303,0.261047
3.147925,0.199900,-0.158998,2.000090,3.147964,-0.158851,2.000305,0.261003
3.147959,0.199900,-0.160997,2.000090,3.147997,-0.160851,2.000308,0.260959
3.147992,0.199900,-0.162996,2.000090,3.148030,-0.162851,2.000311,0.260916
3.148025,0.199900,-0.164995,2.000090,3.148064,-0.164851,2.000314,0.260872
3.148059,0.199900,-0.166994,2.000090,3.148097,-0.166851,2.000317,0.260828
3.148092,0.199900,-0.168993,2.000089,3.148130,-0.168852,2.000319,0.260784
3.148126,0.199900,-0.170992,2.000089,3.148164,-0.170852,2.000322,0.260741
3.148159,0.199900,-0.172991,2.000089,3.148197,-0.172852,2.000324,0.260697
3.148193,0.199900,-0.174990,2.000088,3.148231,-0.174852,2.000327,0.260654
3.148226,0.199900,-0.176989,2.000088,3.148264,-0.176853,2.000329,0.260610
3.148260,0.199900,-0.178988,2.000087,3.148297,-0.178853,2.000331,0.260567
3.148293,0.199900,-0.180987,2.000087,3.148331,-0.180853,2.000333,0.260523
3.148327,0.199900,-0.182986,2.000086,3.148364,-0.182853,2.000335,0.260480
3.148360,0.199900,-0.184985,2.000085,3.148398,-0.184853,2.000337,0.260436
3.148394,0.199900,-0.186984,2.000084,3.148431,-0.186853,2.000339,0.260393
3.148427,0.199900,-0.188983,2.000083,3.148465,-0.188853,2.000341,0.260350
3.148461,0.199900,-0.190982,2.000082,3.148499,-0.190854,2.000343,0.260306
3.148495,0.199900,-0.192982,2.000081,3.148532,-0.192854,2.000344,0.260263
3.148528,0.199900,-0.194981,2.000080,3.148566,-0.194854,2.000346,0.260220
3.148562,0.199900,-0.196980,2.000079,3.148599,-0.196854,2.000348,0.260177
3.148596,0.199900,-0.198979,2.000077,3.148633,-0.198854,2.000349,0.260134
3.148630,0.199900,-0.200978,2.000076,3.148667,-0.200854,2.000350,0.260091
3.148663,0.199900,-0.202977,2.000074,3.148700,-0.202854,2.000352,0.260047
3.148697,0.199900,-0.204976,2.000073,3.148734,-0.204854,2.000353,0.260004
3.148731,0.199900,-0.206975,2.000071,3.148768,-0.206854,2.000354,0.259961
3.148765,0.199900,-0.208974,2.000069,3.148801,-0.208854,2.000355,0.259918
3.148798,0.199900,-0.210973,2.000067,3.148835,-0.210855,2.000356,0.259876
3.148832,0.199900,-0.212972,2.000065,3.148869,-0.212855,2.000357,0.259833
3.148866,0.199900,-0.214971,2.000063,3.148903,-0.214855,2.000358,0.259790
3.148900,0.199900,-0.216970,2.000061,3.148936,-0.216855,2.000359,0.259747
3.148934,0.199900,-0.218969,2.000059,3.148970,-0.218855,2.000359,0.259704
3.148968,0.199901,-0.220968,2.000057,3.149004,-0.220855,2.000360,0.259662
3.149002,0.199901,-0.222967,2.000055,3.149038,-0.222855,2.000360,0.259619
3.149035,0.199901,-0.224966,2.000052,3.149072,-0.224855,2.000361,0.259576
3.149069,0.199901,-0.226965,2.000050,3.149106,-0.226855,2.000361,0.259533
3.149103,0.199901,-0.228964,2.000047,3.149139,-0.228855,2.000361,0.259491
3.149137,0.199901,-0.230963,2.000044,3.149173,-0.230855,2.000361,0.259448
3.149171,0.199901,-0.232962,2.000042,3.149207,-0.232855,2.000362,0.259406
3.149205,0.199901,-0.234961,2.000039,3.149241,-0.234855,2.000362,0.259363
3.149239,0.199901,-0.236960,2.000036,3.149275,-0.236855,2.000362,0.259321
3.149273,0.199901,-0.238960,2.000033,3.149309,-0.238855,2.000361,0.259278
3.149307,0.199901,-0.240959,2.000030,3.149343,-0.240855,2.000361,0.259236
3.149341,0.199901,-0.242958,2.000027,3.149377,-0.242855,2.000361,0.259194
3.149376,0.199901,-0.244957,2.000024,3.149411,-0.244854,2.000361,0.259151
3.149410,0.199901,-0.246956,2.000020,3.149445,-0.246854,2.000360,0.259109
3.149444,0.199901,-0.248955,2.000017,3.149479,-0.248854,2.000360,0.259067
3.149478,0.199901,-0.250954,2.000014,3.149513,-0.250854,2.000359,0.259025
3.149512,0.199901,-0.252953,2.000010,3.149547,-0.252854,2.000358,0.258982
3.149546,0.199901,-0.254952,2.000006,3.149581,-0.254854,2.000357,0.258940
3.149580,0.199901,-0.256951,2.000003,3.149616,-0.256854,2.000357,0.258898
3.149615,0.199901,-0.258950,1.999999,3.149650,-0.258854,2.000356,0.258856
3.149649,0.199901,-0.260949,1.999995,3.149684,-0.260854,2.000355,0.258814
3.149683,0.199901,-0.262948,1.999991,3.149718,-0.262854,2.000354,0.258772
3.149717,0.199901,-0.264947,1.999987,3.149752,-0.264854,2.000352,0.258730
3.149751,0.199901,-0.266946,1.999983,3.149786,-0.266853,2.000351,0.258688
3.149786,0.199901,-0.268945,1.999979,3.149821,-0.268853,2.000350,0.258646
3.149820,0.199901,-0.270944,1.999975,3.149855,-0.270853,2.000348,0.258604
3.149854,0.199901,-0.272943,1.999970,3.149889,-0.272853,2.000347,0.258563
3.149889,0.199901,-0.274942,1.999966,3.149923,-0.274853,2.000345,0.258521
3.149923,0.199901,-0.276941,1.999961,3.149957,-0.276853,2.000344,0.258479
3.149957,0.199901,-0.278940,1.999957,3.149992,-0.278853,2.000342,0.258437
3.149992,0.199901,-0.280939,1.999952,3.150026,-0.280852,2.000340,0.258396
3.150026,0.199901,-0.282938,1.999947,3.150060,-0.282852,2.000338,0.258354
3.150060,0.199901,-0.284937,1.999943,3.150095,-0.284852,2.000336,0.258312
3.150095,0.199901,-0.286937,1.999938,3.150129,-0.286852,2.000334,0.258271
3.150129,0.199901,-0.288936,1.999933,3.150163,-0.288852,2.000332,0.258229
3.150164,0.199901,-0.290935,1.999928,3.150198,-0.290851,2.000330,0.258188
3.150198,0.199901,-0.292934,1.999923,3.150232,-0.292851,2.000328,0.258146
3.150233,0.199901,-0.294933,1.999917,3.150267,-0.294851,2.000325,0.258105
3.150267,0.199901,-0.296932,1.999912,3.150301,-0.296851,2.000323,0.258063
3.150302,0.199901,-0.298931,1.999907,3.150335,-0.298851,2.000320,0.258022
3.150336,0.199901,-0.300930,1.999901,3.150370,-0.300850,2.000318,0.257981
3.150371,0.199901,-0.302929,1.999896,3.150404,-0.302850,2.000315,0.257939
3.150405,0.199901,-0.304928,1.999890,3.150439,-0.304850,2.000312,0.257898
3.150440,0.199901,-0.306927,1.999884,3.150473,-0.306850,2.000309,0.257857
3.150474,0.199901,-0.308926,1.999878,3.150508,-0.308849,2.000306,0.257816
3.150509,0.199901,-0.310925,1.999873,3.150542,-0.310849,2.000303,0.257775
3.150544,0.199901,-0.312924,1.999867,3.150577,-0.312849,2.000300,0.257733
3.150578,0.199902,-0.314923,1.999860,3.150611,-0.314849,2.000297,0.257692
3.150613,0.199902,-0.316922,1.999854,3.150646,-0.316848,2.000294,0.257651
3.150647,0.199902,-0.318921,1.999848,3.150681,-0.318848,2.000290,0.257610
3.150682,0.199902,-0.320920,1.999842,3.150715,-0.320848,2.000287,0.257569
3.150717,0.199902,-0.322919,1.999835,3.150750,-0.322848,2.000283,0.257528
3.150751,0.199902,-0.324918,1.999829,3.150784,-0.324847,2.000280,0.257487
3.150786,0.199902,-0.326917,1.999822,3.150819,-0.326847,2.000276,0.257446
3.150821,0.199902,-0.328916,1.999816,3.150854,-0.328847,2.000272,0.257406
3.150856,0.199902,-0.330915,1.999809,3.150888,-0.330846,2.000268,0.257365
3.150890,0.199902,-0.332914,1.999802,3.150923,-0.332846,2.000264,0.257324
3.150925,0.199902,-0.334914,1.999795,3.150958,-0.334846,2.000260,0.257283
3.150960,0.199902,-0.336913,1.999789,3.150992,-0.336845,2.000256,0.257242
3.150995,0.199902,-0.338912,1.999781,3.151027,-0.338845,2.000252,0.257202
3.151029,0.199902,-0.340911,1.999774,3.151062,-0.340845,2.000248,0.257161
3.151064,0.199902,-0.342910,1.999767,3.151097,-0.342844,2.000243,0.257120
3.151099,0.199902,-0.344909,1.999760,3.151131,-0.344844,2.000239,0.257080
3.151134,0.199902,-0.346908,1.999752,3.151166,-0.346844,2.000234,0.257039
3.151169,0.199902,-0.348907,1.999745,3.151201,-0.348843,2.000230,0.256999
3.151204,0.199902,-0.350906,1.999737,3.151236,-0.350843,2.000225,0.256958
3.151238,0.199902,-0.352905,1.999730,3.151270,-0.352843,2.000220,0.256918
3.151273,0.199902,-0.354904,1.999722,3.151305,-0.354842,2.000216,0.256877
3.151308,0.199902,-0.356903,1.999714,3.151340,-0.356842,2.000211,0.256837
3.151343,0.199902,-0.358902,1.999707,3.151375,-0.358842,2.000206,0.256797
3.151378,0.199902,-0.360901,1.999699,3.151410,-0.360841,2.000200,0.256756
3.151413,0.199902,-0.362900,1.999691,3.151445,-0.362841,2.000195,0.256716
3.151448,0.199902,-0.364899,1.999682,3.151480,-0.364840,2.000190,0.256676
3.151483,0.199902,-0.366898,1.999674,3.151515,-0.366840,2.000185,0.256636
3.151518,0.199902,-0.368897,1.999666,3.151549,-0.368840,2.000179,0.256595
3.151553,0.199902,-0.370896,1.999658,3.151584,-0.370839,2.000174,0.256555
3.151588,0.199902,-0.372895,1.999649,3.151619,-0.372839,2.000168,0.256515
3.151623,0.199902,-0.374894,1.999641,3.151654,-0.374838,2.000162,0.256475
3.151658,0.199902,-0.376893,1.999632,3.151689,-0.376838,2.000157,0.256435
3.151693,0.199902,-0.378892,1.999623,3.151724,-0.378838,2.000151,0.256395
3.151728,0.199902,-0.380891,1.999614,3.151759,-0.380837,2.000145,0.256355
3.151763,0.199902,-0.382890,1.999606,3.151794,-0.382837,2.000139,0.256315
3.151798,0.199902,-0.384889,1.999597,3.151829,-0.384836,2.000133,0.256275
3.151833,0.199902,-0.386888,1.999588,3.151864,-0.386836,2.000127,0.256235
3.151868,0.199902,-0.388888,1.999578,3.151899,-0.388835,2.000120,0.256195
3.151903,0.199902,-0.390887,1.999569,3.151934,-0.390835,2.000114,0.256155
3.151939,0.199902,-0.392886,1.999560,3.151970,-0.392834,2.000108,0.256116
3.151974,0.199902,-0.394885,1.999551,3.152005,-0.394834,2.000101,0.256076
3.152009,0.199902,-0.396884,1.999541,3.152040,-0.396834,2.000094,0.256036
3.152044,0.199902,-0.398883,1.999532,3.152075,-0.398833,2.000088,0.255996
3.152079,0.199902,-0.400882,1.999522,3.152110,-0.400833,2.000081,0.255957
3.152114,0.199902,-0.402881,1.999512,3.152145,-0.402832,2.000074,0.255917
3.152150,0.199902,-0.404880,1.999502,3.152180,-0.404832,2.000067,0.255877
3.152185,0.199902,-0.406879,1.999493,3.152215,-0.406831,2.000060,0.255838
3.152220,0.199902,-0.408878,1.999483,3.152251,-0.408831,2.000053,0.255798
3.152255,0.199903,-0.410877,1.999473,3.152286,-0.410830,2.000046,0.255759
3.152291,0.199903,-0.412876,1.999462,3.152321,-0.412830,2.000039,0.255719
3.152326,0.199903,-0.414875,1.999452,3.152356,-0.414829,2.000031,0.255680
3.152361,0.199903,-0.416874,1.999442,3.152391,-0.416829,2.000024,0.255640
3.152396,0.199903,-0.418873,1.999431,3.152427,-0.418828,2.000016,0.255601
3.152432,0.199903,-0.420872,1.999421,3.152462,-0.420828,2.000009,0.255562
3.152467,0.199903,-0.422871,1.999410,3.152497,-0.422827,2.000001,0.255522
3.152502,0.199903,-0.424870,1.999400,3.152532,-0.424827,1.999993,0.255483
3.152538,0.199903,-0.426869,1.999389,3.152568,-0.426826,1.999985,0.255444
3.152573,0.199903,-0.428868,1.999378,3.152603,-0.428826,1.999977,0.255405
3.152608,0.199903,-0.430867,1.999367,3.152638,-0.430825,1.999969,0.255366
3.152644,0.199903,-0.432866,1.999356,3.152674,-0.432824,1.999961,0.255326
3.152679,0.199903,-0.434865,1.999345,3.152709,-0.434824,1.999953,0.255287
3.152714,0.199903,-0.436864,1.999334,3.152744,-0.436823,1.999945,0.255248
3.152750,0.199903,-0.438863,1.999323,3.152780,-0.438823,1.999936,0.255209
3.152785,0.199903,-0.440862,1.999312,3.152815,-0.440822,1.999928,0.255170
3.152821,0.199903,-0.442861,1.999300,3.152850,-0.442822,1.999919,0.255131
3.152856,0.199903,-0.444860,1.999289,3.152886,-0.444821,1.999911,0.255092
3.152892,0.199903,-0.446859,1.999277,3.152921,-0.446821,1.999902,0.255053
3.152927,0.199903,-0.448858,1.999266,3.152957,-0.448820,1.999893,0.255014
3.152963,0.199903,-0.450857,1.999254,3.152992,-0.450819,1.999884,0.254975
3.152998,0.199903,-0.452856,1.999242,3.153028,-0.452819,1.999875,0.254937
3.153033,0.199903,-0.454855,1.999230,3.153063,-0.454818,1.999866,0.254898
3.153069,0.199903,-0.456855,1.999218,3.153098,-0.456818,1.999857,0.254859
3.153105,0.199903,-0.458854,1.999206,3.153134,-0.458817,1.999848,0.254820
3.153140,0.199903,-0.460853,1.999194,3.153169,-0.460816,1.999838,0.254782
3.153176,0.199903,-0.462852,1.999182,3.153205,-0.462816,1.999829,0.254743
3.153211,0.199903,-0.464851,1.999169,3.153240,-0.464815,1.999819,0.254704
3.153247,0.199903,-0.466850,1.999157,3.153276,-0.466815,1.999810,0.254666
3.153282,0.199903,-0.468849,1.999144,3.153311,-0.468814,1.999800,0.254627
3.153318,0.199903,-0.470848,1.999132,3.153347,-0.470813,1.999790,0.254589
3.153353,0.199903,-0.472847,1.999119,3.153383,-0.472813,1.999781,0.254550
3.153389,0.199903,-0.474846,1.999106,3.153418,-0.474812,1.999771,0.254512
3.153425,0.199903,-0.476845,1.999093,3.153454,-0.476812,1.999761,0.254473
3.153460,0.199903,-0.478844,1.999080,3.153489,-0.478811,1.999751,0.254435
3.153496,0.199903,-0.480843,1.999067,3.153525,-0.480810,1.999740,0.254396
3.153532,0.199903,-0.482842,1.999054,3.153560,-0.482810,1.999730,0.254358
3.153567,0.199903,-0.484841,1.999041,3.153596,-0.484809,1.999720,0.254320
3.153603,0.199903,-0.486840,1.999028,3.153632,-0.486808,1.999709,0.254281
3.153639,0.199903,-0.488839,1.999014,3.153667,-0.488808,1.999699,0.254243
3.153674,0.199903,-0.490838,1.999001,3.153703,-0.490807,1.999688,0.254205
3.153710,0.199903,-0.492837,1.998987,3.153739,-0.492806,1.999678,0.254167
3.153746,0.199903,-0.494836,1.998974,3.153774,-0.494806,1.999667,0.254128
3.153781,0.199903,-0.496835,1.998960,3.153810,-0.496805,1.999656,0.254090
3.153817,0.199903,-0.498834,1.998946,3.153846,-0.498804,1.999645,0.254052
3.153853,0.199903,-0.500833,1.998932,3.153881,-0.500804,1.999634,0.254014
3.153889,0.199903,-0.502832,1.998918,3.153917,-0.502803,1.999623,0.253976
3.153924,0.199903,-0.504831,1.998904,3.153953,-0.504802,1.999612,0.253938
3.153960,0.199903,-0.506830,1.998890,3.153989,-0.506802,1.999600,0.253900
3.153996,0.199903,-0.508829,1.998876,3.154024,-0.508801,1.999589,0.253862
3.154032,0.199904,-0.510828,1.998862,3.154060,-0.510800,1.999577,0.253824
3.154068,0.199904,-0.512827,1.998847,3.154096,-0.512800,1.999566,0.253786
3.154103,0.199904,-0.514826,1.998833,3.154132,-0.514799,1.999554,0.253748
3.154139,0.199904,-0.516825,1.998818,3.154168,-0.516798,1.999542,0.253711
3.154175,0.199904,-0.518824,1.998804,3.154203,-0.518798,1.999531,0.253673
3.154211,0.199904,-0.520823,1.998789,3.154239,-0.520797,1.999519,0.253635
3.154247,0.199904,-0.522822,1.998774,3.154275,-0.522796,1.999507,0.253597
3.154283,0.199904,-0.524821,1.998759,3.154311,-0.524795,1.999495,0.253560
3.154318,0.199904,-0.526820,1.998744,3.154347,-0.526795,1.999482,0.253522
3.154354,0.199904,-0.528819,1.998729,3.154382,-0.528794,1.999470,0.253484
3.154390,0.199904,-0.530818,1.998714,3.154418,-0.530793,1.999458,0.253447
3.154426,0.199904,-0.532817,1.998699,3.154454,-0.532793,1.999445,0.253409
3.154462,0.199904,-0.534816,1.998683,3.154490,-0.534792,1.999433,0.253372
3.154498,0.199904,-0.536815,1.998668,3.154526,-0.536791,1.999420,0.253334
3.154534,0.199904,-0.538814,1.998652,3.154562,-0.538790,1.999408,0.253296
3.154570,0.199904,-0.540813,1.998637,3.154598,-0.540790,1.999395,0.253259
3.154606,0.199904,-0.542812,1.998621,3.154634,-0.542789,1.999382,0.253222
3.154642,0.199904,-0.544811,1.998605,3.154670,-0.544788,1.999369,0.253184
3.154678,0.199904,-0.546810,1.998589,3.154706,-0.546787,1.999356,0.253147
3.154714,0.199904,-0.548809,1.998573,3.154742,-0.548787,1.999343,0.253109
3.154750,0.199904,-0.550808,1.998557,3.154778,-0.550786,1.999330,0.253072
3.154786,0.199904,-0.552807,1.998541,3.154814,-0.552785,1.999316,0.253035
3.154822,0.199904,-0.554806,1.998525,3.154850,-0.554784,1.999303,0.252998
3.154858,0.199904,-0.556805,1.998509,3.154886,-0.556784,1.999290,0.252960
3.154894,0.199904,-0.558804,1.998492,3.154922,-0.558783,1.999276,0.252923
3.154930,0.199904,-0.560803,1.998476,3.154958,-0.560782,1.999262,0.252886
3.154966,0.199904,-0.562802,1.998459,3.154994,-0.562781,1.999249,0.252849
3.155002,0.199904,-0.564801,1.998443,3.155030,-0.564781,1.999235,0.252812
3.155038,0.199904,-0.566800,1.998426,3.155066,-0.566780,1.999221,0.252775
