psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat
3.143840,0.199897,0.096877,1.999463,3.143878,0.097266,1.999335,0.266932
3.143870,0.199897,0.094878,1.999473,3.143908,0.095265,1.999347,0.266883
3.143900,0.199897,0.092879,1.999482,3.143939,0.093263,1.999359,0.266834
3.143931,0.199897,0.090880,1.999491,3.143969,0.091261,1.999371,0.266785
3.143961,0.199897,0.088881,1.999500,3.144000,0.089260,1.999383,0.266737
3.143992,0.199897,0.086882,1.999509,3.144030,0.087258,1.999394,0.266688
3.144022,0.199897,0.084883,1.999518,3.144061,0.085256,1.999406,0.266639
3.144052,0.199897,0.082884,1.999527,3.144091,0.083255,1.999417,0.266591
3.144083,0.199897,0.080885,1.999536,3.144122,0.081253,1.999429,0.266542
3.144113,0.199897,0.078886,1.999545,3.144152,0.079251,1.999440,0.266494
3.144144,0.199897,0.076887,1.999554,3.144183,0.077250,1.999451,0.266445
3.144174,0.199897,0.074888,1.999563,3.144213,0.075248,1.999463,0.266397
3.144205,0.199897,0.072889,1.999571,3.144244,0.073247,1.999474,0.266348
3.144236,0.199897,0.070890,1.999580,3.144275,0.071245,1.999485,0.266300
3.144266,0.199897,0.068891,1.999588,3.144306,0.069244,1.999496,0.266251
3.144297,0.199897,0.066892,1.999597,3.144336,0.067242,1.999507,0.266203
3.144328,0.199897,0.064893,1.999605,3.144367,0.065241,1.999518,0.266155
3.144358,0.199897,0.062894,1.999613,3.144398,0.063239,1.999529,0.266107
3.144389,0.199897,0.060895,1.999621,3.144429,0.061238,1.999540,0.266059
3.144420,0.199897,0.058896,1.999630,3.144460,0.059236,1.999550,0.266010
3.144451,0.199897,0.056897,1.999638,3.144490,0.057235,1.999561,0.265962
3.144481,0.199897,0.054898,1.999646,3.144521,0.055233,1.999572,0.265914
3.144512,0.199898,0.052899,1.999654,3.144552,0.053232,1.999582,0.265866
3.144543,0.199898,0.050900,1.999662,3.144583,0.051230,1.999593,0.265818
3.144574,0.199898,0.048901,1.999669,3.144614,0.049229,1.999603,0.265770
3.144605,0.199898,0.046902,1.999677,3.144645,0.047228,1.999613,0.265722
3.144636,0.199898,0.044903,1.999685,3.144676,0.045226,1.999624,0.265675
3.144667,0.199898,0.042904,1.999692,3.144707,0.043225,1.999634,0.265627
3.144698,0.199898,0.040905,1.999700,3.144738,0.041224,1.999644,0.265579
3.144729,0.199898,0.038906,1.999707,3.144770,0.039222,1.999654,0.265531
3.144760,0.199898,0.036907,1.999715,3.144801,0.037221,1.999664,0.265484
3.144791,0.199898,0.034908,1.999722,3.144832,0.035220,1.999674,0.265436
3.144823,0.199898,0.032909,1.999729,3.144863,0.033219,1.999684,0.265388
3.144854,0.199898,0.030910,1.999737,3.144894,0.031217,1.999694,0.265341
3.144885,0.199898,0.028911,1.999744,3.144926,0.029216,1.999704,0.265293
3.144916,0.199898,0.026912,1.999751,3.144957,0.027215,1.999713,0.265246
3.144947,0.199898,0.024913,1.999758,3.144988,0.025214,1.999723,0.265199
3.144979,0.199898,0.022914,1.999765,3.145019,0.023212,1.999732,0.265151
3.145010,0.199898,0.020915,1.999771,3.145051,0.021211,1.999742,0.265104
3.145041,0.199898,0.018916,1.999778,3.145082,0.019210,1.999751,0.265056
3.145073,0.199898,0.016917,1.999785,3.145114,0.017209,1.999761,0.265009
3.145104,0.199898,0.014918,1.999792,3.145145,0.015208,1.999770,0.264962
3.145136,0.199898,0.012919,1.999798,3.145176,0.013206,1.999779,0.264915
3.145167,0.199898,0.010920,1.999805,3.145208,0.011205,1.999788,0.264868
3.145198,0.199898,0.008921,1.999811,3.145239,0.009204,1.999797,0.264821
3.145230,0.199898,0.006922,1.999817,3.145271,0.007203,1.999806,0.264773
3.145261,0.199898,0.004923,1.999824,3.145302,0.005202,1.999815,0.264726
3.145293,0.199898,0.002924,1.999830,3.145334,0.003201,1.999824,0.264679
3.145325,0.199898,0.000925,1.999836,3.145366,0.001200,1.999833,0.264633
3.145356,0.199898,-0.001074,1.999842,3.145397,-0.000801,1.999842,0.264586
3.145388,0.199898,-0.003073,1.999848,3.145429,-0.002802,1.999850,0.264539
3.145419,0.199898,-0.005072,1.999854,3.145460,-0.004803,1.999859,0.264492
3.145451,0.199898,-0.007072,1.999860,3.145492,-0.006804,1.999867,0.264445
3.145483,0.199898,-0.009071,1.999866,3.145524,-0.008805,1.999876,0.264398
3.145515,0.199898,-0.011070,1.999871,3.145556,-0.010806,1.999884,0.264352
3.145546,0.199898,-0.013069,1.999877,3.145587,-0.012807,1.999893,0.264305
3.145578,0.199898,-0.015068,1.999882,3.145619,-0.014808,1.999901,0.264258
3.145610,0.199898,-0.017067,1.999888,3.145651,-0.016809,1.999909,0.264212
3.145642,0.199898,-0.019066,1.999893,3.145683,-0.018810,1.999917,0.264165
3.145674,0.199898,-0.021065,1.999899,3.145715,-0.020811,1.999925,0.264119
3.145705,0.199898,-0.023064,1.999904,3.145746,-0.022812,1.999933,0.264072
3.145737,0.199898,-0.025063,1.999909,3.145778,-0.024813,1.999941,0.264026
3.145769,0.199898,-0.027062,1.999914,3.145810,-0.026814,1.999949,0.263979
3.145801,0.199898,-0.029061,1.999919,3.145842,-0.028815,1.999957,0.263933
3.145833,0.199898,-0.031060,1.999924,3.145874,-0.030816,1.999964,0.263887
3.145865,0.199898,-0.033059,1.999929,3.145906,-0.032816,1.999972,0.263841
3.145897,0.199898,-0.035058,1.999934,3.145938,-0.034817,1.999979,0.263794
3.145929,0.199898,-0.037057,1.999939,3.145970,-0.036818,1.999987,0.263748
3.145961,0.199899,-0.039056,1.999944,3.146002,-0.038819,1.999994,0.263702
3.145993,0.199899,-0.041055,1.999948,3.146034,-0.040820,2.000002,0.263656
3.146025,0.199899,-0.043054,1.999953,3.146066,-0.042821,2.000009,0.263610
3.146058,0.199899,-0.045053,1.999957,3.146099,-0.044821,2.000016,0.263564
