x_in,y_in,x_d,y_d
1.299648,-0.359432,4.455545,1.361368
1.303239,-0.360905,4.453927,1.363273
1.306830,-0.362377,4.452306,1.365177
1.310421,-0.363848,4.450684,1.367080
1.314013,-0.365318,4.449061,1.368981
1.317605,-0.366787,4.447436,1.370880
1.321197,-0.368255,4.445809,1.372779
1.324789,-0.369722,4.444181,1.374676
1.328381,-0.371188,4.442551,1.376571
1.331973,-0.372652,4.440919,1.378465
1.335566,-0.374116,4.439286,1.380358
1.339158,-0.375578,4.437651,1.382249
1.342751,-0.377040,4.436014,1.384139
1.346344,-0.378500,4.434376,1.386027
1.349937,-0.379959,4.432736,1.387915
1.353530,-0.381417,4.431094,1.389800
1.357123,-0.382873,4.429451,1.391684
1.360717,-0.384329,4.427807,1.393567
1.364310,-0.385783,4.426161,1.395449
1.367903,-0.387236,4.424513,1.397329
1.371497,-0.388688,4.422863,1.399207
1.375090,-0.390139,4.421212,1.401085
1.378684,-0.391588,4.419559,1.402960
1.382277,-0.393037,4.417905,1.404835
1.385871,-0.394484,4.416249,1.406708
1.389465,-0.395929,4.414592,1.408579
1.393058,-0.397374,4.412933,1.410450
1.396652,-0.398817,4.411272,1.412318
1.400245,-0.400259,4.409610,1.414186
1.403839,-0.401699,4.407946,1.416052
1.407432,-0.403139,4.406281,1.417917
1.411026,-0.404576,4.404614,1.419780
1.414619,-0.406013,4.402946,1.421642
1.418212,-0.407448,4.401276,1.423502
1.421805,-0.408882,4.399604,1.425361
1.425398,-0.410315,4.397931,1.427219
1.428991,-0.411746,4.396256,1.429075
1.432584,-0.413175,4.394580,1.430930
1.436177,-0.414604,4.392902,1.432783
1.439770,-0.416030,4.391223,1.434635
1.443362,-0.417456,4.389542,1.436486
1.446955,-0.418880,4.387860,1.438335
1.450547,-0.420302,4.386176,1.440183
1.454139,-0.421723,4.384491,1.442029
1.457731,-0.423143,4.382804,1.443874
1.461323,-0.424561,4.381115,1.445718
1.464915,-0.425978,4.379425,1.447560
1.468506,-0.427393,4.377733,1.449401
1.472098,-0.428807,4.376040,1.451240
1.475689,-0.430219,4.374346,1.453078
1.479279,-0.431629,4.372650,1.454915
1.482870,-0.433039,4.370952,1.456750
1.486461,-0.434446,4.369253,1.458584
1.490051,-0.435852,4.367552,1.460416
1.493641,-0.437256,4.365850,1.462247
1.497230,-0.438659,4.364146,1.464077
1.500820,-0.440060,4.362441,1.465905
1.504409,-0.441460,4.360735,1.467732
1.507998,-0.442858,4.359027,1.469558
1.511587,-0.444254,4.357317,1.471382
1.515175,-0.445649,4.355606,1.473204
1.518763,-0.447042,4.353893,1.475026
1.522351,-0.448434,4.352179,1.476845
1.525939,-0.449824,4.350464,1.478664
1.529526,-0.451212,4.348747,1.480481
1.533113,-0.452598,4.347028,1.482297
1.536699,-0.453983,4.345308,1.484111
1.540286,-0.455366,4.343587,1.485924
1.543872,-0.456748,4.341864,1.487736
1.547457,-0.458127,4.340140,1.489546
1.551042,-0.459505,4.338414,1.491355
1.554627,-0.460881,4.336687,1.493162
1.558212,-0.462256,4.334958,1.494968
1.561796,-0.463628,4.333228,1.496773
1.565380,-0.464999,4.331496,1.498576
1.568963,-0.466368,4.329763,1.500378
1.572546,-0.467736,4.328029,1.502178
1.576129,-0.469101,4.326293,1.503977
1.579711,-0.470465,4.324556,1.505775
1.583293,-0.471827,4.322817,1.507571
1.586874,-0.473187,4.321077,1.509366
1.590455,-0.474545,4.319335,1.511160
1.594036,-0.475902,4.317592,1.512952
1.597616,-0.477256,4.315848,1.514743
1.601195,-0.478609,4.314102,1.516532
1.604775,-0.479960,4.312354,1.518320
1.608353,-0.481309,4.310606,1.520107
1.611932,-0.482656,4.308856,1.521892
1.615509,-0.484001,4.307104,1.523676
1.619087,-0.485344,4.305351,1.525458
1.622664,-0.486686,4.303597,1.527239
1.626240,-0.488025,4.301841,1.529019
1.629816,-0.489363,4.300084,1.530797
1.633391,-0.490698,4.298325,1.532574
1.636966,-0.492032,4.296565,1.534350
1.640541,-0.493363,4.294804,1.536124
1.644115,-0.494693,4.293041,1.537897
1.647688,-0.496021,4.291277,1.539668
1.651261,-0.497346,4.289512,1.541438
1.654833,-0.498670,4.287745,1.543207
1.658405,-0.499992,4.285977,1.544974
1.661976,-0.501311,4.284207,1.546740
1.665547,-0.502629,4.282436,1.548505
1.669117,-0.503944,4.280664,1.550268
1.672687,-0.505258,4.278890,1.552030
1.676256,-0.506569,4.277115,1.553790
1.679824,-0.507879,4.275338,1.555549
1.683392,-0.509186,4.273561,1.557307
1.686959,-0.510491,4.271782,1.559063
1.690526,-0.511794,4.270001,1.560818
1.694092,-0.513096,4.268219,1.562572
1.697658,-0.514394,4.266436,1.564324
1.701223,-0.515691,4.264651,1.566075
1.704787,-0.516986,4.262865,1.567824
1.708351,-0.518278,4.261078,1.569572
1.711914,-0.519569,4.259290,1.571319
