psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat,psi_d,x_d,y_d
3.046754,0.058158,4.422655,1.807946,3.046573,4.422341,1.811066,0.237789,3.043313,4.421725,1.793860
3.046755,0.058157,4.422074,1.807983,3.046576,4.421760,1.811103,0.237688,3.043329,4.421148,1.793917
3.046756,0.058156,4.421493,1.808020,3.046578,4.421179,1.811140,0.237586,3.043345,4.420572,1.793974
3.046757,0.058155,4.420913,1.808057,3.046580,4.420598,1.811177,0.237485,3.043361,4.419995,1.794031
3.046758,0.058154,4.420332,1.808093,3.046583,4.420017,1.811214,0.237384,3.043377,4.419419,1.794087
3.046760,0.058153,4.419751,1.808130,3.046585,4.419436,1.811250,0.237283,3.043393,4.418842,1.794144
3.046761,0.058152,4.419171,1.808167,3.046588,4.418855,1.811287,0.237182,3.043408,4.418266,1.794201
3.046762,0.058151,4.418590,1.808204,3.046591,4.418274,1.811323,0.237081,3.043424,4.417689,1.794258
3.046764,0.058151,4.418009,1.808240,3.046594,4.417693,1.811360,0.236980,3.043440,4.417113,1.794315
3.046765,0.058150,4.417429,1.808277,3.046597,4.417112,1.811396,0.236879,3.043456,4.416536,1.794371
3.046767,0.058149,4.416848,1.808313,3.046600,4.416531,1.811433,0.236779,3.043472,4.415960,1.794428
3.046768,0.058148,4.416268,1.808350,3.046603,4.415950,1.811469,0.236678,3.043487,4.415383,1.794485
3.046770,0.058147,4.415687,1.808386,3.046606,4.415369,1.811505,0.236578,3.043503,4.414807,1.794542
3.046771,0.058146,4.415106,1.808422,3.046609,4.414788,1.811541,0.236477,3.043519,4.414230,1.794598
3.046773,0.058145,4.414526,1.808459,3.046613,4.414207,1.811577,0.236377,3.043535,4.413654,1.794655
3.046775,0.058144,4.413945,1.808495,3.046616,4.413626,1.811613,0.236277,3.043551,4.413077,1.794712
3.046777,0.058143,4.413364,1.808531,3.046620,4.413045,1.811649,0.236176,3.043566,4.412501,1.794768
3.046778,0.058142,4.412784,1.808567,3.046623,4.412464,1.811685,0.236076,3.043582,4.411924,1.794825
3.046780,0.058141,4.412203,1.808603,3.046627,4.411884,1.811721,0.235976,3.043598,4.411347,1.794882
3.046782,0.058140,4.411623,1.808639,3.046631,4.411303,1.811756,0.235876,3.043614,4.410771,1.794938
3.046784,0.058140,4.411042,1.808675,3.046635,4.410722,1.811792,0.235776,3.043630,4.410194,1.794995
3.046786,0.058139,4.410461,1.808711,3.046638,4.410141,1.811827,0.235677,3.043645,4.409618,1.795052
