psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat
0.132552,0.144985,14.627392,1.950319,0.132579,14.630824,1.949690,0.120688
0.132552,0.144713,14.628827,1.950510,0.132579,14.632265,1.949896,0.120392
0.132552,0.144441,14.630260,1.950701,0.132579,14.633702,1.950103,0.120095
0.132552,0.144169,14.631691,1.950892,0.132579,14.635137,1.950309,0.119798
0.132552,0.143896,14.633119,1.951082,0.132579,14.636570,1.950514,0.119501
0.132552,0.143624,14.634544,1.951272,0.132579,14.637999,1.950719,0.119204
0.132552,0.143351,14.635966,1.951462,0.132579,14.639426,1.950924,0.118907
0.132552,0.143079,14.637385,1.951651,0.132579,14.640850,1.951128,0.118610
0.132552,0.142806,14.638802,1.951840,0.132579,14.642271,1.951333,0.118313
0.132552,0.142533,14.640216,1.952029,0.132579,14.643690,1.951536,0.118015
0.132552,0.142261,14.641628,1.952217,0.132579,14.645106,1.951740,0.117718
0.132552,0.141988,14.643037,1.952405,0.132579,14.646520,1.951942,0.117421
0.132552,0.141715,14.644443,1.952592,0.132579,14.647930,1.952145,0.117123
0.132552,0.141442,14.645846,1.952779,0.132579,14.649338,1.952347,0.116826
0.132552,0.141169,14.647247,1.952966,0.132579,14.650743,1.952549,0.116528
0.132552,0.140896,14.648645,1.953153,0.132579,14.652146,1.952751,0.116231
0.132552,0.140623,14.650040,1.953339,0.132579,14.653546,1.952952,0.115933
0.132552,0.140350,14.651433,1.953524,0.132580,14.654943,1.953152,0.115635
0.132552,0.140077,14.652822,1.953710,0.132580,14.656337,1.953353,0.115338
0.132552,0.139804,14.654210,1.953895,0.132580,14.657729,1.953553,0.115040
0.132552,0.139530,14.655594,1.954079,0.132580,14.659118,1.953753,0.114742
0.132552,0.139257,14.656976,1.954263,0.132580,14.660504,1.953952,0.114444
0.132552,0.138984,14.658355,1.954447,0.132580,14.661887,1.954151,0.114146
0.132552,0.138710,14.659731,1.954631,0.132580,14.663268,1.954349,0.113848
0.132552,0.138437,14.661105,1.954814,0.132580,14.664646,1.954547,0.113550
0.132552,0.138163,14.662475,1.954997,0.132580,14.666022,1.954745,0.113252
0.132552,0.137890,14.663844,1.955179,0.132580,14.667394,1.954943,0.112953
0.132552,0.137616,14.665209,1.955361,0.132580,14.668764,1.955140,0.112655
0.132552,0.137343,14.666572,1.955543,0.132580,14.670131,1.955336,0.112357
0.132552,0.137069,14.667932,1.955724,0.132580,14.671496,1.955533,0.112058
0.132552,0.136795,14.669289,1.955905,0.132580,14.672858,1.955729,0.111760
0.132552,0.136521,14.670644,1.956086,0.132580,14.674217,1.955924,0.111461
0.132552,0.136247,14.671996,1.956266,0.132580,14.675573,1.956120,0.111163
0.132552,0.135973,14.673345,1.956446,0.132580,14.676927,1.956314,0.110864
0.132552,0.135699,14.674691,1.956625,0.132580,14.678278,1.956509,0.110565
0.132552,0.135425,14.676035,1.956805,0.132580,14.679626,1.956703,0.110266
0.132552,0.135151,14.677376,1.956983,0.132580,14.680972,1.956897,0.109967
0.132552,0.134877,14.678714,1.957162,0.132580,14.682314,1.957090,0.109669
0.132552,0.134603,14.680050,1.957340,0.132580,14.683654,1.957283,0.109370
0.132552,0.134329,14.681383,1.957518,0.132580,14.684992,1.957476,0.109071
0.132552,0.134054,14.682713,1.957695,0.132580,14.686326,1.957668,0.108771
0.132552,0.133780,14.684040,1.957872,0.132580,14.687658,1.957860,0.108472
0.132552,0.133506,14.685365,1.958049,0.132580,14.688987,1.958052,0.108173
0.132552,0.133231,14.686687,1.958225,0.132580,14.690314,1.958243,0.107874
0.132552,0.132957,14.688006,1.958401,0.132580,14.691638,1.958434,0.107575
0.132552,0.132682,14.689323,1.958576,0.132580,14.692959,1.958624,0.107275
0.132552,0.132408,14.690637,1.958752,0.132580,14.694277,1.958814,0.106976
0.132552,0.132133,14.691948,1.958926,0.132580,14.695592,1.959004,0.106676
0.132552,0.131858,14.693256,1.959101,0.132580,14.696905,1.959193,0.106377
0.132552,0.131583,14.694562,1.959275,0.132580,14.698215,1.959382,0.106077
0.132552,0.131309,14.695865,1.959449,0.132580,14.699523,1.959571,0.105778
0.132552,0.131034,14.697165,1.959622,0.132580,14.700827,1.959759,0.105478
0.132552,0.130759,14.698462,1.959795,0.132580,14.702129,1.959947,0.105178
0.132552,0.130484,14.699757,1.959968,0.132580,14.703429,1.960134,0.104878
0.132552,0.130209,14.701049,1.960140,0.132580,14.704725,1.960321,0.104578
0.132552,0.129934,14.702338,1.960312,0.132580,14.706019,1.960508,0.104278
0.132552,0.129659,14.703625,1.960483,0.132580,14.707310,1.960694,0.103978
0.132552,0.129384,14.704909,1.960655,0.132580,14.708598,1.960880,0.103678
0.132552,0.129109,14.706190,1.960825,0.132580,14.709884,1.961066,0.103378
0.132552,0.128833,14.707468,1.960996,0.132580,14.711166,1.961251,0.103078
0.132552,0.128558,14.708744,1.961166,0.132580,14.712446,1.961436,0.102778
0.132552,0.128283,14.710017,1.961336,0.132580,14.713724,1.961621,0.102478
0.132552,0.128007,14.711287,1.961505,0.132580,14.714998,1.961805,0.102177
0.132552,0.127732,14.712555,1.961674,0.132581,14.716270,1.961989,0.101877
