x_in,y_in,x_d,y_d
3.163966,-0.952379,3.547158,2.114323
3.168023,-0.952152,3.545018,2.115615
3.172084,-0.951921,3.542877,2.116905
3.176149,-0.951688,3.540735,2.118195
3.180218,-0.951452,3.538593,2.119483
3.184290,-0.951212,3.536450,2.120771
3.188367,-0.950970,3.534306,2.122057
3.192448,-0.950726,3.532162,2.123342
3.196533,-0.950478,3.530016,2.124626
3.200622,-0.950227,3.527871,2.125908
3.204715,-0.949973,3.525724,2.127190
3.208811,-0.949716,3.523577,2.128470
3.212911,-0.949457,3.521429,2.129750
3.217016,-0.949194,3.519280,2.131028
3.221124,-0.948929,3.517131,2.132305
3.225235,-0.948660,3.514981,2.133581
3.229351,-0.948389,3.512831,2.134855
3.233470,-0.948114,3.510679,2.136129
3.237593,-0.947836,3.508527,2.137401
3.241719,-0.947556,3.506375,2.138673
3.245849,-0.947272,3.504222,2.139943
3.249983,-0.946986,3.502068,2.141212
3.254120,-0.946696,3.499913,2.142480
3.258260,-0.946403,3.497758,2.143746
3.262404,-0.946108,3.495602,2.145012
3.266552,-0.945809,3.493445,2.146277
3.270703,-0.945507,3.491288,2.147540
3.274857,-0.945202,3.489130,2.148802
3.279015,-0.944894,3.486971,2.150063
3.283176,-0.944583,3.484812,2.151323
3.287340,-0.944268,3.482652,2.152582
3.291507,-0.943951,3.480491,2.153840
3.295678,-0.943631,3.478330,2.155096
3.299852,-0.943307,3.476168,2.156352
3.304028,-0.942980,3.474005,2.157606
3.308208,-0.942650,3.471842,2.158859
3.312391,-0.942317,3.469678,2.160111
3.316577,-0.941981,3.467514,2.161362
3.320766,-0.941642,3.465349,2.162612
3.324958,-0.941299,3.463183,2.163860
3.329153,-0.940954,3.461016,2.165108
3.333350,-0.940605,3.458849,2.166354
3.337551,-0.940253,3.456681,2.167600
3.341754,-0.939898,3.454513,2.168844
3.345960,-0.939539,3.452344,2.170087
3.350169,-0.939178,3.450174,2.171329
3.354380,-0.938813,3.448004,2.172569
3.358594,-0.938445,3.445833,2.173809
3.362810,-0.938073,3.443661,2.175047
3.367029,-0.937699,3.441489,2.176285
3.371251,-0.937321,3.439316,2.177521
3.375475,-0.936940,3.437142,2.178756
3.379701,-0.936556,3.434968,2.179990
3.383930,-0.936168,3.432793,2.181223
3.388161,-0.935777,3.430618,2.182455
3.392394,-0.935383,3.428442,2.183686
3.396630,-0.934986,3.426265,2.184915
3.400867,-0.934585,3.424088,2.186144
3.405107,-0.934181,3.421910,2.187371
3.409349,-0.933774,3.419731,2.188597
3.413593,-0.933363,3.417552,2.189823
3.417839,-0.932949,3.415372,2.191046
3.422087,-0.932532,3.413191,2.192269
3.426337,-0.932112,3.411010,2.193491
3.430589,-0.931688,3.408828,2.194712
3.434842,-0.931261,3.406646,2.195931
3.439098,-0.930830,3.404463,2.197150
3.443355,-0.930397,3.402280,2.198367
3.447614,-0.929960,3.400095,2.199583
3.451874,-0.929519,3.397910,2.200798
3.456136,-0.929075,3.395725,2.202012
3.460400,-0.928628,3.393539,2.203225
3.464665,-0.928178,3.391352,2.204437
3.468932,-0.927724,3.389165,2.205648
3.473200,-0.927267,3.386977,2.206857
3.477470,-0.926806,3.384788,2.208066
3.481740,-0.926342,3.382599,2.209273
3.486012,-0.925875,3.380410,2.210479
3.490286,-0.925404,3.378219,2.211685
3.494560,-0.924930,3.376028,2.212889
3.498836,-0.924453,3.373837,2.214092
3.503112,-0.923972,3.371645,2.215293
3.507390,-0.923488,3.369452,2.216494
3.511669,-0.923001,3.367258,2.217694
3.515949,-0.922510,3.365064,2.218892
3.520229,-0.922015,3.362870,2.220090
3.524510,-0.921518,3.360675,2.221286
3.528793,-0.921017,3.358479,2.222481
3.533076,-0.920512,3.356283,2.223675
3.537359,-0.920005,3.354086,2.224868
3.541644,-0.919493,3.351888,2.226060
3.545929,-0.918979,3.349690,2.227251
3.550214,-0.918461,3.347491,2.228441
3.554500,-0.917940,3.345292,2.229630
3.558786,-0.917415,3.343092,2.230817
3.563073,-0.916887,3.340891,2.232004
3.567360,-0.916355,3.338690,2.233189
3.571648,-0.915821,3.336489,2.234373
3.575936,-0.915282,3.334286,2.235556
3.580224,-0.914741,3.332083,2.236739
3.584512,-0.914196,3.329880,2.237920
3.588800,-0.913647,3.327676,2.239099
3.593088,-0.913096,3.325471,2.240278
3.597377,-0.912540,3.323266,2.241456
3.601665,-0.911982,3.321060,2.242633
3.605953,-0.911420,3.318854,2.243808
3.610241,-0.910855,3.316647,2.244983
3.614529,-0.910286,3.314439,2.246156
3.618817,-0.909714,3.312231,2.247328
3.623104,-0.909139,3.310023,2.248500
3.627391,-0.908560,3.307813,2.249670
3.631678,-0.907978,3.305604,2.250839
3.635964,-0.907393,3.303393,2.252007
3.640250,-0.906804,3.301182,2.253173
3.644535,-0.906212,3.298971,2.254339
3.648820,-0.905616,3.296758,2.255504
3.653104,-0.905018,3.294546,2.256668
3.657388,-0.904415,3.292333,2.257830
3.661670,-0.903810,3.290119,2.258992
3.665952,-0.903201,3.287904,2.260152
3.670233,-0.902589,3.285689,2.261311
3.674513,-0.901973,3.283474,2.262469
3.678793,-0.901355,3.281258,2.263627
3.683071,-0.900733,3.279041,2.264783
3.687348,-0.900107,3.276824,2.265938
3.691625,-0.899478,3.274606,2.267091
3.695900,-0.898846,3.272388,2.268244
3.700174,-0.898211,3.270169,2.269396
3.704446,-0.897572,3.267949,2.270547
3.708718,-0.896931,3.265729,2.271696
3.712988,-0.896285,3.263509,2.272845
3.717257,-0.895637,3.261288,2.273992
3.721525,-0.894985,3.259066,2.275139
3.725791,-0.894330,3.256844,2.276284
3.730055,-0.893672,3.254621,2.277428
3.734318,-0.893010,3.252398,2.278571
3.738579,-0.892346,3.250174,2.279713
3.742839,-0.891678,3.247949,2.280854
3.747097,-0.891006,3.245724,2.281994
3.751354,-0.890332,3.243499,2.283133
3.755608,-0.889654,3.241273,2.284271
3.759861,-0.888973,3.239046,2.285408
3.764112,-0.888289,3.236819,2.286543
3.768361,-0.887602,3.234591,2.287678
3.772608,-0.886911,3.232363,2.288812
3.776853,-0.886217,3.230134,2.289944
3.781096,-0.885520,3.227905,2.291075
3.785337,-0.884820,3.225675,2.292206
3.789576,-0.884117,3.223445,2.293335
3.793812,-0.883410,3.221214,2.294463
3.798047,-0.882701,3.218982,2.295590
3.802279,-0.881988,3.216750,2.296716
3.806509,-0.881272,3.214518,2.297841
3.810736,-0.880553,3.212285,2.298965
3.814961,-0.879831,3.210051,2.300088
3.819183,-0.879105,3.207817,2.301210
3.823404,-0.878377,3.205582,2.302331
3.827621,-0.877645,3.203347,2.303451
3.831836,-0.876910,3.201111,2.304569
3.836048,-0.876172,3.198875,2.305687
3.840258,-0.875431,3.196638,2.306803
3.844465,-0.874687,3.194401,2.307919
3.848669,-0.873940,3.192163,2.309033
3.852871,-0.873190,3.189924,2.310147
3.857069,-0.872437,3.187685,2.311259
3.861265,-0.871680,3.185446,2.312370
3.865458,-0.870921,3.183206,2.313480
3.869648,-0.870158,3.180965,2.314590
3.873834,-0.869393,3.178724,2.315698
3.878018,-0.868624,3.176483,2.316805
3.882199,-0.867853,3.174241,2.317911
3.886377,-0.867078,3.171998,2.319016
3.890551,-0.866301,3.169755,2.320120
3.894722,-0.865520,3.167512,2.321222
3.898890,-0.864736,3.165268,2.322324
3.903055,-0.863950,3.163023,2.323425
3.907217,-0.863160,3.160778,2.324525
3.911375,-0.862367,3.158532,2.325623
3.915529,-0.861572,3.156286,2.326721
3.919681,-0.860773,3.154039,2.327817
3.923829,-0.859972,3.151792,2.328913
3.927973,-0.859167,3.149544,2.330007
3.932114,-0.858360,3.147296,2.331101
3.936251,-0.857550,3.145047,2.332193
3.940385,-0.856736,3.142798,2.333284
3.944515,-0.855920,3.140548,2.334374
3.948641,-0.855101,3.138298,2.335464
3.952763,-0.854279,3.136047,2.336552
3.956882,-0.853454,3.133796,2.337639
3.960997,-0.852626,3.131544,2.338725
3.965108,-0.851795,3.129292,2.339810
3.969216,-0.850961,3.127039,2.340894
3.973319,-0.850125,3.124786,2.341977
3.977419,-0.849285,3.122532,2.343059
3.981514,-0.848443,3.120278,2.344140
3.985606,-0.847597,3.118023,2.345220
3.989694,-0.846749,3.115768,2.346298
3.993777,-0.845898,3.113512,2.347376
3.997857,-0.845045,3.111256,2.348453
4.001932,-0.844188,3.108999,2.349529
4.006003,-0.843328,3.106742,2.350603
4.010070,-0.842466,3.104484,2.351677
4.014133,-0.841601,3.102226,2.352749
4.018192,-0.840733,3.099967,2.353821
4.022246,-0.839862,3.097708,2.354891
4.026296,-0.838988,3.095448,2.355961
4.030342,-0.838112,3.093188,2.357029
4.034383,-0.837232,3.090927,2.358097
4.038420,-0.836350,3.088666,2.359163
4.042452,-0.835465,3.086405,2.360228
4.046480,-0.834577,3.084143,2.361293
4.050504,-0.833687,3.081880,2.362356
4.054523,-0.832793,3.079617,2.363418
4.058538,-0.831897,3.077353,2.364479
4.062548,-0.830998,3.075089,2.365540
4.066553,-0.830097,3.072825,2.366599
4.070554,-0.829192,3.070560,2.367657
4.074550,-0.828285,3.068294,2.368714
4.078542,-0.827375,3.066028,2.369770
4.082529,-0.826462,3.063762,2.370825
4.086511,-0.825547,3.061495,2.371879
4.090488,-0.824628,3.059227,2.372932
4.094461,-0.823707,3.056959,2.373984
4.098429,-0.822783,3.054691,2.375035
4.102392,-0.821857,3.052422,2.376085
4.106351,-0.820927,3.050153,2.377134
4.110304,-0.819995,3.047883,2.378182
4.114253,-0.819060,3.045613,2.379228
4.118196,-0.818123,3.043342,2.380274
4.122135,-0.817182,3.041071,2.381319
4.126069,-0.816239,3.038799,2.382363
4.129998,-0.815293,3.036527,2.383405
4.133922,-0.814345,3.034254,2.384447
4.137841,-0.813393,3.031981,2.385488
4.141755,-0.812439,3.029708,2.386528
4.145664,-0.811483,3.027434,2.387566
4.149568,-0.810523,3.025159,2.388604
4.153467,-0.809561,3.022884,2.389641
4.157361,-0.808596,3.020609,2.390676
4.161249,-0.807628,3.018333,2.391711
4.165133,-0.806658,3.016056,2.392744
4.169011,-0.805684,3.013780,2.393777
4.172885,-0.804709,3.011502,2.394808
4.176753,-0.803730,3.009225,2.395839
4.180616,-0.802749,3.006946,2.396868
4.184473,-0.801765,3.004668,2.397897
4.188326,-0.800778,3.002389,2.398924
4.192173,-0.799788,3.000109,2.399951
4.196015,-0.798796,2.997829,2.400976
4.199852,-0.797801,2.995549,2.402001
4.203683,-0.796804,2.993268,2.403024
4.207509,-0.795803,2.990986,2.404047
4.211330,-0.794800,2.988705,2.405068
4.215145,-0.793794,2.986422,2.406088
4.218955,-0.792786,2.984140,2.407108
4.222760,-0.791775,2.981856,2.408126
4.226559,-0.790761,2.979573,2.409144
4.230353,-0.789744,2.977289,2.410160
4.234142,-0.788725,2.975004,2.411175
4.237925,-0.787702,2.972719,2.412190
4.241703,-0.786678,2.970434,2.413203
4.245475,-0.785650,2.968148,2.414215
4.249242,-0.784620,2.965862,2.415227
4.253004,-0.783587,2.963575,2.416237
4.256760,-0.782551,2.961288,2.417246
4.260510,-0.781513,2.959000,2.418255
4.264255,-0.780471,2.956712,2.419262
4.267995,-0.779427,2.954423,2.420268
4.271729,-0.778381,2.952134,2.421273
4.275458,-0.777331,2.949845,2.422278
4.279181,-0.776279,2.947555,2.423281
4.282898,-0.775224,2.945265,2.424283
4.286610,-0.774166,2.942974,2.425285
4.290317,-0.773106,2.940683,2.426285
4.294018,-0.772043,2.938391,2.427284
4.297714,-0.770977,2.936099,2.428282
4.301404,-0.769908,2.933807,2.429280
4.305088,-0.768837,2.931514,2.430276
4.308767,-0.767762,2.929221,2.431271
4.312440,-0.766685,2.926927,2.432266
4.316108,-0.765605,2.924633,2.433259
4.319771,-0.764523,2.922338,2.434251
4.323427,-0.763437,2.920043,2.435242
4.327079,-0.762349,2.917747,2.436233
4.330724,-0.761258,2.915452,2.437222
4.334365,-0.760164,2.913155,2.438210
4.337999,-0.759068,2.910858,2.439198
4.341628,-0.757968,2.908561,2.440184
4.345252,-0.756866,2.906264,2.441169
4.348870,-0.755761,2.903965,2.442154
4.352482,-0.754653,2.901667,2.443137
4.356089,-0.753542,2.899368,2.444119
4.359690,-0.752428,2.897069,2.445101
4.363286,-0.751312,2.894769,2.446081
4.366876,-0.750193,2.892469,2.447060
4.370461,-0.749070,2.890168,2.448039
4.374040,-0.747945,2.887867,2.449016
4.377614,-0.746817,2.885566,2.449993
4.381182,-0.745686,2.883264,2.450968
4.384745,-0.744553,2.880962,2.451942
4.388302,-0.743416,2.878659,2.452916
4.391853,-0.742276,2.876356,2.453888
4.395399,-0.741134,2.874052,2.454860
4.398940,-0.739988,2.871748,2.455830
4.402475,-0.738840,2.869444,2.456800
4.406005,-0.737689,2.867139,2.457768
4.409529,-0.736535,2.864834,2.458736
4.413048,-0.735377,2.862528,2.459702
4.416561,-0.734217,2.860222,2.460668
4.420069,-0.733054,2.857916,2.461632
4.423572,-0.731888,2.855609,2.462596
4.427069,-0.730719,2.853302,2.463559
4.430560,-0.729547,2.850994,2.464520
4.434046,-0.728372,2.848686,2.465481
4.437527,-0.727194,2.846378,2.466440
4.441003,-0.726012,2.844069,2.467399
4.444473,-0.724828,2.841759,2.468357
4.447937,-0.723641,2.839450,2.469313
4.451397,-0.722451,2.837140,2.470269
4.454851,-0.721258,2.834829,2.471224
4.458300,-0.720061,2.832518,2.472178
4.461743,-0.718862,2.830207,2.473131
4.465181,-0.717659,2.827895,2.474082
4.468614,-0.716454,2.825583,2.475033
4.472042,-0.715245,2.823270,2.475983
4.475464,-0.714033,2.820958,2.476932
4.478881,-0.712818,2.818644,2.477880
4.482293,-0.711600,2.816330,2.478827
4.485700,-0.710379,2.814016,2.479773
4.489101,-0.709155,2.811702,2.480718
4.492497,-0.707927,2.809387,2.481662
4.495889,-0.706696,2.807072,2.482605
4.499275,-0.705463,2.804756,2.483547
4.502656,-0.704226,2.802440,2.484488
4.506031,-0.702985,2.800123,2.485428
4.509402,-0.701742,2.797806,2.486367
4.512768,-0.700495,2.795489,2.487305
4.516128,-0.699245,2.793171,2.488242
4.519484,-0.697992,2.790853,2.489179
4.522835,-0.696736,2.788535,2.490114
4.526180,-0.695476,2.786216,2.491048
4.529521,-0.694213,2.783897,2.491981
4.532856,-0.692947,2.781577,2.492914
4.536187,-0.691678,2.779257,2.493845
4.539513,-0.690405,2.776937,2.494775
4.542834,-0.689129,2.774616,2.495705
4.546150,-0.687850,2.772295,2.496633
4.549461,-0.686567,2.769973,2.497561
4.552768,-0.685281,2.767651,2.498487
4.556069,-0.683991,2.765329,2.499413
4.559366,-0.682699,2.763006,2.500337
4.562658,-0.681403,2.760683,2.501261
4.565945,-0.680103,2.758359,2.502184
