x_in,y_in,x_d,y_d
3.494560,-0.924930,3.376028,2.212889
3.498836,-0.924453,3.373837,2.214092
3.503112,-0.923972,3.371645,2.215293
3.507390,-0.923488,3.369452,2.216494
3.511669,-0.923001,3.367258,2.217694
3.515949,-0.922510,3.365064,2.218892
3.520229,-0.922015,3.362870,2.220090
3.524510,-0.921518,3.360675,2.221286
3.528793,-0.921017,3.358479,2.222481
3.533076,-0.920512,3.356283,2.223675
3.537359,-0.920005,3.354086,2.224868
3.541644,-0.919493,3.351888,2.226060
3.545929,-0.918979,3.349690,2.227251
3.550214,-0.918461,3.347491,2.228441
3.554500,-0.917940,3.345292,2.229630
3.558786,-0.917415,3.343092,2.230817
3.563073,-0.916887,3.340891,2.232004
3.567360,-0.916355,3.338690,2.233189
3.571648,-0.915821,3.336489,2.234373
3.575936,-0.915282,3.334286,2.235556
3.580224,-0.914741,3.332083,2.236739
3.584512,-0.914196,3.329880,2.237920
3.588800,-0.913647,3.327676,2.239099
3.593088,-0.913096,3.325471,2.240278
3.597377,-0.912540,3.323266,2.241456
3.601665,-0.911982,3.321060,2.242633
3.605953,-0.911420,3.318854,2.243808
3.610241,-0.910855,3.316647,2.244983
3.614529,-0.910286,3.314439,2.246156
3.618817,-0.909714,3.312231,2.247328
3.623104,-0.909139,3.310023,2.248500
3.627391,-0.908560,3.307813,2.249670
3.631678,-0.907978,3.305604,2.250839
3.635964,-0.907393,3.303393,2.252007
3.640250,-0.906804,3.301182,2.253173
3.644535,-0.906212,3.298971,2.254339
3.648820,-0.905616,3.296758,2.255504
3.653104,-0.905018,3.294546,2.256668
3.657388,-0.904415,3.292333,2.257830
3.661670,-0.903810,3.290119,2.258992
3.665952,-0.903201,3.287904,2.260152
3.670233,-0.902589,3.285689,2.261311
3.674513,-0.901973,3.283474,2.262469
3.678793,-0.901355,3.281258,2.263627
3.683071,-0.900733,3.279041,2.264783
3.687348,-0.900107,3.276824,2.265938
3.691625,-0.899478,3.274606,2.267091
3.695900,-0.898846,3.272388,2.268244
3.700174,-0.898211,3.270169,2.269396
3.704446,-0.897572,3.267949,2.270547
3.708718,-0.896931,3.265729,2.271696
3.712988,-0.896285,3.263509,2.272845
3.717257,-0.895637,3.261288,2.273992
3.721525,-0.894985,3.259066,2.275139
3.725791,-0.894330,3.256844,2.276284
3.730055,-0.893672,3.254621,2.277428
3.734318,-0.893010,3.252398,2.278571
3.738579,-0.892346,3.250174,2.279713
3.742839,-0.891678,3.247949,2.280854
3.747097,-0.891006,3.245724,2.281994
3.751354,-0.890332,3.243499,2.283133
3.755608,-0.889654,3.241273,2.284271
3.759861,-0.888973,3.239046,2.285408
3.764112,-0.888289,3.236819,2.286543
3.768361,-0.887602,3.234591,2.287678
3.772608,-0.886911,3.232363,2.288812
3.776853,-0.886217,3.230134,2.289944
3.781096,-0.885520,3.227905,2.291075
3.785337,-0.884820,3.225675,2.292206
3.789576,-0.884117,3.223445,2.293335
3.793812,-0.883410,3.221214,2.294463
3.798047,-0.882701,3.218982,2.295590
3.802279,-0.881988,3.216750,2.296716
3.806509,-0.881272,3.214518,2.297841
3.810736,-0.880553,3.212285,2.298965
3.814961,-0.879831,3.210051,2.300088
3.819183,-0.879105,3.207817,2.301210
3.823404,-0.878377,3.205582,2.302331
3.827621,-0.877645,3.203347,2.303451
3.831836,-0.876910,3.201111,2.304569
3.836048,-0.876172,3.198875,2.305687
3.840258,-0.875431,3.196638,2.306803
3.844465,-0.874687,3.194401,2.307919
3.848669,-0.873940,3.192163,2.309033
3.852871,-0.873190,3.189924,2.310147
3.857069,-0.872437,3.187685,2.311259
