x_in,y_in,x_d,y_d
1.639543,0.732013,-0.722010,0.691882
1.641396,0.734633,-0.723738,0.690075
1.643243,0.737258,-0.725461,0.688263
1.645084,0.739889,-0.727179,0.686448
1.646919,0.742524,-0.728893,0.684628
1.648748,0.745164,-0.730602,0.682803
1.650570,0.747809,-0.732307,0.680975
1.652385,0.750458,-0.734007,0.679142
1.654194,0.753113,-0.735703,0.677305
1.655997,0.755772,-0.737394,0.675463
1.657794,0.758436,-0.739080,0.673618
1.659583,0.761105,-0.740762,0.671768
1.661367,0.763779,-0.742439,0.669914
1.663144,0.766458,-0.744111,0.668056
1.664914,0.769141,-0.745779,0.666193
1.666678,0.771830,-0.747442,0.664327
1.668435,0.774523,-0.749101,0.662456
1.670185,0.777221,-0.750755,0.660581
1.671929,0.779923,-0.752404,0.658702
1.673667,0.782630,-0.754048,0.656819
1.675397,0.785342,-0.755688,0.654932
1.677121,0.788059,-0.757323,0.653041
1.678839,0.790781,-0.758953,0.651145
1.680549,0.793507,-0.760578,0.649246
1.682253,0.796238,-0.762199,0.647343
1.683950,0.798974,-0.763815,0.645435
1.685640,0.801714,-0.765426,0.643523
1.687323,0.804459,-0.767033,0.641608
1.689000,0.807209,-0.768634,0.639688
1.690669,0.809964,-0.770231,0.637765
1.692332,0.812723,-0.771823,0.635837
1.693988,0.815486,-0.773410,0.633906
1.695637,0.818255,-0.774993,0.631970
1.697279,0.821028,-0.776570,0.630031
1.698914,0.823806,-0.778143,0.628087
1.700542,0.826588,-0.779711,0.626140
1.702163,0.829375,-0.781274,0.624189
1.703777,0.832166,-0.782832,0.622234
1.705384,0.834963,-0.784385,0.620275
1.706984,0.837763,-0.785933,0.618312
1.708576,0.840569,-0.787476,0.616345
1.710162,0.843379,-0.789015,0.614374
1.711740,0.846193,-0.790548,0.612400
1.713311,0.849012,-0.792077,0.610422
1.714876,0.851836,-0.793600,0.608439
1.716432,0.854664,-0.795119,0.606454
1.717982,0.857496,-0.796633,0.604464
1.719524,0.860334,-0.798141,0.602470
1.721059,0.863175,-0.799645,0.600473
1.722587,0.866022,-0.801144,0.598472
1.724108,0.868872,-0.802637,0.596467
1.725621,0.871727,-0.804126,0.594459
1.727127,0.874587,-0.805610,0.592447
1.728625,0.877451,-0.807088,0.590431
1.730116,0.880320,-0.808562,0.588411
1.731600,0.883193,-0.810030,0.586388
1.733076,0.886070,-0.811494,0.584361
1.734544,0.888952,-0.812952,0.582331
1.736006,0.891838,-0.814405,0.580296
1.737459,0.894729,-0.815854,0.578259
1.738905,0.897624,-0.817297,0.576217
1.740344,0.900524,-0.818735,0.574172
1.741775,0.903428,-0.820167,0.572124
1.743198,0.906336,-0.821595,0.570071
1.744614,0.909248,-0.823018,0.568016
1.746022,0.912165,-0.824435,0.565956
1.747423,0.915087,-0.825848,0.563893
1.748815,0.918012,-0.827255,0.561827
1.750200,0.920942,-0.828657,0.559757
1.751578,0.923876,-0.830054,0.557684
1.752947,0.926815,-0.831445,0.555607
1.754309,0.929757,-0.832832,0.553526
1.755663,0.932705,-0.834213,0.551443
1.757010,0.935656,-0.835589,0.549355
1.758348,0.938611,-0.836960,0.547265
1.759679,0.941571,-0.838325,0.545171
1.761002,0.944535,-0.839685,0.543073
1.762316,0.947503,-0.841040,0.540972
1.763623,0.950476,-0.842390,0.538868
1.764922,0.953452,-0.843735,0.536760
1.766213,0.956433,-0.845074,0.534649
1.767496,0.959418,-0.846408,0.532535
1.768772,0.962407,-0.847737,0.530417
1.770039,0.965400,-0.849060,0.528296
1.771298,0.968398,-0.850378,0.526172
1.772549,0.971399,-0.851691,0.524044
1.773792,0.974405,-0.852998,0.521913
1.775026,0.977414,-0.854301,0.519779
1.776253,0.980428,-0.855597,0.517642
1.777472,0.983446,-0.856889,0.515501
1.778682,0.986468,-0.858175,0.513358
1.779884,0.989494,-0.859456,0.511211
1.781078,0.992524,-0.860731,0.509060
1.782264,0.995558,-0.862001,0.506907
1.783442,0.998596,-0.863265,0.504750
1.784611,1.001638,-0.864525,0.502591
1.785772,1.004684,-0.865778,0.500428
1.786925,1.007733,-0.867027,0.498262
1.788069,1.010787,-0.868270,0.496093
1.789206,1.013845,-0.869507,0.493920
1.790333,1.016907,-0.870739,0.491745
1.791453,1.019972,-0.871966,0.489567
1.792564,1.023042,-0.873187,0.487385
1.793666,1.026115,-0.874403,0.485201
1.794760,1.029193,-0.875613,0.483013
1.795846,1.032274,-0.876818,0.480823
1.796923,1.035359,-0.878017,0.478629
1.797992,1.038447,-0.879211,0.476433
