x_in,y_in,x_d,y_d
1.413573,0.401580,4.291631,0.572217
1.417247,0.402144,4.290924,0.572123
1.420924,0.402706,4.290225,0.572030
1.424606,0.403268,4.289533,0.571938
1.428291,0.403829,4.288848,0.571846
1.431980,0.404390,4.288171,0.571756
1.435673,0.404950,4.287502,0.571667
1.439370,0.405509,4.286840,0.571579
1.443070,0.406067,4.286185,0.571491
1.446775,0.406625,4.285538,0.571405
1.450483,0.407182,4.284899,0.571320
1.454195,0.407739,4.284267,0.571236
1.457911,0.408295,4.283642,0.571152
1.461631,0.408850,4.283025,0.571070
1.465354,0.409405,4.282415,0.570989
1.469081,0.409959,4.281813,0.570908
1.472813,0.410512,4.281218,0.570829
1.476547,0.411064,4.280631,0.570751
1.480286,0.411616,4.280051,0.570673
1.484029,0.412167,4.279478,0.570597
1.487775,0.412718,4.278913,0.570522
1.491525,0.413268,4.278355,0.570447
1.495279,0.413817,4.277804,0.570374
1.499036,0.414366,4.277261,0.570301
1.502798,0.414913,4.276725,0.570230
1.506563,0.415461,4.276197,0.570160
1.510332,0.416007,4.275676,0.570090
1.514104,0.416553,4.275162,0.570022
1.517881,0.417098,4.274656,0.569954
1.521661,0.417643,4.274157,0.569888
1.525444,0.418187,4.273665,0.569822
1.529232,0.418730,4.273181,0.569757
1.533023,0.419272,4.272703,0.569694
1.536818,0.419814,4.272234,0.569631
1.540617,0.420355,4.271771,0.569569
1.544420,0.420895,4.271316,0.569509
1.548226,0.421435,4.270868,0.569449
1.552036,0.421974,4.270427,0.569390
1.555849,0.422513,4.269994,0.569333
1.559666,0.423050,4.269568,0.569276
1.563487,0.423587,4.269149,0.569220
1.567312,0.424124,4.268737,0.569165
1.571140,0.424659,4.268333,0.569111
1.574972,0.425194,4.267936,0.569058
1.578808,0.425728,4.267546,0.569006
1.582648,0.426262,4.267163,0.568955
1.586491,0.426795,4.266787,0.568905
1.590337,0.427327,4.266419,0.568856
1.594188,0.427859,4.266058,0.568808
1.598042,0.428389,4.265704,0.568761
1.601899,0.428920,4.265357,0.568714
1.605761,0.429449,4.265017,0.568669
1.609626,0.429978,4.264685,0.568625
1.613494,0.430506,4.264360,0.568581
1.617367,0.431033,4.264042,0.568539
1.621243,0.431560,4.263731,0.568497
1.625122,0.432086,4.263427,0.568457
1.629005,0.432611,4.263130,0.568417
1.632892,0.433136,4.262841,0.568379
1.636782,0.433660,4.262558,0.568341
