x_in,y_in,x_d,y_d
1.868913,-1.108194,5.676063,1.170463
1.872922,-1.110079,5.673738,1.171383
1.876933,-1.111961,5.671413,1.172302
1.880947,-1.113839,5.669088,1.173220
1.884963,-1.115713,5.666762,1.174137
1.888981,-1.117583,5.664436,1.175053
1.893001,-1.119450,5.662109,1.175968
1.897024,-1.121312,5.659782,1.176882
1.901049,-1.123171,5.657455,1.177795
1.905076,-1.125025,5.655127,1.178707
1.909105,-1.126876,5.652799,1.179618
1.913136,-1.128723,5.650471,1.180528
1.917169,-1.130566,5.648142,1.181438
1.921205,-1.132405,5.645813,1.182346
1.925243,-1.134240,5.643484,1.183254
1.929283,-1.136071,5.641154,1.184160
1.933325,-1.137898,5.638823,1.185066
1.937369,-1.139721,5.636493,1.185971
1.941415,-1.141540,5.634162,1.186874
1.945464,-1.143356,5.631831,1.187777
1.949514,-1.145167,5.629499,1.188679
1.953567,-1.146974,5.627167,1.189580
1.957621,-1.148777,5.624835,1.190480
1.961678,-1.150577,5.622502,1.191380
1.965737,-1.152372,5.620169,1.192278
1.969798,-1.154163,5.617836,1.193175
1.973861,-1.155950,5.615502,1.194072
1.977926,-1.157733,5.613168,1.194967
1.981993,-1.159512,5.610833,1.195862
1.986062,-1.161287,5.608499,1.196756
1.990133,-1.163058,5.606163,1.197648
1.994206,-1.164825,5.603828,1.198540
1.998282,-1.166587,5.601492,1.199431
2.002359,-1.168346,5.599156,1.200321
2.006438,-1.170100,5.596819,1.201211
2.010519,-1.171850,5.594483,1.202099
2.014602,-1.173597,5.592145,1.202986
2.018687,-1.175339,5.589808,1.203873
2.022775,-1.177077,5.587470,1.204759
2.026864,-1.178810,5.585132,1.205643
2.030955,-1.180540,5.582793,1.206527
2.035048,-1.182265,5.580454,1.207410
2.039142,-1.183987,5.578115,1.208292
2.043239,-1.185704,5.575776,1.209173
2.047338,-1.187416,5.573436,1.210054
2.051439,-1.189125,5.571095,1.210933
2.055541,-1.190830,5.568755,1.211812
2.059646,-1.192530,5.566414,1.212689
2.063752,-1.194226,5.564073,1.213566
2.067860,-1.195918,5.561731,1.214442
2.071970,-1.197605,5.559389,1.215317
2.076082,-1.199289,5.557047,1.216191
2.080196,-1.200968,5.554705,1.217064
2.084312,-1.202642,5.552362,1.217937
2.088429,-1.204313,5.550019,1.218808
2.092548,-1.205979,5.547675,1.219679
2.096670,-1.207641,5.545331,1.220549
2.100793,-1.209299,5.542987,1.221417
2.104917,-1.210952,5.540643,1.222286
2.109044,-1.212601,5.538298,1.223153
2.113172,-1.214246,5.535953,1.224019
2.117303,-1.215887,5.533607,1.224884
2.121434,-1.217523,5.531262,1.225749
2.125568,-1.219155,5.528916,1.226613
2.129704,-1.220782,5.526569,1.227476
2.133841,-1.222405,5.524223,1.228338
2.137980,-1.224024,5.521876,1.229199
2.142121,-1.225638,5.519528,1.230059
2.146263,-1.227249,5.517181,1.230919
2.150407,-1.228854,5.514833,1.231777
2.154553,-1.230456,5.512484,1.232635
2.158701,-1.232053,5.510136,1.233492
2.162850,-1.233645,5.507787,1.234348
2.167001,-1.235233,5.505438,1.235203
2.171154,-1.236817,5.503088,1.236058
2.175308,-1.238396,5.500739,1.236911
2.179464,-1.239971,5.498389,1.237764
2.183622,-1.241542,5.496038,1.238616
2.187782,-1.243108,5.493687,1.239467
2.191943,-1.244670,5.491336,1.240317
2.196105,-1.246227,5.488985,1.241166
2.200270,-1.247780,5.486634,1.242015
2.204436,-1.249328,5.484282,1.242862
2.208603,-1.250872,5.481929,1.243709
2.212772,-1.252411,5.479577,1.244555
2.216943,-1.253946,5.477224,1.245400
2.221115,-1.255477,5.474871,1.246245
2.225289,-1.257003,5.472518,1.247088
2.229465,-1.258524,5.470164,1.247931
2.233642,-1.260041,5.467810,1.248773
2.237821,-1.261554,5.465456,1.249614
2.242001,-1.263062,5.463101,1.250454
2.246183,-1.264565,5.460746,1.251293
2.250366,-1.266064,5.458391,1.252132
2.254551,-1.267559,5.456036,1.252970
2.258737,-1.269049,5.453680,1.253807
2.262925,-1.270534,5.451324,1.254643
2.267115,-1.272015,5.448967,1.255478
2.271306,-1.273492,5.446611,1.256312
2.275498,-1.274963,5.444254,1.257146
2.279692,-1.276431,5.441897,1.257979
2.283887,-1.277893,5.439539,1.258811
2.288084,-1.279351,5.437181,1.259642
2.292283,-1.280805,5.434823,1.260473
2.296483,-1.282254,5.432465,1.261302
2.300684,-1.283698,5.430106,1.262131
2.304887,-1.285138,5.427748,1.262959
2.309091,-1.286574,5.425388,1.263786
2.313296,-1.288004,5.423029,1.264613
2.317503,-1.289430,5.420669,1.265438
2.321712,-1.290852,5.418309,1.266263
2.325922,-1.292269,5.415949,1.267087
2.330133,-1.293681,5.413588,1.267910
2.334346,-1.295089,5.411227,1.268733
2.338560,-1.296492,5.408866,1.269554
2.342775,-1.297890,5.406505,1.270375
2.346992,-1.299284,5.404143,1.271195
2.351210,-1.300673,5.401781,1.272015
2.355430,-1.302057,5.399419,1.272833
2.359651,-1.303437,5.397057,1.273651
2.363873,-1.304813,5.394694,1.274468
2.368097,-1.306183,5.392331,1.275284
2.372322,-1.307549,5.389967,1.276099
2.376548,-1.308910,5.387604,1.276914
2.380775,-1.310267,5.385240,1.277727
2.385004,-1.311619,5.382876,1.278540
2.389235,-1.312966,5.380511,1.279352
2.393466,-1.314309,5.378147,1.280164
2.397699,-1.315646,5.375782,1.280974
2.401933,-1.316980,5.373417,1.281784
2.406168,-1.318308,5.371051,1.282593
2.410405,-1.319632,5.368685,1.283402
2.414643,-1.320951,5.366319,1.284209
2.418882,-1.322265,5.363953,1.285016
2.423123,-1.323575,5.361587,1.285822
2.427364,-1.324880,5.359220,1.286627
2.431607,-1.326180,5.356853,1.287431
2.435851,-1.327476,5.354486,1.288235
