x_in,y_in,x_d,y_d
0.939415,-0.812687,0.972231,-1.990525
0.942311,-0.814707,0.975128,-1.990469
0.945211,-0.816728,0.978029,-1.990412
0.948114,-0.818748,0.980933,-1.990354
0.951020,-0.820769,0.983840,-1.990297
0.953930,-0.822789,0.986750,-1.990239
0.956843,-0.824809,0.989664,-1.990182
0.959759,-0.826830,0.992581,-1.990123
0.962679,-0.828850,0.995502,-1.990065
0.965602,-0.830870,0.998425,-1.990007
0.968529,-0.832890,1.001352,-1.989948
0.971459,-0.834910,1.004282,-1.989889
0.974392,-0.836930,1.007216,-1.989829
0.977329,-0.838950,1.010152,-1.989770
0.980269,-0.840970,1.013092,-1.989710
0.983212,-0.842989,1.016035,-1.989650
0.986159,-0.845009,1.018982,-1.989590
0.989109,-0.847028,1.021931,-1.989529
0.992062,-0.849047,1.024884,-1.989468
0.995018,-0.851066,1.027840,-1.989407
0.997978,-0.853085,1.030800,-1.989346
1.000941,-0.855103,1.033762,-1.989285
1.003907,-0.857122,1.036727,-1.989223
1.006876,-0.859140,1.039696,-1.989161
1.009848,-0.861158,1.042668,-1.989099
1.012824,-0.863175,1.045643,-1.989036
1.015802,-0.865193,1.048621,-1.988974
1.018784,-0.867210,1.051602,-1.988911
1.021768,-0.869227,1.054587,-1.988847
1.024756,-0.871244,1.057574,-1.988784
1.027747,-0.873260,1.060564,-1.988720
1.030741,-0.875276,1.063558,-1.988656
1.033738,-0.877292,1.066554,-1.988592
1.036738,-0.879308,1.069554,-1.988528
1.039741,-0.881323,1.072556,-1.988463
1.042747,-0.883338,1.075562,-1.988398
1.045756,-0.885353,1.078570,-1.988333
1.048767,-0.887368,1.081582,-1.988267
1.051782,-0.889382,1.084596,-1.988202
1.054800,-0.891395,1.087613,-1.988136
1.057820,-0.893409,1.090633,-1.988070
1.060844,-0.895422,1.093656,-1.988003
1.063870,-0.897434,1.096682,-1.987937
1.066900,-0.899447,1.099711,-1.987870
1.069932,-0.901459,1.102742,-1.987802
1.072967,-0.903470,1.105777,-1.987735
1.076004,-0.905481,1.108814,-1.987667
1.079045,-0.907492,1.111854,-1.987599
1.082088,-0.909502,1.114897,-1.987531
1.085134,-0.911512,1.117942,-1.987463
1.088183,-0.913521,1.120991,-1.987394
1.091235,-0.915530,1.124042,-1.987325
1.094289,-0.917539,1.127095,-1.987256
1.097346,-0.919547,1.130152,-1.987187
1.100406,-0.921555,1.133211,-1.987117
1.103469,-0.923562,1.136273,-1.987047
1.106534,-0.925569,1.139337,-1.986977
1.109602,-0.927575,1.142404,-1.986906
1.112673,-0.929580,1.145474,-1.986836
1.115746,-0.931586,1.148546,-1.986765
1.118822,-0.933590,1.151621,-1.986693
1.121901,-0.935594,1.154699,-1.986622
1.124982,-0.937598,1.157779,-1.986550
1.128066,-0.939601,1.160862,-1.986478
1.131152,-0.941604,1.163947,-1.986406
1.134241,-0.943606,1.167035,-1.986334
1.137333,-0.945607,1.170125,-1.986261
1.140427,-0.947608,1.173218,-1.986188
1.143524,-0.949608,1.176314,-1.986115
1.146623,-0.951608,1.179412,-1.986041
1.149725,-0.953607,1.182512,-1.985967
1.152829,-0.955606,1.185615,-1.985893
1.155936,-0.957604,1.188720,-1.985819
1.159045,-0.959601,1.191828,-1.985745
1.162157,-0.961598,1.194938,-1.985670
1.165272,-0.963594,1.198051,-1.985595
1.168388,-0.965589,1.201166,-1.985520
1.171508,-0.967584,1.204283,-1.985444
1.174629,-0.969578,1.207403,-1.985368
1.177754,-0.971571,1.210525,-1.985292
1.180880,-0.973564,1.213649,-1.985216
1.184009,-0.975556,1.216776,-1.985139
1.187141,-0.977547,1.219905,-1.985063
1.190275,-0.979538,1.223037,-1.984985
1.193411,-0.981528,1.226171,-1.984908
1.196550,-0.983517,1.229307,-1.984831
1.199691,-0.985506,1.232446,-1.984753
1.202835,-0.987494,1.235586,-1.984675
1.205980,-0.989481,1.238729,-1.984596
1.209129,-0.991467,1.241875,-1.984518
1.212279,-0.993453,1.245022,-1.984439
1.215432,-0.995438,1.248172,-1.984360
1.218587,-0.997422,1.251324,-1.984280
1.221745,-0.999405,1.254478,-1.984200
1.224905,-1.001388,1.257635,-1.984121
1.228067,-1.003369,1.260793,-1.984040
1.231231,-1.005350,1.263954,-1.983960
1.234398,-1.007330,1.267117,-1.983879
1.237567,-1.009310,1.270283,-1.983798
1.240738,-1.011288,1.273450,-1.983717
1.243912,-1.013266,1.276620,-1.983635
1.247088,-1.015243,1.279792,-1.983554
1.250266,-1.017219,1.282965,-1.983472
1.253446,-1.019194,1.286141,-1.983389
1.256629,-1.021168,1.289320,-1.983307
1.259814,-1.023142,1.292500,-1.983224
1.263001,-1.025115,1.295682,-1.983141
1.266190,-1.027086,1.298867,-1.983058
1.269382,-1.029057,1.302053,-1.982974
1.272575,-1.031027,1.305242,-1.982890
1.275771,-1.032996,1.308433,-1.982806
1.278969,-1.034964,1.311626,-1.982722
1.282170,-1.036932,1.314821,-1.982637
1.285372,-1.038898,1.318017,-1.982552
1.288577,-1.040863,1.321216,-1.982467
1.291784,-1.042828,1.324417,-1.982382
1.294992,-1.044791,1.327621,-1.982296
1.298204,-1.046754,1.330826,-1.982210
1.301417,-1.048716,1.334033,-1.982124
1.304632,-1.050676,1.337242,-1.982037
1.307850,-1.052636,1.340453,-1.981950
1.311069,-1.054595,1.343666,-1.981863
1.314291,-1.056552,1.346881,-1.981776
1.317515,-1.058509,1.350098,-1.981689
1.320741,-1.060465,1.353317,-1.981601
1.323969,-1.062420,1.356538,-1.981513
1.327199,-1.064373,1.359761,-1.981424
1.330432,-1.066326,1.362986,-1.981336
1.333666,-1.068278,1.366213,-1.981247
1.336902,-1.070229,1.369442,-1.981158
1.340141,-1.072178,1.372673,-1.981068
1.343382,-1.074127,1.375905,-1.980978
1.346624,-1.076074,1.379140,-1.980888
1.349869,-1.078021,1.382376,-1.980798
1.353116,-1.079966,1.385615,-1.980708
1.356365,-1.081911,1.388855,-1.980617
1.359615,-1.083854,1.392097,-1.980526
1.362868,-1.085796,1.395341,-1.980435
1.366123,-1.087737,1.398587,-1.980343
1.369380,-1.089677,1.401835,-1.980251
1.372639,-1.091616,1.405085,-1.980159
1.375900,-1.093554,1.408337,-1.980067
1.379164,-1.095490,1.411590,-1.979974
1.382429,-1.097426,1.414846,-1.979881
1.385696,-1.099360,1.418103,-1.979788
1.388965,-1.101294,1.421362,-1.979694
1.392236,-1.103226,1.424623,-1.979600
1.395509,-1.105157,1.427886,-1.979506
1.398784,-1.107087,1.431150,-1.979412
1.402061,-1.109015,1.434417,-1.979318
1.405340,-1.110943,1.437685,-1.979223
1.408621,-1.112869,1.440955,-1.979128
1.411904,-1.114794,1.444227,-1.979032
1.415189,-1.116718,1.447500,-1.978937
1.418476,-1.118641,1.450776,-1.978841
1.421765,-1.120563,1.454053,-1.978744
1.425056,-1.122483,1.457332,-1.978648
1.428349,-1.124402,1.460613,-1.978551
1.431644,-1.126320,1.463896,-1.978454
1.434940,-1.128237,1.467180,-1.978357
1.438239,-1.130152,1.470466,-1.978259
1.441540,-1.132066,1.473754,-1.978161
1.444842,-1.133979,1.477044,-1.978063
1.448147,-1.135891,1.480335,-1.977965
1.451453,-1.137802,1.483629,-1.977866
1.454761,-1.139711,1.486924,-1.977767
1.458072,-1.141619,1.490220,-1.977668
1.461384,-1.143525,1.493519,-1.977568
1.464698,-1.145431,1.496819,-1.977468
1.468014,-1.147335,1.500121,-1.977368
1.471332,-1.149238,1.503425,-1.977268
1.474652,-1.151139,1.506730,-1.977167
1.477973,-1.153040,1.510038,-1.977066
1.481297,-1.154939,1.513347,-1.976965
1.484622,-1.156836,1.516657,-1.976864
1.487950,-1.158732,1.519970,-1.976762
1.491279,-1.160627,1.523284,-1.976660
1.494610,-1.162521,1.526600,-1.976558
1.497943,-1.164413,1.529917,-1.976455
1.501278,-1.166304,1.533236,-1.976352
1.504615,-1.168194,1.536557,-1.976249
1.507954,-1.170082,1.539880,-1.976145
1.511295,-1.171969,1.543204,-1.976042
1.514637,-1.173855,1.546530,-1.975938
1.517981,-1.175739,1.549858,-1.975833
1.521328,-1.177622,1.553187,-1.975729
1.524676,-1.179503,1.556518,-1.975624
1.528026,-1.181383,1.559851,-1.975519
1.531377,-1.183262,1.563185,-1.975413
1.534731,-1.185139,1.566521,-1.975308
1.538086,-1.187015,1.569859,-1.975202
1.541444,-1.188889,1.573199,-1.975095
1.544803,-1.190762,1.576540,-1.974989
1.548164,-1.192634,1.579883,-1.974882
1.551527,-1.194504,1.583227,-1.974775
1.554892,-1.196373,1.586573,-1.974667
1.558258,-1.198240,1.589921,-1.974560
1.561627,-1.200106,1.593270,-1.974452
1.564997,-1.201971,1.596621,-1.974343
1.568369,-1.203834,1.599974,-1.974235
1.571743,-1.205695,1.603328,-1.974126
1.575119,-1.207555,1.606684,-1.974017
1.578496,-1.209414,1.610042,-1.973907
1.581876,-1.211271,1.613401,-1.973798
1.585257,-1.213127,1.616762,-1.973688
1.588640,-1.214981,1.620125,-1.973577
1.592025,-1.216834,1.623489,-1.973467
1.595411,-1.218685,1.626854,-1.973356
1.598800,-1.220535,1.630222,-1.973245
1.602190,-1.222383,1.633591,-1.973133
1.605582,-1.224230,1.636962,-1.973022
1.608976,-1.226075,1.640334,-1.972910
1.612372,-1.227919,1.643708,-1.972797
1.615769,-1.229761,1.647083,-1.972685
1.619169,-1.231602,1.650460,-1.972572
1.622570,-1.233441,1.653839,-1.972459
1.625973,-1.235279,1.657220,-1.972345
1.629378,-1.237115,1.660601,-1.972231
1.632784,-1.238950,1.663985,-1.972117
1.636192,-1.240783,1.667370,-1.972003
1.639603,-1.242614,1.670757,-1.971888
1.643014,-1.244444,1.674145,-1.971773
1.646428,-1.246273,1.677535,-1.971658
1.649844,-1.248099,1.680927,-1.971542
1.653261,-1.249925,1.684320,-1.971427
1.656680,-1.251748,1.687715,-1.971310
1.660101,-1.253571,1.691111,-1.971194
1.663524,-1.255391,1.694509,-1.971077
1.666948,-1.257210,1.697909,-1.970960
1.670374,-1.259028,1.701310,-1.970843
1.673802,-1.260843,1.704713,-1.970725
1.677232,-1.262658,1.708117,-1.970607
1.680663,-1.264470,1.711523,-1.970489
1.684097,-1.266281,1.714930,-1.970371
1.687532,-1.268091,1.718339,-1.970252
1.690969,-1.269898,1.721750,-1.970133
1.694407,-1.271705,1.725162,-1.970013
1.697848,-1.273509,1.728576,-1.969894
1.701290,-1.275312,1.731991,-1.969774
1.704734,-1.277113,1.735408,-1.969653
1.708179,-1.278913,1.738827,-1.969533
1.711627,-1.280711,1.742247,-1.969412
1.715076,-1.282507,1.745669,-1.969291
1.718527,-1.284302,1.749092,-1.969169
1.721980,-1.286095,1.752517,-1.969047
1.725434,-1.287887,1.755943,-1.968925
1.728891,-1.289677,1.759371,-1.968803
1.732349,-1.291465,1.762800,-1.968680
1.735808,-1.293251,1.766231,-1.968557
1.739270,-1.295036,1.769664,-1.968434
1.742733,-1.296819,1.773098,-1.968310
1.746198,-1.298601,1.776534,-1.968186
1.749665,-1.300380,1.779971,-1.968062
1.753134,-1.302158,1.783410,-1.967937
1.756604,-1.303935,1.786851,-1.967813
1.760076,-1.305710,1.790293,-1.967688
1.763550,-1.307483,1.793736,-1.967562
1.767025,-1.309254,1.797181,-1.967436
1.770503,-1.311024,1.800628,-1.967310
1.773982,-1.312792,1.804076,-1.967184
1.777462,-1.314558,1.807526,-1.967057
1.780945,-1.316322,1.810977,-1.966930
1.784429,-1.318085,1.814430,-1.966803
1.787915,-1.319846,1.817884,-1.966675
1.791403,-1.321606,1.821340,-1.966547
1.794892,-1.323363,1.824798,-1.966419
1.798384,-1.325119,1.828257,-1.966291
1.801876,-1.326874,1.831717,-1.966162
1.805371,-1.328626,1.835179,-1.966033
1.808868,-1.330377,1.838643,-1.965903
1.812366,-1.332126,1.842108,-1.965774
1.815866,-1.333873,1.845575,-1.965643
1.819367,-1.335619,1.849043,-1.965513
1.822871,-1.337362,1.852513,-1.965382
1.826376,-1.339105,1.855984,-1.965251
1.829883,-1.340845,1.859457,-1.965120
1.833391,-1.342583,1.862931,-1.964988
1.836901,-1.344320,1.866407,-1.964856
1.840413,-1.346055,1.869885,-1.964724
1.843927,-1.347788,1.873364,-1.964592
1.847443,-1.349520,1.876845,-1.964459
1.850960,-1.351249,1.880327,-1.964326
1.854479,-1.352977,1.883810,-1.964192
1.857999,-1.354703,1.887295,-1.964058
1.861522,-1.356428,1.890782,-1.963924
1.865046,-1.358150,1.894270,-1.963790
1.868571,-1.359871,1.897760,-1.963655
1.872099,-1.361590,1.901251,-1.963520
1.875628,-1.363307,1.904744,-1.963384
1.879159,-1.365023,1.908239,-1.963249
1.882692,-1.366736,1.911734,-1.963113
1.886226,-1.368448,1.915232,-1.962976
1.889762,-1.370158,1.918731,-1.962839
1.893300,-1.371866,1.922231,-1.962702
1.896840,-1.373573,1.925733,-1.962565
1.900381,-1.375277,1.929237,-1.962428
1.903924,-1.376980,1.932742,-1.962290
1.907469,-1.378681,1.936248,-1.962151
1.911015,-1.380380,1.939756,-1.962013
1.914563,-1.382078,1.943266,-1.961874
1.918113,-1.383773,1.946777,-1.961735
1.921665,-1.385467,1.950290,-1.961595
1.925218,-1.387158,1.953804,-1.961455
1.928773,-1.388848,1.957320,-1.961315
1.932330,-1.390537,1.960837,-1.961174
1.935888,-1.392223,1.964356,-1.961033
1.939448,-1.393907,1.967876,-1.960892
1.943010,-1.395590,1.971398,-1.960751
1.946573,-1.397271,1.974921,-1.960609
1.950139,-1.398950,1.978446,-1.960467
1.953706,-1.400627,1.981972,-1.960324
1.957274,-1.402302,1.985500,-1.960182
1.960844,-1.403976,1.989029,-1.960038
1.964417,-1.405647,1.992560,-1.959895
1.967990,-1.407317,1.996092,-1.959751
1.971566,-1.408985,1.999626,-1.959607
1.975143,-1.410651,2.003162,-1.959463
1.978722,-1.412315,2.006699,-1.959318
1.982302,-1.413977,2.010237,-1.959173
1.985885,-1.415637,2.013777,-1.959027
1.989468,-1.417296,2.017319,-1.958882
1.993054,-1.418953,2.020862,-1.958735
1.996641,-1.420607,2.024406,-1.958589
2.000231,-1.422260,2.027952,-1.958442
2.003821,-1.423911,2.031500,-1.958295
2.007414,-1.425560,2.035049,-1.958148
2.011008,-1.427208,2.038599,-1.958000
2.014604,-1.428853,2.042151,-1.957852
2.018201,-1.430496,2.045705,-1.957704
2.021800,-1.432138,2.049260,-1.957555
2.025401,-1.433778,2.052817,-1.957406
2.029004,-1.435416,2.056375,-1.957256
2.032608,-1.437051,2.059934,-1.957107
2.036214,-1.438685,2.063495,-1.956957
2.039822,-1.440318,2.067058,-1.956806
2.043431,-1.441948,2.070622,-1.956656
2.047042,-1.443576,2.074188,-1.956504
2.050655,-1.445203,2.077755,-1.956353
2.054270,-1.446827,2.081324,-1.956201
2.057886,-1.448450,2.084894,-1.956049
2.061504,-1.450070,2.088465,-1.955897
2.065123,-1.451689,2.092039,-1.955744
2.068744,-1.453306,2.095613,-1.955591
2.072367,-1.454921,2.099189,-1.955438
2.075991,-1.456533,2.102767,-1.955284
2.079618,-1.458144,2.106346,-1.955130
2.083245,-1.459753,2.109927,-1.954975
2.086875,-1.461360,2.113509,-1.954820
2.090506,-1.462964,2.117093,-1.954665
2.094139,-1.464567,2.120678,-1.954510
2.097773,-1.466168,2.124264,-1.954354
2.101409,-1.467766,2.127853,-1.954198
2.105046,-1.469362,2.131442,-1.954041
2.108686,-1.470957,2.135033,-1.953885
2.112326,-1.472549,2.138626,-1.953728
2.115969,-1.474139,2.142220,-1.953570
2.119613,-1.475727,2.145815,-1.953412
2.123259,-1.477313,2.149412,-1.953254
2.126906,-1.478896,2.153011,-1.953095
2.130555,-1.480477,2.156610,-1.952937
2.134205,-1.482057,2.160212,-1.952777
2.137857,-1.483634,2.163815,-1.952618
2.141511,-1.485208,2.167419,-1.952458
2.145166,-1.486781,2.171024,-1.952298
2.148822,-1.488351,2.174632,-1.952137
2.152481,-1.489919,2.178240,-1.951976
2.156141,-1.491485,2.181850,-1.951815
2.159802,-1.493048,2.185462,-1.951653
2.163465,-1.494609,2.189074,-1.951491
2.167129,-1.496168,2.192689,-1.951329
2.170796,-1.497725,2.196304,-1.951166
2.174463,-1.499279,2.199921,-1.951003
2.178132,-1.500831,2.203540,-1.950840
2.181803,-1.502380,2.207160,-1.950676
2.185475,-1.503927,2.210781,-1.950512
2.189149,-1.505472,2.214404,-1.950348
2.192824,-1.507015,2.218028,-1.950183
2.196501,-1.508554,2.221654,-1.950018
2.200179,-1.510092,2.225281,-1.949853
2.203859,-1.511627,2.228909,-1.949687
2.207540,-1.513160,2.232539,-1.949521
2.211223,-1.514690,2.236170,-1.949354
2.214907,-1.516218,2.239802,-1.949187
2.218593,-1.517743,2.243436,-1.949020
2.222280,-1.519266,2.247071,-1.948853
2.225969,-1.520786,2.250708,-1.948685
2.229659,-1.522304,2.254346,-1.948517
2.233351,-1.523820,2.257985,-1.948348
2.237044,-1.525332,2.261626,-1.948179
2.240738,-1.526843,2.265268,-1.948010
2.244435,-1.528350,2.268911,-1.947840
2.248132,-1.529856,2.272556,-1.947670
2.251831,-1.531358,2.276202,-1.947500
2.255532,-1.532858,2.279849,-1.947329
2.259233,-1.534356,2.283498,-1.947158
2.262937,-1.535851,2.287148,-1.946987
2.266642,-1.537343,2.290799,-1.946815
2.270348,-1.538832,2.294452,-1.946643
2.274055,-1.540320,2.298106,-1.946471
2.277765,-1.541804,2.301761,-1.946298
2.281475,-1.543286,2.305418,-1.946125
2.285187,-1.544765,2.309076,-1.945951
2.288900,-1.546241,2.312735,-1.945778
2.292615,-1.547715,2.316396,-1.945603
2.296331,-1.549186,2.320058,-1.945429
2.300049,-1.550654,2.323721,-1.945254
2.303768,-1.552120,2.327386,-1.945079
2.307488,-1.553583,2.331052,-1.944903
2.311210,-1.555043,2.334719,-1.944727
2.314933,-1.556501,2.338387,-1.944551
2.318658,-1.557956,2.342057,-1.944374
2.322384,-1.559408,2.345728,-1.944197
2.326111,-1.560857,2.349400,-1.944020
2.329840,-1.562303,2.353074,-1.943842
2.333570,-1.563747,2.356749,-1.943664
2.337302,-1.565188,2.360425,-1.943485
2.341035,-1.566626,2.364102,-1.943307
2.344769,-1.568062,2.367781,-1.943128
2.348504,-1.569494,2.371461,-1.942948
2.352241,-1.570924,2.375142,-1.942768
2.355980,-1.572351,2.378824,-1.942588
2.359719,-1.573775,2.382508,-1.942407
2.363460,-1.575196,2.386193,-1.942226
