x_in,y_in
2.318488,6.443859
2.316300,6.444453
2.314105,6.445045
2.311904,6.445635
2.309698,6.446222
2.307486,6.446808
2.305267,6.447392
2.303043,6.447975
2.300813,6.448555
2.298577,6.449134
2.296335,6.449712
2.294087,6.450288
2.291832,6.450862
2.289572,6.451435
2.287306,6.452007
2.285034,6.452578
2.282755,6.453147
2.280471,6.453716
2.278180,6.454283
2.275883,6.454850
2.273580,6.455415
2.271271,6.455980
2.268956,6.456544
2.266634,6.457107
2.264306,6.457670
2.261972,6.458232
2.259632,6.458794
2.257285,6.459355
2.254933,6.459916
2.252574,6.460476
2.250208,6.461037
2.247836,6.461597
2.245458,6.462157
2.243074,6.462718
2.240683,6.463278
2.238286,6.463839
2.235883,6.464399
2.233473,6.464960
2.231057,6.465522
2.228634,6.466083
2.226205,6.466646
2.223770,6.467208
2.221328,6.467772
2.218880,6.468336
2.216425,6.468901
2.213964,6.469467
2.211496,6.470033
2.209022,6.470601
2.206541,6.471170
2.204054,6.471739
2.201560,6.472310
2.199060,6.472882
2.196553,6.473456
2.194040,6.474031
2.191520,6.474607
2.188994,6.475185
2.186461,6.475764
2.183922,6.476345
2.181376,6.476928
2.178823,6.477512
2.176264,6.478098
2.173699,6.478687
2.171126,6.479277
2.168548,6.479869
2.165962,6.480463
2.163370,6.481060
2.160772,6.481659
2.158166,6.482260
2.155555,6.482863
2.152936,6.483469
2.150311,6.484077
2.147679,6.484688
2.145041,6.485302
2.142396,6.485918
2.139745,6.486537
2.137087,6.487159
2.134422,6.487784
2.131751,6.488411
2.129073,6.489042
2.126388,6.489676
2.123697,6.490313
2.120999,6.490953
2.118294,6.491596
2.115583,6.492243
2.112865,6.492893
2.110141,6.493547
2.107410,6.494204
2.104672,6.494865
2.101928,6.495529
2.099177,6.496197
2.096420,6.496869
2.093656,6.497544
2.090885,6.498224
2.088108,6.498907
2.085324,6.499594
2.082533,6.500286
2.079736,6.500981
2.076932,6.501681
2.074122,6.502385
