x_in,y_in,x_d,y_d
1.482327,-1.070440,12.210324,1.452086
1.486024,-1.072825,12.205455,1.453223
1.489724,-1.075207,12.200586,1.454358
1.493427,-1.077586,12.195716,1.455493
1.497133,-1.079963,12.190846,1.456625
1.500842,-1.082336,12.185976,1.457757
1.504554,-1.084707,12.181105,1.458887
1.508268,-1.087075,12.176234,1.460016
1.511986,-1.089440,12.171363,1.461144
1.515706,-1.091802,12.166492,1.462271
1.519430,-1.094161,12.161620,1.463396
1.523156,-1.096517,12.156748,1.464520
1.526886,-1.098871,12.151876,1.465643
1.530618,-1.101221,12.147003,1.466764
1.534353,-1.103569,12.142130,1.467885
1.538091,-1.105913,12.137257,1.469004
1.541832,-1.108255,12.132384,1.470122
1.545575,-1.110593,12.127510,1.471238
1.549322,-1.112929,12.122636,1.472354
1.553072,-1.115261,12.117762,1.473468
1.556824,-1.117591,12.112887,1.474581
1.560579,-1.119917,12.108012,1.475692
1.564337,-1.122240,12.103137,1.476803
1.568098,-1.124561,12.098262,1.477912
1.571862,-1.126878,12.093386,1.479020
1.575628,-1.129192,12.088510,1.480127
1.579398,-1.131503,12.083634,1.481233
1.583170,-1.133811,12.078757,1.482337
1.586945,-1.136115,12.073880,1.483440
1.590723,-1.138417,12.069003,1.484542
1.594504,-1.140715,12.064126,1.485643
1.598287,-1.143010,12.059249,1.486743
1.602073,-1.145302,12.054371,1.487841
1.605862,-1.147591,12.049493,1.488938
1.609654,-1.149877,12.044614,1.490034
1.613449,-1.152159,12.039735,1.491129
1.617246,-1.154438,12.034857,1.492223
1.621046,-1.156714,12.029977,1.493315
1.624849,-1.158986,12.025098,1.494406
1.628654,-1.161255,12.020218,1.495497
1.632463,-1.163521,12.015338,1.496585
1.636274,-1.165784,12.010458,1.497673
1.640087,-1.168043,12.005577,1.498760
1.643904,-1.170299,12.000697,1.499845
1.647723,-1.172552,11.995816,1.500929
1.651545,-1.174801,11.990934,1.502012
1.655369,-1.177047,11.986053,1.503094
1.659197,-1.179290,11.981171,1.504175
1.663027,-1.181529,11.976289,1.505255
1.666859,-1.183764,11.971407,1.506333
1.670694,-1.185997,11.966524,1.507410
1.674532,-1.188226,11.961641,1.508487
1.678373,-1.190451,11.956758,1.509562
1.682216,-1.192673,11.951875,1.510635
1.686062,-1.194891,11.946991,1.511708
1.689910,-1.197106,11.942107,1.512780
1.693761,-1.199318,11.937223,1.513850
1.697615,-1.201526,11.932339,1.514919
1.701471,-1.203730,11.927454,1.515987
1.705330,-1.205931,11.922570,1.517054
1.709192,-1.208129,11.917685,1.518120
1.713056,-1.210323,11.912799,1.519185
1.716923,-1.212513,11.907914,1.520248
1.720792,-1.214700,11.903028,1.521311
1.724663,-1.216883,11.898142,1.522372
1.728538,-1.219062,11.893255,1.523432
1.732415,-1.221238,11.888369,1.524492
1.736294,-1.223410,11.883482,1.525550
1.740176,-1.225579,11.878595,1.526606
1.744060,-1.227744,11.873708,1.527662
1.747947,-1.229905,11.868820,1.528717
1.751837,-1.232063,11.863933,1.529770
1.755729,-1.234217,11.859045,1.530823
1.759623,-1.236368,11.854156,1.531874
1.763520,-1.238514,11.849268,1.532924
1.767420,-1.240657,11.844379,1.533973
1.771321,-1.242796,11.839490,1.535021
1.775226,-1.244932,11.834601,1.536068
1.779133,-1.247064,11.829712,1.537114
1.783042,-1.249192,11.824822,1.538159
1.786953,-1.251316,11.819932,1.539203
1.790868,-1.253436,11.815042,1.540245
1.794784,-1.255553,11.810152,1.541287
1.798703,-1.257666,11.805261,1.542327
1.802624,-1.259775,11.800370,1.543366
1.806548,-1.261880,11.795479,1.544404
1.810474,-1.263982,11.790588,1.545442
1.814402,-1.266079,11.785697,1.546478
1.818333,-1.268173,11.780805,1.547513
1.822266,-1.270263,11.775913,1.548547
1.826202,-1.272349,11.771021,1.549579
1.830140,-1.274431,11.766128,1.550611
1.834080,-1.276510,11.761236,1.551642
1.838023,-1.278584,11.756343,1.552672
1.841968,-1.280655,11.751450,1.553700
1.845915,-1.282721,11.746557,1.554728
1.849864,-1.284784,11.741663,1.555754
1.853816,-1.286843,11.736769,1.556779
1.857770,-1.288898,11.731876,1.557804
1.861727,-1.290949,11.726981,1.558827
1.865685,-1.292995,11.722087,1.559849
1.869646,-1.295038,11.717192,1.560871
1.873609,-1.297077,11.712298,1.561891
1.877575,-1.299112,11.707402,1.562910
1.881542,-1.301143,11.702507,1.563928
1.885512,-1.303170,11.697612,1.564945
1.889484,-1.305193,11.692716,1.565961
1.893459,-1.307212,11.687820,1.566976
1.897435,-1.309227,11.682924,1.567990
1.901414,-1.311238,11.678028,1.569002
1.905395,-1.313245,11.673131,1.570014
1.909378,-1.315248,11.668234,1.571025
1.913363,-1.317247,11.663337,1.572035
1.917351,-1.319241,11.658440,1.573044
1.921340,-1.321232,11.653543,1.574051
1.925332,-1.323218,11.648645,1.575058
1.929326,-1.325201,11.643747,1.576064
1.933322,-1.327179,11.638849,1.577068
1.937320,-1.329153,11.633951,1.578072
1.941320,-1.331123,11.629053,1.579074
1.945323,-1.333089,11.624154,1.580076
1.949327,-1.335051,11.619255,1.581077
1.953334,-1.337008,11.614356,1.582076
1.957343,-1.338962,11.609457,1.583075
1.961353,-1.340911,11.604557,1.584072
1.965366,-1.342856,11.599658,1.585069
1.969381,-1.344797,11.594758,1.586064
1.973398,-1.346734,11.589858,1.587059
1.977417,-1.348666,11.584957,1.588052
1.981438,-1.350595,11.580057,1.589045
1.985461,-1.352519,11.575156,1.590036
1.989486,-1.354439,11.570255,1.591027
1.993514,-1.356354,11.565354,1.592016
1.997543,-1.358266,11.560453,1.593005
2.001574,-1.360173,11.555551,1.593992
2.005607,-1.362076,11.550650,1.594979
2.009642,-1.363975,11.545748,1.595965
2.013679,-1.365869,11.540846,1.596949
2.017718,-1.367759,11.535943,1.597933
2.021759,-1.369645,11.531041,1.598915
2.025802,-1.371527,11.526138,1.599897
2.029847,-1.373404,11.521235,1.600878
2.033894,-1.375277,11.516332,1.601857
2.037943,-1.377146,11.511429,1.602836
2.041993,-1.379010,11.506525,1.603814
2.046046,-1.380870,11.501622,1.604791
2.050101,-1.382726,11.496718,1.605766
2.054157,-1.384577,11.491814,1.606741
2.058215,-1.386424,11.486910,1.607715
2.062276,-1.388267,11.482005,1.608688
2.066338,-1.390105,11.477100,1.609660
2.070402,-1.391939,11.472196,1.610631
2.074467,-1.393769,11.467291,1.611601
2.078535,-1.395594,11.462385,1.612570
