x_in,y_in,x_d,y_d
1.506991,1.428850,2.984963,1.999925
1.509826,1.432108,2.984926,2.002424
1.512659,1.435371,2.984888,2.004924
1.515492,1.438637,2.984850,2.007424
1.518324,1.441909,2.984812,2.009923
1.521155,1.445184,2.984774,2.012423
1.523985,1.448464,2.984736,2.014923
1.526814,1.451749,2.984699,2.017423
1.529642,1.455038,2.984660,2.019922
1.532470,1.458331,2.984622,2.022422
1.535296,1.461628,2.984584,2.024922
1.538122,1.464930,2.984546,2.027421
1.540946,1.468237,2.984508,2.029921
1.543770,1.471547,2.984470,2.032421
1.546593,1.474862,2.984431,2.034921
1.549414,1.478182,2.984393,2.037420
1.552235,1.481506,2.984354,2.039920
1.555055,1.484834,2.984316,2.042420
1.557874,1.488166,2.984277,2.044919
1.560692,1.491503,2.984239,2.047419
1.563509,1.494845,2.984200,2.049919
1.566325,1.498190,2.984162,2.052418
1.569140,1.501540,2.984123,2.054918
1.571953,1.504895,2.984084,2.057418
1.574766,1.508254,2.984045,2.059918
1.577578,1.511617,2.984006,2.062417
1.580389,1.514984,2.983968,2.064917
1.583199,1.518356,2.983929,2.067417
1.586007,1.521732,2.983890,2.069916
1.588815,1.525113,2.983851,2.072416
1.591621,1.528497,2.983812,2.074916
1.594427,1.531887,2.983772,2.077415
1.597231,1.535280,2.983733,2.079915
1.600034,1.538678,2.983694,2.082415
1.602836,1.542080,2.983655,2.084914
1.605637,1.545487,2.983615,2.087414
1.608437,1.548898,2.983576,2.089914
1.611236,1.552313,2.983537,2.092414
1.614033,1.555733,2.983497,2.094913
1.616830,1.559156,2.983458,2.097413
1.619625,1.562585,2.983418,2.099913
1.622419,1.566017,2.983378,2.102412
1.625212,1.569454,2.983339,2.104912
1.628004,1.572895,2.983299,2.107412
1.630794,1.576341,2.983259,2.109911
1.633583,1.579790,2.983220,2.112411
1.636371,1.583245,2.983180,2.114911
1.639158,1.586703,2.983140,2.117410
1.641944,1.590166,2.983100,2.119910
1.644728,1.593633,2.983060,2.122410
1.647512,1.597104,2.983020,2.124909
1.650294,1.600580,2.982980,2.127409
1.653074,1.604060,2.982940,2.129909
1.655854,1.607544,2.982899,2.132408
1.658632,1.611033,2.982859,2.134908
