psi_bar,psi_hat,x_bar,x_hat,y_bar,y_hat,psi_m,x_m,y_m
-0.041151,0.041754,-0.006488,0.006590,-0.002097,0.002126,0.000000,0.000000,0.000000
-0.041754,0.042357,-0.006590,0.006693,-0.002126,0.002154,0.000000,0.000000,0.000000
-0.042357,0.042962,-0.006693,0.006796,-0.002154,0.002182,0.000000,0.000000,0.000000
-0.042962,0.043567,-0.006796,0.006900,-0.002182,0.002211,0.000000,0.000000,0.000000
-0.043567,0.044172,-0.006900,0.007004,-0.002211,0.002239,0.000000,0.000000,0.000000
-0.044172,0.044778,-0.007004,0.007109,-0.002239,0.002268,0.000000,0.000000,0.000000
-0.044778,0.045384,-0.007109,0.007214,-0.002268,0.002297,0.000000,0.000000,0.000000
-0.045384,0.045990,-0.007214,0.007320,-0.002297,0.002325,0.000000,0.000000,0.000000
-0.045990,0.046596,-0.007320,0.007425,-0.002325,0.002354,0.000000,0.000000,0.000000
-0.046596,0.047202,-0.007425,0.007532,-0.002354,0.002383,0.000000,0.000000,0.000000
-0.047202,0.047808,-0.007532,0.007639,-0.002383,0.002412,0.000000,0.000000,0.000000
-0.047808,0.048413,-0.007639,0.007746,-0.002412,0.002441,0.000000,0.000000,0.000000
-0.048413,0.049019,-0.007746,0.007853,-0.002441,0.002470,0.000000,0.000000,0.000000
-0.049019,0.049624,-0.007853,0.007961,-0.002470,0.002499,0.000000,0.000000,0.000000
-0.049624,0.050229,-0.007961,0.008069,-0.002499,0.002528,0.000000,0.000000,0.000000
-0.050229,0.050833,-0.008069,0.008178,-0.002528,0.002557,0.000000,0.000000,0.000000
-0.050833,0.051436,-0.008178,0.008287,-0.002557,0.002587,0.000000,0.000000,0.000000
-0.051436,0.052039,-0.008287,0.008396,-0.002587,0.002616,0.000000,0.000000,0.000000
-0.052039,0.052641,-0.008396,0.008506,-0.002616,0.002645,0.000000,0.000000,0.000000
-0.052641,0.053242,-0.008506,0.008616,-0.002645,0.002675,0.000000,0.000000,0.000000
-0.053242,0.053842,-0.008616,0.008726,-0.002675,0.002704,0.000000,0.000000,0.000000
-0.053842,0.054441,-0.008726,0.008837,-0.002704,0.002734,0.000000,0.000000,0.000000
-0.054441,0.055038,-0.008837,0.008948,-0.002734,0.002764,0.000000,0.000000,0.000000
-0.055038,0.055635,-0.008948,0.009059,-0.002764,0.002793,0.000000,0.000000,0.000000
-0.055635,0.056230,-0.009059,0.009171,-0.002793,0.002823,0.000000,0.000000,0.000000
-0.056230,0.056824,-0.009171,0.009283,-0.002823,0.002853,0.000000,0.000000,0.000000
-0.056824,0.057417,-0.009283,0.009395,-0.002853,0.002882,0.000000,0.000000,0.000000
-0.057417,0.058008,-0.009395,0.009507,-0.002882,0.002912,0.000000,0.000000,0.000000
-0.058008,0.058597,-0.009507,0.009620,-0.002912,0.002942,0.000000,0.000000,0.000000
-0.058597,0.059185,-0.009620,0.009733,-0.002942,0.002972,0.000000,0.000000,0.000000
-0.059185,0.059771,-0.009733,0.009846,-0.002972,0.003002,0.000000,0.000000,0.000000
-0.059771,0.060355,-0.009846,0.009959,-0.003002,0.003032,0.000000,0.000000,0.000000
-0.060355,0.060938,-0.009959,0.010073,-0.003032,0.003062,0.000000,0.000000,0.000000
-0.060938,0.061518,-0.010073,0.010187,-0.003062,0.003092,0.000000,0.000000,0.000000
-0.061518,0.062096,-0.010187,0.010301,-0.003092,0.003122,0.000000,0.000000,0.000000
-0.062096,0.062673,-0.010301,0.010415,-0.003122,0.003152,0.000000,0.000000,0.000000
-0.062673,0.063247,-0.010415,0.010530,-0.003152,0.003183,0.000000,0.000000,0.000000
-0.063247,0.063819,-0.010530,0.010645,-0.003183,0.003213,0.000000,0.000000,0.000000
-0.063819,0.064388,-0.010645,0.010760,-0.003213,0.003243,0.000000,0.000000,0.000000
-0.064388,0.064956,-0.010760,0.010875,-0.003243,0.003273,0.000000,0.000000,0.000000
-0.064956,0.065521,-0.010875,0.010990,-0.003273,0.003304,0.000000,0.000000,0.000000
-0.065521,0.066083,-0.010990,0.011106,-0.003304,0.003334,0.000000,0.000000,0.000000
-0.066083,0.066643,-0.011106,0.011221,-0.003334,0.003364,0.000000,0.000000,0.000000
-0.066643,0.067200,-0.011221,0.011337,-0.003364,0.003395,0.000000,0.000000,0.000000
-0.067200,0.067755,-0.011337,0.011453,-0.003395,0.003425,0.000000,0.000000,0.000000
-0.067755,0.068307,-0.011453,0.011569,-0.003425,0.003456,0.000000,0.000000,0.000000
-0.068307,0.068857,-0.011569,0.011686,-0.003456,0.003486,0.000000,0.000000,0.000000
-0.068857,0.069403,-0.011686,0.011802,-0.003486,0.003517,0.000000,0.000000,0.000000
-0.069403,0.069947,-0.011802,0.011919,-0.003517,0.003547,0.000000,0.000000,0.000000
-0.069947,0.070488,-0.011919,0.012036,-0.003547,0.003578,0.000000,0.000000,0.000000
-0.070488,0.071026,-0.012036,0.012152,-0.003578,0.003608,0.000000,0.000000,0.000000
-0.071026,0.071561,-0.012152,0.012269,-0.003608,0.003639,0.000000,0.000000,0.000000
-0.071561,0.072092,-0.012269,0.012387,-0.003639,0.003670,0.000000,0.000000,0.000000
-0.072092,0.072621,-0.012387,0.012504,-0.003670,0.003700,0.000000,0.000000,0.000000
-0.072621,0.073147,-0.012504,0.012621,-0.003700,0.003731,0.000000,0.000000,0.000000
-0.073147,0.073669,-0.012621,0.012738,-0.003731,0.003762,0.000000,0.000000,0.000000
-0.073669,0.074188,-0.012738,0.012856,-0.003762,0.003792,0.000000,0.000000,0.000000
-0.074188,0.074704,-0.012856,0.012974,-0.003792,0.003823,0.000000,0.000000,0.000000
-0.074704,0.075217,-0.012974,0.013091,-0.003823,0.003854,0.000000,0.000000,0.000000
-0.075217,0.075726,-0.013091,0.013209,-0.003854,0.003885,0.000000,0.000000,0.000000
-0.075726,0.076232,-0.013209,0.013327,-0.003885,0.003915,0.000000,0.000000,0.000000
-0.076232,0.076735,-0.013327,0.013445,-0.003915,0.003946,0.000000,0.000000,0.000000
-0.076735,0.077234,-0.013445,0.013562,-0.003946,0.003977,0.000000,0.000000,0.000000
-0.077234,0.077729,-0.013562,0.013680,-0.003977,0.004008,0.000000,0.000000,0.000000
-0.077729,0.078221,-0.013680,0.013798,-0.004008,0.004039,0.000000,0.000000,0.000000
-0.078221,0.078710,-0.013798,0.013917,-0.004039,0.004069,0.000000,0.000000,0.000000
-0.078710,0.079195,-0.013917,0.014035,-0.004069,0.004100,0.000000,0.000000,0.000000
-0.079195,0.079676,-0.014035,0.014153,-0.004100,0.004131,0.000000,0.000000,0.000000
-0.079676,0.080153,-0.014153,0.014271,-0.004131,0.004162,0.000000,0.000000,0.000000
-0.080153,0.080627,-0.014271,0.014389,-0.004162,0.004193,0.000000,0.000000,0.000000
-0.080627,0.081097,-0.014389,0.014507,-0.004193,0.004224,0.000000,0.000000,0.000000
-0.081097,0.081564,-0.014507,0.014626,-0.004224,0.004255,0.000000,0.000000,0.000000
-0.081564,0.082026,-0.014626,0.014744,-0.004255,0.004286,0.000000,0.000000,0.000000
-0.082026,0.082485,-0.014744,0.014862,-0.004286,0.004317,0.000000,0.000000,0.000000
-0.082485,0.082940,-0.014862,0.014980,-0.004317,0.004348,0.000000,0.000000,0.000000
-0.082940,0.083391,-0.014980,0.015099,-0.004348,0.004379,0.000000,0.000000,0.000000
-0.083391,0.083838,-0.015099,0.015217,-0.004379,0.004409,0.000000,0.000000,0.000000
-0.083838,0.084281,-0.015217,0.015335,-0.004409,0.004440,0.000000,0.000000,0.000000
-0.084281,0.084721,-0.015335,0.015453,-0.004440,0.004471,0.000000,0.000000,0.000000
-0.084721,0.085156,-0.015453,0.015571,-0.004471,0.004502,0.000000,0.000000,0.000000
-0.085156,0.085588,-0.015571,0.015690,-0.004502,0.004533,0.000000,0.000000,0.000000
-0.085588,0.086015,-0.015690,0.015808,-0.004533,0.004564,0.000000,0.000000,0.000000
-0.086015,0.086439,-0.015808,0.015926,-0.004564,0.004595,0.000000,0.000000,0.000000
-0.086439,0.086858,-0.015926,0.016044,-0.004595,0.004626,0.000000,0.000000,0.000000
-0.086858,0.087273,-0.016044,0.016162,-0.004626,0.004657,0.000000,0.000000,0.000000
-0.087273,0.087685,-0.016162,0.016280,-0.004657,0.004688,0.000000,0.000000,0.000000
-0.087685,0.088092,-0.016280,0.016398,-0.004688,0.004719,0.000000,0.000000,0.000000
-0.088092,0.088495,-0.016398,0.016516,-0.004719,0.004750,0.000000,0.000000,0.000000
-0.088495,0.088894,-0.016516,0.016633,-0.004750,0.004781,0.000000,0.000000,0.000000
-0.088894,0.089289,-0.016633,0.016751,-0.004781,0.004812,0.000000,0.000000,0.000000
-0.089289,0.089680,-0.016751,0.016869,-0.004812,0.004843,0.000000,0.000000,0.000000
-0.089680,0.090067,-0.016869,0.016986,-0.004843,0.004874,0.000000,0.000000,0.000000
-0.090067,0.090450,-0.016986,0.017104,-0.004874,0.004905,0.000000,0.000000,0.000000
-0.090450,0.090828,-0.017104,0.017221,-0.004905,0.004936,0.000000,0.000000,0.000000
