psi_bar,psi_hat,x_bar,x_hat,y_bar,y_hat,psi_m,x_m,y_m
0.046578,0.016664,0.036964,0.024058,-0.012014,0.037949,0.061860,0.059740,0.025383
0.045196,0.018082,0.035682,0.025691,-0.012566,0.037546,0.061860,0.059740,0.025383
0.043779,0.019474,0.034049,0.027280,-0.012164,0.037122,0.061860,0.059740,0.025383
0.042386,0.020842,0.032460,0.028816,-0.011739,0.036708,0.061860,0.059740,0.025383
0.041018,0.022185,0.030924,0.030298,-0.011326,0.036307,0.061860,0.059740,0.025383
0.039675,0.023505,0.029442,0.031730,-0.010924,0.035917,0.061860,0.059740,0.025383
0.038356,0.024800,0.028010,0.033111,-0.010535,0.035539,0.061860,0.059740,0.025383
0.037060,0.026073,0.026629,0.034445,-0.010157,0.035172,0.061860,0.059740,0.025383
0.035788,0.027322,0.025295,0.035733,-0.009790,0.034816,0.061860,0.059740,0.025383
0.034539,0.028548,0.024007,0.036976,-0.009434,0.034471,0.061860,0.059740,0.025383
0.012654,0.029751,-0.077606,0.038175,0.004911,0.034136,0.041202,-0.040630,0.039382
0.011451,0.030312,-0.078805,0.035317,0.005246,0.034377,0.041202,-0.040630,0.039382
0.010890,0.030852,-0.075947,0.032419,0.005005,0.034627,0.041202,-0.040630,0.039382
0.010350,0.031380,-0.073049,0.029612,0.004755,0.034868,0.041202,-0.040630,0.039382
0.009822,0.031897,-0.070242,0.026897,0.004514,0.035100,0.041202,-0.040630,0.039382
0.009305,0.032404,-0.067527,0.024273,0.004282,0.035322,0.041202,-0.040630,0.039382
0.008798,0.032900,-0.064903,0.021735,0.004060,0.035535,0.041202,-0.040630,0.039382
0.008302,0.033386,-0.062365,0.019282,0.003847,0.035739,0.041202,-0.040630,0.039382
0.007816,0.033861,-0.059912,0.016910,0.003643,0.035935,0.041202,-0.040630,0.039382
0.007341,0.034326,-0.057540,0.014617,0.003447,0.036123,0.041202,-0.040630,0.039382
-0.034586,0.034782,-0.004739,0.012401,-0.013779,0.036303,-0.000259,0.009879,0.022344
-0.035041,0.033984,-0.002522,0.012277,-0.013959,0.035797,-0.000259,0.009879,0.022344
-0.034243,0.033176,-0.002398,0.012225,-0.013453,0.035283,-0.000259,0.009879,0.022344
-0.033435,0.032381,-0.002346,0.012176,-0.012940,0.034786,-0.000259,0.009879,0.022344
-0.032640,0.031600,-0.002297,0.012128,-0.012443,0.034307,-0.000259,0.009879,0.022344
-0.031859,0.030832,-0.002250,0.012082,-0.011963,0.033844,-0.000259,0.009879,0.022344
-0.031091,0.030077,-0.002203,0.012037,-0.011500,0.033397,-0.000259,0.009879,0.022344
-0.030336,0.029335,-0.002158,0.011993,-0.011053,0.032966,-0.000259,0.009879,0.022344
-0.029594,0.028605,-0.002115,0.011951,-0.010622,0.032550,-0.000259,0.009879,0.022344
-0.028864,0.027887,-0.002072,0.011909,-0.010207,0.032149,-0.000259,0.009879,0.022344
-0.020141,0.027182,-0.017579,0.011869,-0.089710,0.031763,0.007746,-0.005670,-0.057561
-0.019436,0.026729,-0.017539,0.011207,-0.089324,0.028193,0.007746,-0.005670,-0.057561
-0.018983,0.026287,-0.016878,0.010547,-0.085754,0.024638,0.007746,-0.005670,-0.057561
-0.018541,0.025856,-0.016217,0.009908,-0.082199,0.021206,0.007746,-0.005670,-0.057561
-0.018110,0.025436,-0.015579,0.009291,-0.078767,0.017899,0.007746,-0.005670,-0.057561
-0.017690,0.025025,-0.014961,0.008694,-0.075460,0.014713,0.007746,-0.005670,-0.057561
-0.017279,0.024623,-0.014364,0.008117,-0.072274,0.011643,0.007746,-0.005670,-0.057561
-0.016877,0.024231,-0.013787,0.007559,-0.069204,0.008685,0.007746,-0.005670,-0.057561
-0.016485,0.023847,-0.013229,0.007020,-0.066246,0.005837,0.007746,-0.005670,-0.057561
-0.016101,0.023471,-0.012690,0.006499,-0.063398,0.003095,0.007746,-0.005670,-0.057561
-0.049528,0.023104,-0.028406,0.005995,-0.035452,0.000455,-0.026057,-0.021907,-0.032357
-0.049161,0.021730,-0.027902,0.004863,-0.032812,-0.001078,-0.026057,-0.021907,-0.032357
-0.047786,0.020363,-0.026770,0.003747,-0.031279,-0.002516,-0.026057,-0.021907,-0.032357
-0.046419,0.019020,-0.025655,0.002669,-0.029841,-0.003896,-0.026057,-0.021907,-0.032357
-0.045077,0.017701,-0.024576,0.001626,-0.028461,-0.005221,-0.026057,-0.021907,-0.032357
-0.043758,0.016405,-0.023533,0.000618,-0.027136,-0.006495,-0.026057,-0.021907,-0.032357
-0.042462,0.015132,-0.022525,-0.000356,-0.025862,-0.007717,-0.026057,-0.021907,-0.032357
-0.041189,0.013882,-0.021551,-0.001298,-0.024640,-0.008891,-0.026057,-0.021907,-0.032357
-0.039939,0.012654,-0.020610,-0.002207,-0.023466,-0.010017,-0.026057,-0.021907,-0.032357
