PosXRight,PosYRight,Absolute Time
0.000000,0.000000,3568988195.577481
0.000000,0.000000,3568988195.587483
0.000000,0.000000,3568988195.597482
0.000000,0.000000,3568988195.607481
0.000000,0.000000,3568988195.617482
0.000000,0.000000,3568988195.627480
0.000000,0.000000,3568988195.637483
0.000000,0.000000,3568988195.647485
0.000000,0.000000,3568988195.657484
0.000000,0.000000,3568988195.667483
0.000000,0.000000,3568988195.677485
0.000000,0.000000,3568988195.687484
0.000000,0.000000,3568988195.697483
0.000000,0.000000,3568988195.707487
0.000000,0.000000,3568988195.717485
0.000000,0.000000,3568988195.727485
0.000000,0.000000,3568988195.737486
0.000000,0.000000,3568988195.747488
0.000000,0.000000,3568988195.757487
0.000000,0.000000,3568988195.767488
0.000000,0.000000,3568988195.777486
0.000000,0.000000,3568988195.787488
0.000000,0.000000,3568988195.797488
0.000000,0.000000,3568988195.807487
0.000000,0.000000,3568988195.817489
0.000000,0.000000,3568988195.827491
0.000000,0.000000,3568988195.837490
0.000000,0.000000,3568988195.847489
0.000000,0.000000,3568988195.857489
0.000000,0.000000,3568988195.867490
0.000000,0.000000,3568988195.877491
0.000000,0.000000,3568988195.887493
0.000000,0.000000,3568988195.897491
0.000000,0.000000,3568988195.907491
0.000000,0.000000,3568988195.917493
0.000000,0.000000,3568988195.927491
0.000000,0.000000,3568988195.937492
0.000000,0.000000,3568988195.947495
0.000000,0.000000,3568988195.957493
0.000000,0.000000,3568988195.967494
0.000000,0.000000,3568988195.977496
0.000000,0.000000,3568988195.987494
0.000000,0.000000,3568988195.997494
0.000000,0.000000,3568988196.007496
0.000000,0.000000,3568988196.017495
0.000000,0.000000,3568988196.027496
0.000000,0.000000,3568988196.037496
0.000000,0.000000,3568988196.047497
0.000000,0.000000,3568988196.057497
0.000000,0.000000,3568988196.067498
0.000000,0.000000,3568988196.077497
0.000000,0.000000,3568988196.087498
0.000000,0.000000,3568988196.097498
0.000000,0.000000,3568988196.107498
0.000000,0.000000,3568988196.117499
0.000000,0.000000,3568988196.127502
0.000000,0.000000,3568988196.137498
0.000000,0.000000,3568988196.147499
0.000000,0.000000,3568988196.157501
0.000000,0.000000,3568988196.167500
0.000000,0.000000,3568988196.177500
0.000000,0.000000,3568988196.187502
0.000000,0.000000,3568988196.197500
0.000000,0.000000,3568988196.207501
0.000000,0.000000,3568988196.217502
0.000000,0.000000,3568988196.227501
0.000000,0.000000,3568988196.237503
0.000000,0.000000,3568988196.247505
0.000000,0.000000,3568988196.257503
0.000000,0.000000,3568988196.267503
0.000000,0.000000,3568988196.277504
0.000000,0.000000,3568988196.287504
0.000000,0.000000,3568988196.297504
0.000000,0.000000,3568988196.307507
0.000000,0.000000,3568988196.317505
0.000000,0.000000,3568988196.327504
0.000000,0.000000,3568988196.337506
0.000000,0.000000,3568988196.347506
0.000000,0.000000,3568988196.357508
0.000000,0.000000,3568988196.367509
0.000000,0.000000,3568988196.377507
0.000000,0.000000,3568988196.387507
0.000000,0.000000,3568988196.397508
0.000000,0.000000,3568988196.407509
0.000000,0.000000,3568988196.417508
0.000000,0.000000,3568988196.427511
0.000000,0.000000,3568988196.437510
0.000000,0.000000,3568988196.447509
0.000000,0.000000,3568988196.457510
0.000000,0.000000,3568988196.467510
0.000000,0.000000,3568988196.477511
0.000000,0.000000,3568988196.487513
0.000000,0.000000,3568988196.497511
0.000000,0.000000,3568988196.507512
0.000000,0.000000,3568988196.517510
0.000000,0.000000,3568988196.527513
0.000000,0.000000,3568988196.537513
0.000000,0.000000,3568988196.547514
0.000000,0.000000,3568988196.557511
0.000000,0.000000,3568988196.567513
0.000000,0.000000,3568988196.577513
0.000000,0.000000,3568988196.587514
0.000000,0.000000,3568988196.597514
0.000000,0.000000,3568988196.607517
0.000000,0.000000,3568988196.617515
0.000000,0.000000,3568988196.627513
0.000000,0.000000,3568988196.637516
0.000000,0.000000,3568988196.647516
0.000000,0.000000,3568988196.657518
0.000000,0.000000,3568988196.667518
0.000000,0.000000,3568988196.677517
0.000000,0.000000,3568988196.687519
0.000000,0.000000,3568988196.697518
0.000000,0.000000,3568988196.707517
0.000000,0.000000,3568988196.717519
0.000000,0.000000,3568988196.727520
0.000000,0.000000,3568988196.737519
0.000000,0.000000,3568988196.747520
0.000000,0.000000,3568988196.757520
0.000000,0.000000,3568988196.767519
0.000000,0.000000,3568988196.777520
0.000000,0.000000,3568988196.787521
0.000000,0.000000,3568988196.797521
0.000000,0.000000,3568988196.807521
0.000000,0.000000,3568988196.817521
0.000000,0.000000,3568988196.827522
0.000000,0.000000,3568988196.837523
0.000000,0.000000,3568988196.847524
0.000000,0.000000,3568988196.857522
0.000000,0.000000,3568988196.867524
0.000000,0.000000,3568988196.877524
0.000000,0.000000,3568988196.887524
0.000000,0.000000,3568988196.897524
0.000000,0.000000,3568988196.907525
0.000000,0.000000,3568988196.917525
0.000000,0.000000,3568988196.927525
0.000000,0.000000,3568988196.937526
0.000000,0.000000,3568988196.947525
0.000000,0.000000,3568988196.957527
0.000000,0.000000,3568988196.967528
0.000000,0.000000,3568988196.977530
0.000000,0.000000,3568988196.987527
0.000000,0.000000,3568988196.997528
0.000000,0.000000,3568988197.007529
0.000000,0.000000,3568988197.017527
0.000000,0.000000,3568988197.027530
0.000000,0.000000,3568988197.037528
0.000000,0.000000,3568988197.047529
0.000000,0.000000,3568988197.057529
0.000000,-0.072176,3568988197.067531
0.000000,-0.175268,3568988197.077530
0.000000,-0.268075,3568988197.087532
0.000000,-0.391766,3568988197.097530
0.000000,-0.391766,3568988197.107532
0.000000,-0.525803,3568988197.117531
0.000000,-0.670125,3568988197.127532
0.000000,-0.762932,3568988197.137532
0.000000,-0.835078,3568988197.147534
0.000000,-0.938200,3568988197.157533
0.000000,-0.979431,3568988197.167534
