psi_m,x_m,y_m
0.586852,1.756956,-1.051421
0.586456,1.759627,-1.050711
0.586062,1.762298,-1.049993
0.585670,1.764971,-1.049269
0.585281,1.767645,-1.048537
0.584893,1.770320,-1.047798
0.584508,1.772996,-1.047052
0.584125,1.775673,-1.046298
0.583743,1.778351,-1.045538
0.583364,1.781030,-1.044770
0.582986,1.783711,-1.043996
0.582611,1.786393,-1.043214
0.582238,1.789075,-1.042425
0.581866,1.791759,-1.041629
0.581496,1.794445,-1.040826
0.581128,1.797131,-1.040016
0.580762,1.799818,-1.039199
0.580398,1.802507,-1.038375
0.580035,1.805197,-1.037543
0.579675,1.807888,-1.036705
0.579316,1.810580,-1.035860
0.578958,1.813274,-1.035008
0.578603,1.815968,-1.034149
0.578248,1.818664,-1.033283
0.577896,1.821361,-1.032410
0.577545,1.824060,-1.031530
0.577196,1.826759,-1.030643
0.576848,1.829460,-1.029750
0.576502,1.832162,-1.028849
0.576157,1.834866,-1.027942
0.575814,1.837570,-1.027027
0.575472,1.840276,-1.026106
0.575131,1.842983,-1.025178
0.574792,1.845692,-1.024244
0.574454,1.848401,-1.023302
0.574118,1.851112,-1.022354
0.573782,1.853824,-1.021399
0.573448,1.856538,-1.020437
0.573116,1.859253,-1.019468
0.572784,1.861969,-1.018493
0.572454,1.864686,-1.017511
0.572125,1.867405,-1.016522
0.571797,1.870125,-1.015527
0.571470,1.872847,-1.014524
0.571144,1.875569,-1.013515
0.570819,1.878293,-1.012500
0.570495,1.881019,-1.011478
0.570172,1.883746,-1.010449
0.569850,1.886474,-1.009413
0.569529,1.889203,-1.008371
0.569209,1.891934,-1.007322
0.568890,1.894666,-1.006267
0.568571,1.897399,-1.005205
0.568254,1.900134,-1.004137
0.567937,1.902870,-1.003062
0.567621,1.905608,-1.001980
0.567305,1.908347,-1.000892
0.566991,1.911087,-0.999797
0.566677,1.913829,-0.998696
0.566363,1.916572,-0.997588
0.566050,1.919317,-0.996474
0.565738,1.922062,-0.995353
0.565426,1.924810,-0.994226
0.565115,1.927558,-0.993092
0.564805,1.930308,-0.991952
0.564494,1.933060,-0.990805
0.564184,1.935813,-0.989652
0.563875,1.938567,-0.988492
0.563566,1.941322,-0.987326
0.563257,1.944079,-0.986154
0.562949,1.946838,-0.984975
0.562641,1.949598,-0.983790
0.562333,1.952359,-0.982598
0.562025,1.955122,-0.981400
0.561718,1.957886,-0.980196
0.561410,1.960652,-0.978985
0.561103,1.963419,-0.977768
0.560796,1.966187,-0.976544
0.560489,1.968957,-0.975314
0.560182,1.971728,-0.974078
0.559875,1.974501,-0.972836
0.559568,1.977275,-0.971587
0.559260,1.980051,-0.970332
0.558953,1.982828,-0.969070
0.558646,1.985606,-0.967803
0.558338,1.988386,-0.966529
0.558031,1.991168,-0.965248
0.557723,1.993951,-0.963962
0.557414,1.996735,-0.962669
0.557106,1.999521,-0.961370
0.556797,2.002308,-0.960065
0.556488,2.005096,-0.958753
0.556179,2.007887,-0.957435
0.555869,2.010678,-0.956111
0.555558,2.013471,-0.954781
0.555247,2.016266,-0.953445
0.554936,2.019062,-0.952102
0.554624,2.021859,-0.950753
0.554312,2.024658,-0.949398
0.553999,2.027458,-0.948037
0.553685,2.030260,-0.946670
0.553371,2.033063,-0.945296
0.553056,2.035868,-0.943916
0.552740,2.038674,-0.942531
0.552423,2.041482,-0.941139
0.552106,2.044291,-0.939740
0.551788,2.047101,-0.938336
0.551469,2.049913,-0.936926
0.551149,2.052727,-0.935509
0.550828,2.055542,-0.934087
0.550506,2.058358,-0.932658
0.550183,2.061176,-0.931223
0.549860,2.063995,-0.929782
0.549535,2.066816,-0.928335
0.549209,2.069638,-0.926882
0.548882,2.072462,-0.925423
0.548553,2.075287,-0.923957
0.548224,2.078114,-0.922486
0.547893,2.080942,-0.921009
0.547561,2.083772,-0.919525
0.547228,2.086603,-0.918035
0.546893,2.089435,-0.916540
0.546557,2.092269,-0.915038
0.546220,2.095105,-0.913531
0.545881,2.097942,-0.912017
0.545541,2.100780,-0.910497
0.545199,2.103620,-0.908971
0.544856,2.106461,-0.907440
0.544511,2.109304,-0.905902
0.544165,2.112148,-0.904358
0.543817,2.114994,-0.902808
0.543467,2.117841,-0.901252
0.543116,2.120689,-0.899690
0.542762,2.123539,-0.898123
0.542408,2.126391,-0.896549
0.542051,2.129244,-0.894969
0.541692,2.132098,-0.893383
0.541332,2.134954,-0.891792
0.540969,2.137811,-0.890194
0.540605,2.140670,-0.888590
0.540239,2.143530,-0.886981
0.539870,2.146392,-0.885365
0.539500,2.149255,-0.883743
0.539127,2.152119,-0.882116
0.538753,2.154985,-0.880483
0.538376,2.157852,-0.878843
0.537997,2.160721,-0.877198
0.537616,2.163591,-0.875547
0.537232,2.166463,-0.873889
0.536846,2.169336,-0.872226
0.536458,2.172210,-0.870557
0.536068,2.175086,-0.868882
0.535675,2.177964,-0.867201
0.535279,2.180842,-0.865514
0.534881,2.183723,-0.863822
0.534481,2.186604,-0.862123
0.534078,2.189487,-0.860419
0.533673,2.192372,-0.858708
0.533264,2.195257,-0.856992
0.532853,2.198145,-0.855270
0.532440,2.201033,-0.853541
0.532024,2.203923,-0.851807
0.531604,2.206815,-0.850067
0.531182,2.209707,-0.848322
0.530758,2.212602,-0.846570
0.530330,2.215497,-0.844812
0.529899,2.218394,-0.843049
0.529466,2.221293,-0.841280
0.529029,2.224192,-0.839504
0.528590,2.227093,-0.837723
0.528147,2.229996,-0.835936
0.527701,2.232900,-0.834144
0.527252,2.235805,-0.832345
0.526800,2.238712,-0.830540
0.526344,2.241620,-0.828730
0.525885,2.244529,-0.826914
0.525423,2.247440,-0.825092
0.524958,2.250352,-0.823264
0.524489,2.253265,-0.821430
0.524017,2.256180,-0.819590
0.523541,2.259096,-0.817745
0.523062,2.262014,-0.815893
0.522579,2.264932,-0.814036
0.522093,2.267852,-0.812173
0.521603,2.270774,-0.810304
0.521109,2.273697,-0.808429
0.520612,2.276621,-0.806549
0.520111,2.279546,-0.804662
0.519606,2.282473,-0.802770
0.519098,2.285401,-0.800872
0.518585,2.288330,-0.798968
0.518069,2.291261,-0.797058
0.517548,2.294193,-0.795143
0.517024,2.297126,-0.793221
0.516495,2.300061,-0.791294
0.515963,2.302997,-0.789361
0.515426,2.305934,-0.787422
0.514886,2.308872,-0.785477
0.514341,2.311812,-0.783527
0.513792,2.314753,-0.781571
0.513238,2.317695,-0.779608
0.512681,2.320639,-0.777640
0.512119,2.323583,-0.775667
0.511552,2.326529,-0.773687
0.510982,2.329477,-0.771702
0.510406,2.332425,-0.769710
0.509827,2.335375,-0.767713
0.509242,2.338326,-0.765710
0.508653,2.341278,-0.763702
0.508060,2.344231,-0.761687
0.507461,2.347186,-0.759667
0.506858,2.350142,-0.757641
0.506251,2.353099,-0.755609
0.505638,2.356057,-0.753571
0.505021,2.359017,-0.751528
0.504399,2.361978,-0.749478
0.503771,2.364940,-0.747423
0.503139,2.367903,-0.745362
0.502502,2.370867,-0.743296
0.501860,2.373833,-0.741223
0.501212,2.376799,-0.739145
0.500560,2.379767,-0.737061
0.499902,2.382736,-0.734971
0.499240,2.385706,-0.732875
0.498571,2.388677,-0.730773
0.497898,2.391650,-0.728666
0.497219,2.394624,-0.726553
0.496535,2.397598,-0.724434
0.495845,2.400574,-0.722309
0.495150,2.403551,-0.720179
0.494450,2.406529,-0.718043
0.493743,2.409508,-0.715901
0.493032,2.412488,-0.713753
0.492314,2.415469,-0.711600
0.491591,2.418450,-0.709441
0.490862,2.421433,-0.707276
0.490127,2.424417,-0.705105
0.489387,2.427401,-0.702929
0.488640,2.430386,-0.700748
0.487888,2.433372,-0.698561
0.487130,2.436358,-0.696368
0.486365,2.439346,-0.694169
0.485595,2.442334,-0.691965
0.484818,2.445322,-0.689756
0.484036,2.448311,-0.687540
0.483247,2.451301,-0.685320
0.482452,2.454291,-0.683094
0.481651,2.457282,-0.680862
0.480843,2.460273,-0.678625
0.480029,2.463265,-0.676382
0.479209,2.466257,-0.674134
0.478382,2.469250,-0.671880
0.477549,2.472242,-0.669621
0.476709,2.475236,-0.667357
0.475863,2.478229,-0.665087
0.475010,2.481223,-0.662812
0.474150,2.484216,-0.660531
0.473284,2.487210,-0.658245
0.472411,2.490204,-0.655954
0.471531,2.493199,-0.653658
0.470644,2.496193,-0.651356
0.469751,2.499187,-0.649048
0.468850,2.502182,-0.646736
0.467943,2.505176,-0.644418
0.467028,2.508170,-0.642095
0.466107,2.511164,-0.639767
