psi_m,x_m,y_m
0.871435,0.875816,-0.641399
0.871174,0.878362,-0.642798
0.870902,0.880909,-0.644190
0.870621,0.883457,-0.645577
0.870329,0.886006,-0.646958
0.870028,0.888556,-0.648333
0.869716,0.891107,-0.649702
0.869395,0.893659,-0.651065
0.869064,0.896212,-0.652423
0.868723,0.898766,-0.653774
0.868373,0.901321,-0.655120
0.868013,0.903877,-0.656459
0.867644,0.906434,-0.657792
0.867266,0.908992,-0.659119
0.866878,0.911551,-0.660440
0.866481,0.914111,-0.661755
0.866074,0.916671,-0.663064
0.865659,0.919233,-0.664367
0.865234,0.921795,-0.665663
0.864801,0.924358,-0.666953
0.864358,0.926923,-0.668237
0.863907,0.929487,-0.669514
0.863447,0.932053,-0.670786
0.862979,0.934620,-0.672050
0.862501,0.937187,-0.673309
0.862016,0.939755,-0.674561
0.861521,0.942324,-0.675806
0.861019,0.944894,-0.677046
0.860508,0.947464,-0.678278
0.859989,0.950035,-0.679504
0.859461,0.952607,-0.680724
0.858926,0.955180,-0.681937
0.858383,0.957753,-0.683143
0.857831,0.960328,-0.684343
0.857272,0.962902,-0.685536
0.856705,0.965478,-0.686723
0.856130,0.968054,-0.687903
0.855548,0.970631,-0.689076
0.854958,0.973209,-0.690242
0.854361,0.975787,-0.691402
0.853756,0.978366,-0.692555
0.853144,0.980946,-0.693701
0.852525,0.983526,-0.694840
0.851899,0.986107,-0.695973
0.851265,0.988688,-0.697098
0.850625,0.991270,-0.698217
0.849977,0.993853,-0.699329
0.849323,0.996436,-0.700434
0.848662,0.999020,-0.701532
0.847994,1.001605,-0.702623
0.847320,1.004190,-0.703708
0.846639,1.006776,-0.704785
0.845952,1.009362,-0.705855
0.845258,1.011949,-0.706919
0.844559,1.014536,-0.707975
0.843852,1.017123,-0.709025
0.843140,1.019711,-0.710067
0.842422,1.022300,-0.711103
0.841697,1.024889,-0.712132
0.840967,1.027478,-0.713153
0.840231,1.030068,-0.714168
0.839489,1.032658,-0.715176
0.838742,1.035249,-0.716177
0.837989,1.037840,-0.717170
0.837230,1.040431,-0.718157
0.836466,1.043022,-0.719137
0.835697,1.045614,-0.720110
0.834922,1.048206,-0.721076
0.834142,1.050799,-0.722035
0.833357,1.053391,-0.722987
0.832567,1.055984,-0.723932
0.831772,1.058578,-0.724869
0.830972,1.061171,-0.725800
0.830168,1.063764,-0.726724
0.829358,1.066358,-0.727641
0.828544,1.068952,-0.728551
0.827725,1.071546,-0.729455
0.826901,1.074140,-0.730351
0.826074,1.076734,-0.731240
0.825241,1.079329,-0.732122
0.824405,1.081923,-0.732997
0.823564,1.084518,-0.733865
0.822719,1.087112,-0.734727
0.821870,1.089707,-0.735581
0.821017,1.092302,-0.736428
0.820160,1.094896,-0.737269
0.819299,1.097491,-0.738102
0.818434,1.100086,-0.738929
0.817565,1.102680,-0.739748
0.816693,1.105275,-0.740561
0.815817,1.107870,-0.741367
0.814938,1.110464,-0.742166
0.814055,1.113058,-0.742958
0.813168,1.115653,-0.743743
0.812279,1.118247,-0.744521
0.811386,1.120841,-0.745292
0.810490,1.123435,-0.746057
0.809590,1.126028,-0.746815
0.808688,1.128622,-0.747565
0.807783,1.131215,-0.748309
0.806874,1.133808,-0.749046
0.805963,1.136401,-0.749777
0.805049,1.138994,-0.750500
0.804132,1.141586,-0.751217
0.803213,1.144178,-0.751927
0.802291,1.146770,-0.752630
0.801366,1.149362,-0.753326
0.800439,1.151953,-0.754016
0.799509,1.154544,-0.754699
