psi_m,x_m,y_m,x_d,psi_d,y_d
19.199410,4.586662,-3.018129,4.523862,-0.183319,-2.866281
19.202644,4.590001,-3.020606,4.526321,-0.182992,-2.866736
19.205875,4.593333,-3.023090,4.528779,-0.182665,-2.867191
19.209101,4.596657,-3.025583,4.531237,-0.182338,-2.867645
19.212323,4.599972,-3.028084,4.533696,-0.182012,-2.868097
19.215540,4.603279,-3.030593,4.536155,-0.181685,-2.868550
19.218752,4.606578,-3.033110,4.538614,-0.181359,-2.869001
19.221959,4.609869,-3.035635,4.541073,-0.181032,-2.869451
19.225161,4.613151,-3.038169,4.543532,-0.180706,-2.869901
19.228357,4.616426,-3.040711,4.545991,-0.180380,-2.870350
19.231547,4.619692,-3.043261,4.548451,-0.180054,-2.870798
19.234730,4.622950,-3.045820,4.550911,-0.179728,-2.871245
19.237908,4.626200,-3.048387,4.553370,-0.179402,-2.871692
19.241079,4.629441,-3.050963,4.555830,-0.179076,-2.872138
19.244243,4.632675,-3.053547,4.558290,-0.178751,-2.872583
19.247399,4.635900,-3.056139,4.560751,-0.178425,-2.873027
19.250549,4.639117,-3.058741,4.563211,-0.178099,-2.873470
19.253691,4.642326,-3.061351,4.565672,-0.177774,-2.873912
19.256824,4.645527,-3.063970,4.568132,-0.177449,-2.874354
19.259950,4.648720,-3.066597,4.570593,-0.177124,-2.874795
19.263067,4.651904,-3.069233,4.573054,-0.176798,-2.875235
19.266176,4.655081,-3.071878,4.575515,-0.176473,-2.875674
19.269276,4.658249,-3.074532,4.577976,-0.176148,-2.876113
19.272366,4.661409,-3.077194,4.580438,-0.175824,-2.876551
19.275447,4.664561,-3.079865,4.582899,-0.175499,-2.876988
19.278518,4.667705,-3.082544,4.585361,-0.175174,-2.877424
19.281579,4.670841,-3.085232,4.587823,-0.174850,-2.877859
19.284629,4.673968,-3.087928,4.590285,-0.174525,-2.878293
19.287669,4.677087,-3.090633,4.592747,-0.174201,-2.878727
19.290698,4.680197,-3.093345,4.595209,-0.173876,-2.879160
19.293716,4.683300,-3.096066,4.597671,-0.173552,-2.879592
19.296722,4.686393,-3.098795,4.600134,-0.173228,-2.880023
19.299717,4.689479,-3.101531,4.602597,-0.172904,-2.880454
19.302699,4.692556,-3.104276,4.605059,-0.172580,-2.880884
19.305669,4.695625,-3.107028,4.607522,-0.172256,-2.881313
19.308626,4.698685,-3.109788,4.609985,-0.171932,-2.881741
19.311570,4.701736,-3.112556,4.612449,-0.171609,-2.882168
19.314501,4.704779,-3.115331,4.614912,-0.171285,-2.882595
19.317419,4.707814,-3.118114,4.617375,-0.170962,-2.883020
19.320322,4.710840,-3.120903,4.619839,-0.170638,-2.883445
