psi_m,x_m,y_m,psi_d,x_d,y_d
2.940991,7.683316,0.177644,3.118872,6.189233,2.997851
2.941830,7.685031,0.180978,3.119173,6.186734,2.997907
2.942662,7.686742,0.184312,3.119473,6.184235,2.997963
2.943488,7.688451,0.187647,3.119773,6.181735,2.998018
2.944307,7.690156,0.190983,3.120074,6.179236,2.998072
2.945119,7.691857,0.194320,3.120374,6.176736,2.998125
2.945925,7.693556,0.197657,3.120675,6.174237,2.998178
2.946724,7.695251,0.200994,3.120975,6.171738,2.998230
2.947516,7.696943,0.204333,3.121275,6.169238,2.998281
2.948302,7.698632,0.207671,3.121576,6.166739,2.998331
2.949081,7.700317,0.211010,3.121876,6.164239,2.998381
2.949853,7.701999,0.214350,3.122176,6.161740,2.998430
2.950619,7.703677,0.217690,3.122476,6.159240,2.998478
2.951378,7.705353,0.221031,3.122777,6.156740,2.998526
2.952130,7.707024,0.224372,3.123077,6.154241,2.998572
2.952876,7.708693,0.227713,3.123377,6.151741,2.998618
2.953615,7.710358,0.231055,3.123678,6.149242,2.998663
2.954347,7.712019,0.234398,3.123978,6.146742,2.998708
2.955073,7.713677,0.237741,3.124278,6.144243,2.998751
2.955792,7.715332,0.241084,3.124578,6.141743,2.998794
2.956504,7.716983,0.244427,3.124879,6.139243,2.998836
2.957210,7.718631,0.247771,3.125179,6.136744,2.998878
2.957908,7.720275,0.251115,3.125479,6.134244,2.998919
2.958601,7.721915,0.254460,3.125779,6.131744,2.998958
2.959286,7.723552,0.257805,3.126079,6.129245,2.998998
2.959965,7.725186,0.261150,3.126380,6.126745,2.999036
2.960638,7.726816,0.264496,3.126680,6.124245,2.999074
2.961303,7.728442,0.267842,3.126980,6.121745,2.999111
2.961962,7.730065,0.271188,3.127280,6.119246,2.999147
2.962615,7.731684,0.274534,3.127580,6.116746,2.999182
2.963261,7.733300,0.277881,3.127880,6.114246,2.999217
2.963900,7.734912,0.281227,3.128181,6.111746,2.999251
2.964533,7.736520,0.284574,3.128481,6.109247,2.999284
2.965159,7.738125,0.287922,3.128781,6.106747,2.999316
2.965778,7.739726,0.291269,3.129081,6.104247,2.999348
2.966392,7.741323,0.294617,3.129381,6.101747,2.999379
