psi_m,x_m,y_m,psi_d,x_d,y_d
5.879727,-1.285893,3.215509,-0.396058,3.141162,-2.461247
5.880272,-1.287122,3.212195,-0.395632,3.143469,-2.462211
5.880817,-1.288348,3.208880,-0.395206,3.145776,-2.463174
5.881361,-1.289570,3.205564,-0.394780,3.148083,-2.464136
5.881905,-1.290790,3.202247,-0.394354,3.150391,-2.465097
5.882448,-1.292006,3.198929,-0.393929,3.152699,-2.466057
5.882992,-1.293219,3.195610,-0.393503,3.155008,-2.467016
5.883534,-1.294428,3.192291,-0.393079,3.157317,-2.467974
5.884077,-1.295635,3.188970,-0.392654,3.159627,-2.468931
5.884619,-1.296838,3.185648,-0.392230,3.161937,-2.469887
5.885161,-1.298038,3.182325,-0.391806,3.164247,-2.470842
5.885702,-1.299235,3.179001,-0.391382,3.166558,-2.471797
5.886244,-1.300428,3.175676,-0.390958,3.168869,-2.472750
5.886785,-1.301619,3.172350,-0.390535,3.171181,-2.473702
5.887325,-1.302806,3.169023,-0.390112,3.173493,-2.474653
5.887866,-1.303990,3.165695,-0.389689,3.175805,-2.475603
5.888406,-1.305170,3.162366,-0.389267,3.178118,-2.476553
5.888946,-1.306348,3.159036,-0.388845,3.180431,-2.477501
5.889485,-1.307522,3.155705,-0.388423,3.182744,-2.478448
5.890025,-1.308693,3.152374,-0.388001,3.185058,-2.479395
5.890564,-1.309861,3.149041,-0.387580,3.187373,-2.480340
5.891103,-1.311026,3.145707,-0.387159,3.189688,-2.481284
5.891642,-1.312187,3.142372,-0.386738,3.192003,-2.482228
5.892180,-1.313345,3.139036,-0.386317,3.194318,-2.483170
5.892719,-1.314500,3.135699,-0.385897,3.196634,-2.484112
5.893257,-1.315652,3.132361,-0.385477,3.198951,-2.485052
5.893795,-1.316801,3.129022,-0.385057,3.201267,-2.485992
5.894333,-1.317946,3.125683,-0.384638,3.203585,-2.486930
5.894871,-1.319088,3.122342,-0.384218,3.205902,-2.487868
5.895409,-1.320227,3.119000,-0.383799,3.208220,-2.488804
5.895946,-1.321363,3.115657,-0.383380,3.210538,-2.489740
5.896484,-1.322495,3.112313,-0.382962,3.212857,-2.490675
5.897022,-1.323624,3.108968,-0.382544,3.215176,-2.491608
5.897559,-1.324750,3.105623,-0.382126,3.217496,-2.492541
5.898096,-1.325873,3.102276,-0.381708,3.219815,-2.493473
5.898634,-1.326993,3.098928,-0.381291,3.222136,-2.494404
5.899171,-1.328109,3.095579,-0.380873,3.224456,-2.495333
5.899708,-1.329222,3.092230,-0.380456,3.226777,-2.496262
5.900246,-1.330332,3.088879,-0.380040,3.229099,-2.497190
5.900783,-1.331439,3.085527,-0.379623,3.231421,-2.498117
5.901320,-1.332543,3.082174,-0.379207,3.233743,-2.499043
5.901857,-1.333643,3.078821,-0.378791,3.236065,-2.499968
5.902395,-1.334740,3.075466,-0.378375,3.238388,-2.500892
5.902932,-1.335834,3.072110,-0.377960,3.240712,-2.501815
5.903470,-1.336925,3.068754,-0.377545,3.243036,-2.502737
5.904007,-1.338012,3.065396,-0.377130,3.245360,-2.503658
5.904545,-1.339096,3.062037,-0.376715,3.247684,-2.504578
5.905082,-1.340177,3.058678,-0.376301,3.250009,-2.505498
5.905620,-1.341255,3.055317,-0.375887,3.252334,-2.506416
5.906158,-1.342330,3.051956,-0.375473,3.254660,-2.507333
5.906696,-1.343401,3.048593,-0.375059,3.256986,-2.508249
5.907234,-1.344469,3.045230,-0.374646,3.259312,-2.509165
5.907772,-1.345534,3.041865,-0.374233,3.261639,-2.510079
5.908311,-1.346596,3.038500,-0.373820,3.263966,-2.510992
5.908849,-1.347655,3.035133,-0.373407,3.266294,-2.511905
5.909388,-1.348710,3.031766,-0.372995,3.268622,-2.512816
5.909927,-1.349762,3.028397,-0.372583,3.270950,-2.513727
5.910466,-1.350811,3.025028,-0.372171,3.273279,-2.514637
5.911005,-1.351857,3.021657,-0.371759,3.275608,-2.515545
5.911545,-1.352900,3.018286,-0.371348,3.277937,-2.516453
5.912085,-1.353939,3.014914,-0.370936,3.280267,-2.517359
5.912625,-1.354975,3.011540,-0.370525,3.282597,-2.518265
5.913165,-1.356008,3.008166,-0.370115,3.284928,-2.519170
5.913705,-1.357038,3.004791,-0.369704,3.287259,-2.520074
5.914246,-1.358064,3.001414,-0.369294,3.289590,-2.520977
5.914787,-1.359088,2.998037,-0.368884,3.291921,-2.521879
5.915328,-1.360108,2.994659,-0.368475,3.294253,-2.522780
5.915870,-1.361125,2.991280,-0.368065,3.296586,-2.523680
5.916412,-1.362139,2.987900,-0.367656,3.298919,-2.524579
5.916954,-1.363149,2.984518,-0.367247,3.301252,-2.525477
5.917497,-1.364157,2.981136,-0.366838,3.303585,-2.526374
5.918040,-1.365161,2.977753,-0.366430,3.305919,-2.527270
5.918583,-1.366162,2.974369,-0.366022,3.308253,-2.528165
5.919126,-1.367160,2.970984,-0.365614,3.310588,-2.529060
5.919670,-1.368154,2.967598,-0.365206,3.312923,-2.529953
5.920215,-1.369146,2.964211,-0.364798,3.315258,-2.530845
5.920759,-1.370134,2.960823,-0.364391,3.317594,-2.531737
5.921304,-1.371119,2.957434,-0.363984,3.319930,-2.532627
5.921850,-1.372101,2.954044,-0.363577,3.322266,-2.533517
5.922396,-1.373080,2.950654,-0.363171,3.324603,-2.534405
5.922942,-1.374055,2.947262,-0.362764,3.326940,-2.535293
5.923489,-1.375028,2.943869,-0.362358,3.329278,-2.536180
5.924036,-1.375997,2.940475,-0.361953,3.331615,-2.537065
5.924584,-1.376963,2.937080,-0.361547,3.333954,-2.537950
5.925132,-1.377926,2.933685,-0.361142,3.336292,-2.538834
5.925680,-1.378885,2.930288,-0.360737,3.338631,-2.539717
5.926229,-1.379842,2.926890,-0.360332,3.340970,-2.540599
5.926779,-1.380795,2.923492,-0.359927,3.343310,-2.541480
5.927329,-1.381745,2.920092,-0.359523,3.345650,-2.542360
5.927879,-1.382692,2.916692,-0.359118,3.347990,-2.543239
5.928430,-1.383636,2.913290,-0.358714,3.350331,-2.544117
5.928982,-1.384577,2.909888,-0.358311,3.352672,-2.544994
5.929534,-1.385514,2.906484,-0.357907,3.355013,-2.545870
5.930087,-1.386448,2.903080,-0.357504,3.357355,-2.546746
5.930640,-1.387380,2.899674,-0.357101,3.359697,-2.547620
5.931193,-1.388308,2.896268,-0.356698,3.362040,-2.548494
5.931748,-1.389232,2.892861,-0.356296,3.364383,-2.549366
5.932302,-1.390154,2.889453,-0.355893,3.366726,-2.550238
5.932858,-1.391072,2.886043,-0.355491,3.369069,-2.551108
5.933414,-1.391988,2.882633,-0.355090,3.371413,-2.551978
5.933970,-1.392900,2.879222,-0.354688,3.373757,-2.552847
5.934528,-1.393809,2.875810,-0.354287,3.376102,-2.553714
5.935085,-1.394715,2.872397,-0.353885,3.378447,-2.554581
5.935644,-1.395618,2.868983,-0.353485,3.380792,-2.555447
5.936203,-1.396517,2.865568,-0.353084,3.383138,-2.556312
5.936762,-1.397414,2.862152,-0.352683,3.385484,-2.557176
5.937323,-1.398307,2.858735,-0.352283,3.387830,-2.558039
5.937884,-1.399197,2.855317,-0.351883,3.390177,-2.558901
5.938445,-1.400084,2.851899,-0.351483,3.392524,-2.559762
5.939008,-1.400968,2.848479,-0.351084,3.394871,-2.560623
5.939570,-1.401849,2.845058,-0.350684,3.397219,-2.561482
5.940134,-1.402726,2.841636,-0.350285,3.399567,-2.562340
5.940698,-1.403601,2.838214,-0.349887,3.401915,-2.563198
5.941263,-1.404472,2.834790,-0.349488,3.404264,-2.564054
5.941829,-1.405340,2.831366,-0.349089,3.406613,-2.564910
5.942395,-1.406205,2.827940,-0.348691,3.408962,-2.565765
5.942962,-1.407067,2.824514,-0.348293,3.411312,-2.566618
5.943530,-1.407926,2.821087,-0.347896,3.413662,-2.567471
5.944099,-1.408781,2.817658,-0.347498,3.416012,-2.568323
5.944668,-1.409634,2.814229,-0.347101,3.418363,-2.569174
5.945238,-1.410483,2.810799,-0.346704,3.420714,-2.570024
5.945809,-1.411330,2.807368,-0.346307,3.423065,-2.570873
5.946380,-1.412173,2.803936,-0.345910,3.425417,-2.571721
5.946952,-1.413013,2.800503,-0.345514,3.427769,-2.572568
5.947525,-1.413850,2.797069,-0.345118,3.430122,-2.573414
5.948099,-1.414683,2.793634,-0.344722,3.432474,-2.574260
5.948674,-1.415514,2.790198,-0.344326,3.434828,-2.575104
5.949249,-1.416342,2.786761,-0.343930,3.437181,-2.575947
5.949825,-1.417166,2.783323,-0.343535,3.439535,-2.576790
5.950402,-1.417988,2.779885,-0.343140,3.441889,-2.577632
5.950980,-1.418806,2.776445,-0.342745,3.444243,-2.578472
5.951558,-1.419621,2.773005,-0.342351,3.446598,-2.579312
5.952137,-1.420433,2.769563,-0.341956,3.448953,-2.580151
5.952717,-1.421242,2.766121,-0.341562,3.451308,-2.580989
5.953298,-1.422048,2.762677,-0.341168,3.453664,-2.581825
5.953880,-1.422851,2.759233,-0.340774,3.456020,-2.582661
5.954463,-1.423650,2.755788,-0.340381,3.458377,-2.583497
5.955046,-1.424447,2.752342,-0.339987,3.460733,-2.584331
5.955630,-1.425240,2.748895,-0.339594,3.463091,-2.585164
5.956215,-1.426031,2.745447,-0.339201,3.465448,-2.585996
5.956801,-1.426818,2.741998,-0.338809,3.467806,-2.586828
5.957388,-1.427602,2.738548,-0.338416,3.470164,-2.587658
5.957975,-1.428383,2.735097,-0.338024,3.472522,-2.588488
5.958564,-1.429161,2.731646,-0.337632,3.474881,-2.589316
5.959153,-1.429936,2.728193,-0.337240,3.477240,-2.590144
5.959743,-1.430708,2.724739,-0.336848,3.479599,-2.590971
5.960334,-1.431477,2.721285,-0.336457,3.481959,-2.591796
5.960926,-1.432243,2.717830,-0.336066,3.484319,-2.592621
5.961519,-1.433005,2.714373,-0.335675,3.486679,-2.593445
5.962113,-1.433765,2.710916,-0.335284,3.489040,-2.594268
5.962707,-1.434521,2.707458,-0.334893,3.491401,-2.595090
5.963303,-1.435275,2.703999,-0.334503,3.493762,-2.595912
5.963899,-1.436025,2.700539,-0.334113,3.496123,-2.596732
5.964496,-1.436772,2.697078,-0.333723,3.498485,-2.597551
5.965095,-1.437517,2.693616,-0.333333,3.500848,-2.598370
5.965694,-1.438258,2.690154,-0.332944,3.503210,-2.599187
5.966294,-1.438996,2.686690,-0.332555,3.505573,-2.600004
5.966894,-1.439731,2.683225,-0.332166,3.507936,-2.600820
5.967496,-1.440463,2.679760,-0.331777,3.510300,-2.601634
5.968099,-1.441192,2.676294,-0.331388,3.512664,-2.602448
5.968702,-1.441918,2.672826,-0.331000,3.515028,-2.603261
5.969307,-1.442641,2.669358,-0.330611,3.517392,-2.604073
5.969912,-1.443360,2.665889,-0.330223,3.519757,-2.604884
5.970519,-1.444077,2.662419,-0.329835,3.522122,-2.605694
5.971126,-1.444791,2.658949,-0.329448,3.524487,-2.606504
5.971734,-1.445501,2.655477,-0.329060,3.526853,-2.607312
5.972343,-1.446209,2.652004,-0.328673,3.529219,-2.608119
5.972953,-1.446914,2.648531,-0.328286,3.531585,-2.608926
5.973564,-1.447615,2.645056,-0.327899,3.533952,-2.609732
5.974176,-1.448314,2.641581,-0.327513,3.536319,-2.610536
5.974789,-1.449009,2.638105,-0.327126,3.538686,-2.611340
5.975403,-1.449701,2.634628,-0.326740,3.541054,-2.612143
5.976018,-1.450391,2.631150,-0.326354,3.543422,-2.612945
5.976633,-1.451077,2.627671,-0.325969,3.545790,-2.613746
5.977250,-1.451761,2.624191,-0.325583,3.548159,-2.614546
5.977868,-1.452441,2.620711,-0.325198,3.550527,-2.615345
5.978486,-1.453118,2.617229,-0.324812,3.552896,-2.616143
5.979106,-1.453792,2.613747,-0.324427,3.555266,-2.616941
5.979726,-1.454464,2.610263,-0.324043,3.557636,-2.617737
5.980347,-1.455132,2.606779,-0.323658,3.560006,-2.618533
5.980970,-1.455797,2.603294,-0.323274,3.562376,-2.619327
5.981593,-1.456459,2.599808,-0.322890,3.564747,-2.620121
5.982217,-1.457118,2.596322,-0.322506,3.567118,-2.620914
5.982842,-1.457775,2.592834,-0.322122,3.569489,-2.621706
5.983468,-1.458428,2.589346,-0.321738,3.571860,-2.622497
5.984095,-1.459078,2.585856,-0.321355,3.574232,-2.623287
5.984723,-1.459725,2.582366,-0.320972,3.576604,-2.624076
5.985352,-1.460369,2.578875,-0.320589,3.578977,-2.624864
5.985982,-1.461010,2.575383,-0.320206,3.581350,-2.625652
5.986613,-1.461649,2.571890,-0.319824,3.583723,-2.626438
5.987245,-1.462284,2.568397,-0.319441,3.586096,-2.627224
5.987877,-1.462916,2.564902,-0.319059,3.588470,-2.628008
5.988511,-1.463545,2.561407,-0.318677,3.590844,-2.628792
5.989146,-1.464171,2.557911,-0.318295,3.593218,-2.629575
5.989781,-1.464794,2.554414,-0.317914,3.595593,-2.630357
5.990418,-1.465414,2.550916,-0.317532,3.597968,-2.631138
5.991055,-1.466032,2.547417,-0.317151,3.600343,-2.631918
5.991693,-1.466646,2.543917,-0.316770,3.602718,-2.632697
5.992333,-1.467257,2.540417,-0.316390,3.605094,-2.633475
5.992973,-1.467865,2.536916,-0.316009,3.607470,-2.634253
5.993614,-1.468470,2.533414,-0.315629,3.609846,-2.635029
5.994256,-1.469073,2.529911,-0.315248,3.612223,-2.635805
5.994899,-1.469672,2.526407,-0.314868,3.614600,-2.636580
5.995543,-1.470268,2.522902,-0.314489,3.616977,-2.637353
5.996188,-1.470862,2.519397,-0.314109,3.619355,-2.638126
5.996834,-1.471452,2.515891,-0.313729,3.621733,-2.638898
5.997481,-1.472039,2.512384,-0.313350,3.624111,-2.639669
5.998129,-1.472624,2.508876,-0.312971,3.626489,-2.640439
5.998777,-1.473205,2.505367,-0.312592,3.628868,-2.641209
5.999427,-1.473784,2.501858,-0.312214,3.631247,-2.641977
6.000077,-1.474359,2.498347,-0.311835,3.633626,-2.642745
6.000729,-1.474932,2.494836,-0.311457,3.636006,-2.643511
6.001381,-1.475501,2.491324,-0.311079,3.638386,-2.644277
6.002034,-1.476068,2.487811,-0.310701,3.640766,-2.645042
6.002688,-1.476632,2.484298,-0.310323,3.643146,-2.645805
6.003343,-1.477192,2.480783,-0.309946,3.645527,-2.646568
6.003999,-1.477750,2.477268,-0.309568,3.647908,-2.647330
6.004656,-1.478305,2.473752,-0.309191,3.650289,-2.648092
6.005314,-1.478857,2.470235,-0.308814,3.652671,-2.648852
6.005972,-1.479406,2.466718,-0.308438,3.655053,-2.649611
6.006632,-1.479952,2.463199,-0.308061,3.657435,-2.650370
6.007292,-1.480495,2.459680,-0.307685,3.659817,-2.651127
6.007953,-1.481035,2.456160,-0.307308,3.662200,-2.651884
6.008616,-1.481572,2.452640,-0.306932,3.664583,-2.652640
6.009279,-1.482106,2.449118,-0.306557,3.666966,-2.653395
6.009943,-1.482637,2.445596,-0.306181,3.669350,-2.654149
6.010607,-1.483165,2.442073,-0.305805,3.671734,-2.654902
6.011273,-1.483691,2.438549,-0.305430,3.674118,-2.655654
6.011939,-1.484213,2.435024,-0.305055,3.676502,-2.656405
6.012607,-1.484733,2.431499,-0.304680,3.678887,-2.657156
6.013275,-1.485249,2.427973,-0.304306,3.681272,-2.657905
6.013944,-1.485763,2.424446,-0.303931,3.683657,-2.658654
6.014614,-1.486273,2.420918,-0.303557,3.686043,-2.659402
6.015284,-1.486781,2.417390,-0.303183,3.688429,-2.660148
6.015956,-1.487286,2.413861,-0.302809,3.690815,-2.660894
6.016628,-1.487788,2.410331,-0.302435,3.693201,-2.661639
6.017302,-1.488287,2.406800,-0.302061,3.695588,-2.662384
6.017976,-1.488783,2.403268,-0.301688,3.697975,-2.663127
6.018650,-1.489276,2.399736,-0.301314,3.700362,-2.663869
6.019326,-1.489766,2.396203,-0.300941,3.702750,-2.664611
6.020002,-1.490253,2.392670,-0.300569,3.705137,-2.665351
6.020680,-1.490737,2.389135,-0.300196,3.707526,-2.666091
6.021358,-1.491219,2.385600,-0.299823,3.709914,-2.666830
6.022036,-1.491697,2.382064,-0.299451,3.712302,-2.667568
6.022716,-1.492173,2.378528,-0.299079,3.714691,-2.668305
6.023396,-1.492645,2.374990,-0.298707,3.717080,-2.669041
6.024078,-1.493115,2.371452,-0.298335,3.719470,-2.669776
6.024759,-1.493582,2.367914,-0.297963,3.721860,-2.670511
6.025442,-1.494046,2.364374,-0.297592,3.724250,-2.671244
6.026126,-1.494507,2.360834,-0.297221,3.726640,-2.671977
6.026810,-1.494965,2.357293,-0.296850,3.729030,-2.672709
6.027495,-1.495420,2.353751,-0.296479,3.731421,-2.673439
6.028180,-1.495872,2.350209,-0.296108,3.733812,-2.674169
6.028867,-1.496322,2.346666,-0.295738,3.736204,-2.674898
6.029554,-1.496768,2.343122,-0.295367,3.738595,-2.675627
6.030242,-1.497211,2.339578,-0.294997,3.740987,-2.676354
6.030930,-1.497652,2.336033,-0.294627,3.743379,-2.677080
6.031619,-1.498090,2.332487,-0.294257,3.745772,-2.677806
6.032309,-1.498525,2.328940,-0.293887,3.748164,-2.678530
6.033000,-1.498957,2.325393,-0.293518,3.750557,-2.679254
6.033691,-1.499386,2.321845,-0.293149,3.752950,-2.679977
6.034383,-1.499812,2.318297,-0.292780,3.755344,-2.680699
6.035076,-1.500235,2.314748,-0.292411,3.757738,-2.681420
6.035769,-1.500655,2.311198,-0.292042,3.760132,-2.682140
6.036463,-1.501073,2.307647,-0.291673,3.762526,-2.682860
6.037158,-1.501487,2.304096,-0.291305,3.764920,-2.683578
6.037853,-1.501899,2.300544,-0.290936,3.767315,-2.684296
6.038549,-1.502308,2.296991,-0.290568,3.769710,-2.685012
6.039246,-1.502713,2.293438,-0.290200,3.772106,-2.685728
6.039943,-1.503116,2.289884,-0.289833,3.774501,-2.686443
6.040640,-1.503516,2.286330,-0.289465,3.776897,-2.687157
6.041339,-1.503914,2.282775,-0.289098,3.779293,-2.687870
6.042038,-1.504308,2.279219,-0.288731,3.781690,-2.688582
6.042737,-1.504699,2.275663,-0.288363,3.784086,-2.689294
6.043438,-1.505088,2.272105,-0.287997,3.786483,-2.690004
6.044138,-1.505473,2.268548,-0.287630,3.788880,-2.690714
6.044840,-1.505856,2.264989,-0.287263,3.791278,-2.691423
6.045542,-1.506236,2.261430,-0.286897,3.793676,-2.692131
6.046244,-1.506613,2.257871,-0.286531,3.796073,-2.692838
6.046947,-1.506987,2.254311,-0.286165,3.798472,-2.693544
6.047650,-1.507358,2.250750,-0.285799,3.800870,-2.694249
6.048355,-1.507726,2.247188,-0.285433,3.803269,-2.694953
6.049059,-1.508092,2.243626,-0.285068,3.805668,-2.695657
6.049764,-1.508454,2.240064,-0.284702,3.808067,-2.696360
6.050470,-1.508814,2.236501,-0.284337,3.810467,-2.697061
6.051176,-1.509171,2.232937,-0.283972,3.812866,-2.697762
6.051882,-1.509525,2.229372,-0.283607,3.815266,-2.698462
6.052589,-1.509876,2.225807,-0.283242,3.817667,-2.699161
6.053297,-1.510224,2.222242,-0.282878,3.820067,-2.699859
6.054005,-1.510569,2.218676,-0.282514,3.822468,-2.700557
6.054713,-1.510912,2.215109,-0.282149,3.824869,-2.701253
6.055422,-1.511251,2.211541,-0.281785,3.827270,-2.701949
6.056132,-1.511588,2.207974,-0.281422,3.829672,-2.702644
6.056841,-1.511921,2.204405,-0.281058,3.832073,-2.703338
6.057552,-1.512252,2.200836,-0.280694,3.834475,-2.704031
6.058262,-1.512580,2.197266,-0.280331,3.836878,-2.704723
6.058973,-1.512905,2.193696,-0.279968,3.839280,-2.705414
6.059685,-1.513228,2.190126,-0.279605,3.841683,-2.706104
6.060396,-1.513547,2.186554,-0.279242,3.844086,-2.706794
6.061109,-1.513864,2.182982,-0.278879,3.846489,-2.707482
6.061821,-1.514177,2.179410,-0.278517,3.848893,-2.708170
6.062534,-1.514488,2.175837,-0.278154,3.851297,-2.708857
6.063247,-1.514796,2.172264,-0.277792,3.853701,-2.709543
6.063961,-1.515101,2.168690,-0.277430,3.856105,-2.710228
6.064675,-1.515403,2.165115,-0.277068,3.858510,-2.710913
6.065389,-1.515702,2.161540,-0.276706,3.860914,-2.711596
6.066104,-1.515999,2.157965,-0.276345,3.863319,-2.712278
6.066819,-1.516292,2.154389,-0.275983,3.865725,-2.712960
6.067534,-1.516583,2.150812,-0.275622,3.868130,-2.713641
6.068249,-1.516871,2.147235,-0.275261,3.870536,-2.714321
6.068965,-1.517156,2.143657,-0.274900,3.872942,-2.715000
6.069681,-1.517438,2.140079,-0.274539,3.875348,-2.715678
6.070397,-1.517717,2.136501,-0.274179,3.877755,-2.716355
6.071114,-1.517993,2.132922,-0.273818,3.880161,-2.717032
6.071831,-1.518266,2.129342,-0.273458,3.882568,-2.717707
6.072548,-1.518537,2.125762,-0.273098,3.884976,-2.718382
6.073265,-1.518805,2.122182,-0.272738,3.887383,-2.719056
6.073982,-1.519070,2.118601,-0.272378,3.889791,-2.719729
6.074700,-1.519331,2.115019,-0.272019,3.892199,-2.720401
6.075418,-1.519591,2.111437,-0.271659,3.894607,-2.721072
6.076136,-1.519847,2.107855,-0.271300,3.897015,-2.721743
6.076854,-1.520100,2.104272,-0.270941,3.899424,-2.722412
6.077572,-1.520351,2.100689,-0.270582,3.901833,-2.723081
6.078291,-1.520598,2.097105,-0.270223,3.904242,-2.723749
6.079010,-1.520843,2.093521,-0.269864,3.906652,-2.724416
6.079729,-1.521085,2.089936,-0.269505,3.909061,-2.725082
6.080447,-1.521324,2.086351,-0.269147,3.911471,-2.725747
6.081167,-1.521560,2.082765,-0.268789,3.913881,-2.726411
6.081886,-1.521793,2.079179,-0.268431,3.916292,-2.727075
6.082605,-1.522023,2.075593,-0.268073,3.918702,-2.727737
6.083324,-1.522251,2.072006,-0.267715,3.921113,-2.728399
6.084044,-1.522476,2.068419,-0.267358,3.923524,-2.729060
6.084763,-1.522697,2.064831,-0.267000,3.925935,-2.729720
6.085483,-1.522916,2.061243,-0.266643,3.928347,-2.730379
6.086203,-1.523132,2.057654,-0.266286,3.930759,-2.731038
6.086922,-1.523345,2.054065,-0.265929,3.933171,-2.731695
6.087642,-1.523556,2.050476,-0.265572,3.935583,-2.732352
6.088362,-1.523763,2.046886,-0.265215,3.937995,-2.733007
6.089081,-1.523968,2.043296,-0.264859,3.940408,-2.733662
6.089801,-1.524169,2.039706,-0.264502,3.942821,-2.734316
6.090521,-1.524368,2.036115,-0.264146,3.945234,-2.734969
6.091241,-1.524564,2.032524,-0.263790,3.947648,-2.735622
6.091960,-1.524757,2.028932,-0.263434,3.950061,-2.736273
6.092680,-1.524947,2.025340,-0.263078,3.952475,-2.736924
6.093400,-1.525134,2.021748,-0.262723,3.954889,-2.737573
6.094119,-1.525319,2.018155,-0.262367,3.957304,-2.738222
6.094839,-1.525500,2.014562,-0.262012,3.959718,-2.738870
6.095558,-1.525679,2.010968,-0.261657,3.962133,-2.739517
6.096278,-1.525855,2.007374,-0.261302,3.964548,-2.740164
6.096997,-1.526028,2.003780,-0.260947,3.966963,-2.740809
6.097716,-1.526198,2.000186,-0.260592,3.969379,-2.741454
6.098435,-1.526365,1.996591,-0.260237,3.971794,-2.742097
6.099154,-1.526529,1.992996,-0.259883,3.974210,-2.742740
6.099873,-1.526691,1.989400,-0.259529,3.976626,-2.743382
6.100591,-1.526849,1.985804,-0.259175,3.979043,-2.744023
6.101310,-1.527005,1.982208,-0.258821,3.981459,-2.744664
6.102028,-1.527157,1.978612,-0.258467,3.983876,-2.745303
6.102746,-1.527307,1.975015,-0.258113,3.986293,-2.745942
6.103464,-1.527454,1.971418,-0.257760,3.988711,-2.746579
6.104182,-1.527598,1.967821,-0.257406,3.991128,-2.747216
6.104900,-1.527740,1.964223,-0.257053,3.993546,-2.747852
6.105617,-1.527878,1.960625,-0.256700,3.995964,-2.748487
6.106334,-1.528013,1.957027,-0.256347,3.998382,-2.749122
6.107051,-1.528146,1.953428,-0.255994,4.000800,-2.749755
6.107768,-1.528276,1.949829,-0.255641,4.003219,-2.750388
6.108484,-1.528403,1.946230,-0.255289,4.005638,-2.751019
6.109200,-1.528526,1.942631,-0.254937,4.008057,-2.751650
6.109916,-1.528648,1.939031,-0.254584,4.010476,-2.752280
6.110632,-1.528766,1.935431,-0.254232,4.012896,-2.752909
6.111347,-1.528881,1.931831,-0.253880,4.015316,-2.753538
6.112063,-1.528993,1.928231,-0.253529,4.017736,-2.754165
6.112777,-1.529103,1.924630,-0.253177,4.020156,-2.754792
6.113492,-1.529209,1.921029,-0.252825,4.022576,-2.755418
6.114206,-1.529313,1.917428,-0.252474,4.024997,-2.756043
6.114920,-1.529414,1.913826,-0.252123,4.027418,-2.756667
6.115633,-1.529512,1.910225,-0.251772,4.029839,-2.757290
6.116346,-1.529607,1.906623,-0.251421,4.032260,-2.757912
6.117059,-1.529699,1.903021,-0.251070,4.034682,-2.758534
6.117772,-1.529788,1.899418,-0.250719,4.037103,-2.759154
6.118484,-1.529874,1.895816,-0.250369,4.039525,-2.759774
6.119195,-1.529958,1.892213,-0.250019,4.041947,-2.760393
6.119906,-1.530038,1.888610,-0.249668,4.044370,-2.761011
6.120617,-1.530116,1.885007,-0.249318,4.046792,-2.761629
6.121328,-1.530191,1.881403,-0.248968,4.049215,-2.762245
6.122038,-1.530263,1.877800,-0.248619,4.051638,-2.762861
6.122747,-1.530332,1.874196,-0.248269,4.054061,-2.763475
6.123456,-1.530398,1.870592,-0.247919,4.056485,-2.764089
6.124165,-1.530461,1.866988,-0.247570,4.058909,-2.764702
6.124873,-1.530521,1.863384,-0.247221,4.061333,-2.765315
6.125581,-1.530578,1.859779,-0.246872,4.063757,-2.765926
6.126288,-1.530633,1.856174,-0.246523,4.066181,-2.766536
6.126995,-1.530684,1.852570,-0.246174,4.068605,-2.767146
6.127702,-1.530733,1.848965,-0.245825,4.071030,-2.767755
6.128407,-1.530778,1.845359,-0.245477,4.073455,-2.768363
6.129113,-1.530821,1.841754,-0.245128,4.075880,-2.768970
6.129818,-1.530861,1.838149,-0.244780,4.078306,-2.769576
6.130522,-1.530898,1.834543,-0.244432,4.080731,-2.770182
6.131226,-1.530932,1.830937,-0.244084,4.083157,-2.770786
6.131929,-1.530963,1.827331,-0.243736,4.085583,-2.771390
6.132631,-1.530991,1.823725,-0.243388,4.088009,-2.771993
6.133334,-1.531016,1.820119,-0.243041,4.090436,-2.772595
6.134035,-1.531039,1.816513,-0.242693,4.092862,-2.773196
6.134736,-1.531058,1.812907,-0.242346,4.095289,-2.773797
6.135436,-1.531075,1.809300,-0.241999,4.097716,-2.774396
6.136136,-1.531088,1.805693,-0.241652,4.100143,-2.774995
6.136835,-1.531099,1.802087,-0.241305,4.102571,-2.775593
6.137534,-1.531107,1.798480,-0.240958,4.104999,-2.776190
6.138232,-1.531111,1.794873,-0.240612,4.107426,-2.776786
6.138929,-1.531113,1.791266,-0.240265,4.109855,-2.777381
6.139626,-1.531112,1.787659,-0.239919,4.112283,-2.777976
6.140322,-1.531108,1.784052,-0.239573,4.114711,-2.778569
6.141018,-1.531101,1.780445,-0.239227,4.117140,-2.779162
6.141712,-1.531092,1.776837,-0.238881,4.119569,-2.779754
6.142406,-1.531079,1.773230,-0.238535,4.121998,-2.780345
6.143100,-1.531063,1.769622,-0.238189,4.124427,-2.780935
6.143793,-1.531044,1.766015,-0.237844,4.126857,-2.781525
6.144485,-1.531023,1.762407,-0.237498,4.129287,-2.782113
6.145176,-1.530998,1.758800,-0.237153,4.131717,-2.782701
6.145867,-1.530971,1.755192,-0.236808,4.134147,-2.783288
6.146557,-1.530940,1.751584,-0.236463,4.136577,-2.783874
6.147246,-1.530907,1.747976,-0.236118,4.139008,-2.784459
6.147935,-1.530871,1.744369,-0.235773,4.141438,-2.785044
6.148623,-1.530831,1.740761,-0.235428,4.143869,-2.785627
