psi_m,x_m,y_m
8.735528,8.024084,4.278770
8.732624,8.020877,4.275908
8.729749,8.017677,4.273046
8.726902,8.014485,4.270187
8.724083,8.011300,4.267329
8.721293,8.008123,4.264472
8.718532,8.004953,4.261617
8.715801,8.001790,4.258763
8.713098,7.998635,4.255911
8.710426,7.995488,4.253061
8.707783,7.992347,4.250213
8.705170,7.989214,4.247366
8.702588,7.986088,4.244521
8.700035,7.982969,4.241677
8.697514,7.979858,4.238836
8.695023,7.976754,4.235996
8.692564,7.973657,4.233159
8.690135,7.970567,4.230323
8.687738,7.967484,4.227489
8.685373,7.964408,4.224658
8.683039,7.961339,4.221828
8.680738,7.958277,4.219001
8.678468,7.955222,4.216176
8.676230,7.952173,4.213354
8.674025,7.949132,4.210534
8.671853,7.946097,4.207716
8.669713,7.943069,4.204900
8.667607,7.940048,4.202088
8.665533,7.937033,4.199277
8.663492,7.934026,4.196470
8.661485,7.931024,4.193665
8.659511,7.928029,4.190863
8.657571,7.925041,4.188064
8.655664,7.922058,4.185268
8.653792,7.919083,4.182475
8.651953,7.916113,4.179685
8.650148,7.913150,4.176899
8.648378,7.910193,4.174115
8.646642,7.907242,4.171335
8.644940,7.904297,4.168558
8.643273,7.901358,4.165785
8.641641,7.898425,4.163016
8.640043,7.895498,4.160250
8.638480,7.892577,4.157488
8.636952,7.889661,4.154729
8.635459,7.886751,4.151975
8.634001,7.883847,4.149225
8.632578,7.880949,4.146479
8.631191,7.878055,4.143737
8.629839,7.875168,4.140999
8.628522,7.872286,4.138266
8.627241,7.869409,4.135537
8.625996,7.866537,4.132813
8.624786,7.863670,4.130094
8.623611,7.860809,4.127379
8.622473,7.857953,4.124669
8.621370,7.855101,4.121965
8.620303,7.852255,4.119265
8.619272,7.849413,4.116570
8.618277,7.846576,4.113881
8.617318,7.843744,4.111198
8.616394,7.840916,4.108519
8.615507,7.838093,4.105847
8.614656,7.835275,4.103180
8.613841,7.832461,4.100519
8.613062,7.829651,4.097864
8.612320,7.826845,4.095215
8.611613,7.824043,4.092572
8.610943,7.821246,4.089936
8.610309,7.818453,4.087306
8.609711,7.815663,4.084682
8.609149,7.812877,4.082065
8.608623,7.810095,4.079455
8.608134,7.807317,4.076851
8.607681,7.804543,4.074255
8.607264,7.801771,4.071665
8.606883,7.799004,4.069083
8.606538,7.796239,4.066508
8.606230,7.793478,4.063941
8.605958,7.790720,4.061381
8.605722,7.787965,4.058829
8.605522,7.785213,4.056284
8.605358,7.782464,4.053748
8.605230,7.779718,4.051219
8.605138,7.776975,4.048699
8.605082,7.774234,4.046186
8.605062,7.771497,4.043682
8.605078,7.768762,4.041185
8.605129,7.766029,4.038697
8.605215,7.763300,4.036218
8.605335,7.760573,4.033746
8.605491,7.757848,4.031283
8.605680,7.755126,4.028829
8.605903,7.752407,4.026383
8.606160,7.749690,4.023945
8.606451,7.746975,4.021516
8.606774,7.744263,4.019096
8.607130,7.741553,4.016685
8.607519,7.738845,4.014282
8.607940,7.736140,4.011888
8.608393,7.733437,4.009503
8.608878,7.730736,4.007127
8.609394,7.728037,4.004761
8.609942,7.725341,4.002403
8.610520,7.722646,4.000054
8.611129,7.719953,3.997714
8.611768,7.717263,3.995383
8.612437,7.714574,3.993062
8.613136,7.711887,3.990750
8.613864,7.709202,3.988447
8.614622,7.706519,3.986154
8.615408,7.703838,3.983870
8.616223,7.701158,3.981595
8.617067,7.698480,3.979330
8.617938,7.695804,3.977074
8.618838,7.693129,3.974828
8.619764,7.690456,3.972591
8.620718,7.687785,3.970364
8.621699,7.685114,3.968146
8.622707,7.682446,3.965938
8.623741,7.679778,3.963740
8.624801,7.677112,3.961552
8.625887,7.674447,3.959373
8.626999,7.671784,3.957204
8.628136,7.669121,3.955045
8.629298,7.666460,3.952896
8.630484,7.663800,3.950756
8.631696,7.661140,3.948627
8.632931,7.658482,3.946507
8.634190,7.655825,3.944397
8.635473,7.653169,3.942297
8.636780,7.650513,3.940207
8.638109,7.647858,3.938127
8.639462,7.645204,3.936057
8.640837,7.642551,3.933997
8.642234,7.639898,3.931947
8.643653,7.637246,3.929907
8.645095,7.634594,3.927877
8.646557,7.631943,3.925857
8.648041,7.629292,3.923847
8.649547,7.626642,3.921848
8.651073,7.623992,3.919858
8.652619,7.621342,3.917878
8.654186,7.618693,3.915909
8.655772,7.616043,3.913949
8.657379,7.613394,3.912000
8.659005,7.610745,3.910061
8.660650,7.608096,3.908131
8.662315,7.605446,3.906212
8.663998,7.602797,3.904304
8.665699,7.600147,3.902405
8.667419,7.597498,3.900516
8.669157,7.594848,3.898637
8.670913,7.592197,3.896769
8.672686,7.589546,3.894910
8.674477,7.586895,3.893062
8.676285,7.584243,3.891224
8.678109,7.581591,3.889395
8.679950,7.578938,3.887577
8.681808,7.576285,3.885769
8.683682,7.573631,3.883971
8.685571,7.570976,3.882183
8.687477,7.568320,3.880405
8.689398,7.565663,3.878637
8.691334,7.563005,3.876879
8.693285,7.560347,3.875131
8.695251,7.557687,3.873393
8.697231,7.555026,3.871665
8.699226,7.552364,3.869946
8.701235,7.549701,3.868238
8.703259,7.547036,3.866540
8.705295,7.544370,3.864851
8.707346,7.541703,3.863172
8.709409,7.539034,3.861503
8.711486,7.536364,3.859844
8.713576,7.533692,3.858195
8.715678,7.531019,3.856555
8.717793,7.528344,3.854925
8.719920,7.525667,3.853305
8.722060,7.522988,3.851695
8.724211,7.520308,3.850094
8.726374,7.517625,3.848502
8.728548,7.514941,3.846921
8.730734,7.512254,3.845349
8.732931,7.509566,3.843786
8.735139,7.506875,3.842233
8.737358,7.504183,3.840689
8.739587,7.501488,3.839155
8.741827,7.498790,3.837630
8.744077,7.496090,3.836114
8.746337,7.493388,3.834608
8.748607,7.490684,3.833111
8.750886,7.487977,3.831623
8.753176,7.485267,3.830145
8.755474,7.482555,3.828676
8.757782,7.479840,3.827215
8.760099,7.477122,3.825764
8.762424,7.474401,3.824322
8.764758,7.471678,3.822889
8.767101,7.468952,3.821465
8.769452,7.466223,3.820050
8.771812,7.463490,3.818643
8.774179,7.460755,3.817246
8.776555,7.458017,3.815857
8.778938,7.455275,3.814477
8.781328,7.452531,3.813106
8.783727,7.449783,3.811743
8.786132,7.447031,3.810389
8.788545,7.444276,3.809043
8.790964,7.441518,3.807706
8.793391,7.438757,3.806378
8.795824,7.435992,3.805058
8.798264,7.433223,3.803746
8.800710,7.430451,3.802443
8.803163,7.427675,3.801148
8.805622,7.424895,3.799861
8.808087,7.422112,3.798582
8.810557,7.419324,3.797311
8.813034,7.416533,3.796048
8.815516,7.413738,3.794794
8.818004,7.410939,3.793547
8.820497,7.408136,3.792308
8.822996,7.405329,3.791077
8.825499,7.402518,3.789854
8.828008,7.399703,3.788639
8.830522,7.396884,3.787431
8.833040,7.394060,3.786231
8.835563,7.391232,3.785039
8.838091,7.388400,3.783854
8.840623,7.385563,3.782676
8.843160,7.382722,3.781506
8.845701,7.379877,3.780343
8.848246,7.377027,3.779188
8.850795,7.374173,3.778039
8.853348,7.371313,3.776898
8.855905,7.368450,3.775764
8.858466,7.365582,3.774637
8.861030,7.362709,3.773517
8.863598,7.359831,3.772404
8.866170,7.356948,3.771298
8.868744,7.354061,3.770199
8.871322,7.351169,3.769106
8.873904,7.348272,3.768020
8.876488,7.345370,3.766941
8.879075,7.342463,3.765869
8.881665,7.339551,3.764802
8.884259,7.336634,3.763743
8.886854,7.333712,3.762689
8.889453,7.330785,3.761643
8.892054,7.327853,3.760602
8.894658,7.324916,3.759567
8.897264,7.321973,3.758539
8.899872,7.319025,3.757517
8.902483,7.316072,3.756501
8.905096,7.313114,3.755490
8.907711,7.310150,3.754486
8.910328,7.307181,3.753487
8.912947,7.304206,3.752495
8.915568,7.301226,3.751508
8.918191,7.298241,3.750526
8.920815,7.295250,3.749551
8.923442,7.292253,3.748580
8.926070,7.289251,3.747615
8.928699,7.286244,3.746656
8.931330,7.283231,3.745702
8.933963,7.280212,3.744753
8.936597,7.277187,3.743810
8.939232,7.274157,3.742871
8.941869,7.271121,3.741938
8.944507,7.268080,3.741009
8.947146,7.265032,3.740086
8.949787,7.261979,3.739168
8.952428,7.258920,3.738254
8.955071,7.255855,3.737345
8.957714,7.252785,3.736441
8.960358,7.249708,3.735541
8.963004,7.246626,3.734646
8.965650,7.243537,3.733756
8.968297,7.240443,3.732869
8.970945,7.237343,3.731988
8.973593,7.234236,3.731110
8.976242,7.231124,3.730237
8.978892,7.228006,3.729368
8.981542,7.224881,3.728504
8.984193,7.221751,3.727643
8.986845,7.218614,3.726786
8.989497,7.215472,3.725933
8.992149,7.212323,3.725085
8.994802,7.209168,3.724239
8.997455,7.206007,3.723398
9.000109,7.202840,3.722560
9.002763,7.199666,3.721726
9.005417,7.196486,3.720896
9.008071,7.193301,3.720069
9.010726,7.190109,3.719245
9.013381,7.186910,3.718425
9.016036,7.183706,3.717608
9.018691,7.180495,3.716795
9.021346,7.177278,3.715984
9.024002,7.174054,3.715177
9.026657,7.170824,3.714373
9.029313,7.167588,3.713572
9.031968,7.164346,3.712773
9.034624,7.161097,3.711978
9.037280,7.157842,3.711186
9.039935,7.154581,3.710396
9.042591,7.151313,3.709609
9.045246,7.148039,3.708824
9.047901,7.144758,3.708042
9.050557,7.141471,3.707263
9.053212,7.138178,3.706486
9.055867,7.134878,3.705711
9.058522,7.131571,3.704939
9.061177,7.128259,3.704169
9.063831,7.124940,3.703401
9.066486,7.121614,3.702636
9.069140,7.118282,3.701872
9.071794,7.114944,3.701111
9.074448,7.111599,3.700352
9.077102,7.108247,3.699594
9.079755,7.104890,3.698838
9.082408,7.101525,3.698085
9.085062,7.098155,3.697332
9.087714,7.094777,3.696582
9.090367,7.091394,3.695833
9.093019,7.088003,3.695086
9.095671,7.084607,3.694340
9.098323,7.081204,3.693596
9.100975,7.077794,3.692853
9.103626,7.074378,3.692112
9.106277,7.070955,3.691371
9.108928,7.067526,3.690632
9.111578,7.064091,3.689894
9.114228,7.060649,3.689158
9.116878,7.057200,3.688422
9.119528,7.053745,3.687687
9.122178,7.050284,3.686954
9.124827,7.046816,3.686221
9.127476,7.043341,3.685489
9.130124,7.039861,3.684758
9.132772,7.036373,3.684027
9.135420,7.032879,3.683298
9.138066,7.029379,3.682568
9.140712,7.025872,3.681840
9.143357,7.022359,3.681112
9.146001,7.018840,3.680384
9.148645,7.015313,3.679657
9.151287,7.011781,3.678930
9.153928,7.008242,3.678203
9.156568,7.004697,3.677477
9.159206,7.001145,3.676750
9.161843,6.997587,3.676024
9.164479,6.994022,3.675298
9.167114,6.990451,3.674572
9.169746,6.986873,3.673846
9.172378,6.983290,3.673119
9.175007,6.979699,3.672393
9.177635,6.976103,3.671666
9.180261,6.972500,3.670939
9.182885,6.968891,3.670211
9.185507,6.965275,3.669484
9.188127,6.961653,3.668755
9.190745,6.958025,3.668027
9.193361,6.954390,3.667297
9.195975,6.950749,3.666567
9.198586,6.947102,3.665837
9.201195,6.943448,3.665105
9.203802,6.939789,3.664373
9.206406,6.936123,3.663640
9.209008,6.932450,3.662906
9.211608,6.928772,3.662171
9.214204,6.925087,3.661435
9.216798,6.921396,3.660699
9.219390,6.917699,3.659960
9.221978,6.913995,3.659221
9.224564,6.910286,3.658481
9.227147,6.906570,3.657739
9.229727,6.902848,3.656996
9.232304,6.899120,3.656252
9.234878,6.895386,3.655506
9.237449,6.891646,3.654759
9.240017,6.887900,3.654010
9.242581,6.884148,3.653259
9.245143,6.880389,3.652507
9.247701,6.876625,3.651754
9.250256,6.872855,3.650998
9.252807,6.869078,3.650241
9.255355,6.865296,3.649482
9.257900,6.861507,3.648720
9.260441,6.857713,3.647957
9.262978,6.853913,3.647192
9.265512,6.850106,3.646425
9.268042,6.846294,3.645656
9.270569,6.842476,3.644885
9.273091,6.838653,3.644111
9.275610,6.834823,3.643336
9.278126,6.830987,3.642557
9.280637,6.827146,3.641777
9.283144,6.823299,3.640994
9.285648,6.819446,3.640209
9.288147,6.815587,3.639421
9.290643,6.811723,3.638631
9.293134,6.807853,3.637838
9.295622,6.803977,3.637042
9.298105,6.800096,3.636244
9.300584,6.796209,3.635444
9.303059,6.792316,3.634640
9.305529,6.788418,3.633834
9.307996,6.784514,3.633026
9.310458,6.780605,3.632215
9.312916,6.776690,3.631401
9.315370,6.772770,3.630585
9.317819,6.768844,3.629767
9.320264,6.764913,3.628945
9.322705,6.760977,3.628122
9.325142,6.757035,3.627295
9.327574,6.753088,3.626466
9.330001,6.749135,3.625635
9.332424,6.745177,3.624801
9.334843,6.741214,3.623964
9.337257,6.737246,3.623125
9.339667,6.733273,3.622284
9.342073,6.729294,3.621440
9.344474,6.725310,3.620593
9.346870,6.721321,3.619744
9.349262,6.717327,3.618893
9.351650,6.713328,3.618038
9.354032,6.709324,3.617182
9.356411,6.705315,3.616323
9.358785,6.701300,3.615461
9.361154,6.697281,3.614597
9.363519,6.693257,3.613731
9.365879,6.689228,3.612862
9.368235,6.685194,3.611991
9.370586,6.681155,3.611117
9.372933,6.677111,3.610241
9.375275,6.673063,3.609362
9.377613,6.669010,3.608481
9.379946,6.664951,3.607597
9.382275,6.660889,3.606712
9.384599,6.656821,3.605823
9.386918,6.652749,3.604932
9.389233,6.648672,3.604039
9.391543,6.644590,3.603144
9.393849,6.640504,3.602246
9.396151,6.636413,3.601346
9.398447,6.632317,3.600443
9.400740,6.628217,3.599538
9.403028,6.624113,3.598631
9.405311,6.620004,3.597722
9.407590,6.615890,3.596810
9.409864,6.611772,3.595895
9.412134,6.607649,3.594979
9.414400,6.603522,3.594060
9.416661,6.599391,3.593139
9.418917,6.595255,3.592215
9.421170,6.591115,3.591290
9.423417,6.586971,3.590362
9.425661,6.582822,3.589432
9.427900,6.578669,3.588499
9.430135,6.574512,3.587564
9.432365,6.570350,3.586627
9.434591,6.566184,3.585688
9.436813,6.562014,3.584747
9.439031,6.557840,3.583803
9.441244,6.553662,3.582858
9.443453,6.549479,3.581910
9.445658,6.545292,3.580960
9.447858,6.541102,3.580007
9.450055,6.536907,3.579053
9.452247,6.532708,3.578096
9.454435,6.528505,3.577138
9.456619,6.524298,3.576177
9.458799,6.520087,3.575214
9.460975,6.515873,3.574249
9.463147,6.511654,3.573282
9.465314,6.507431,3.572313
9.467478,6.503204,3.571341
9.469638,6.498974,3.570368
9.471794,6.494739,3.569393
9.473946,6.490501,3.568415
9.476094,6.486259,3.567436
9.478238,6.482013,3.566454
9.480379,6.477763,3.565471
9.482515,6.473509,3.564485
9.484648,6.469252,3.563498
9.486777,6.464991,3.562509
9.488903,6.460726,3.561517
9.491025,6.456458,3.560524
9.493143,6.452186,3.559529
9.495257,6.447910,3.558532
9.497368,6.443630,3.557533
9.499476,6.439347,3.556532
9.501580,6.435061,3.555529
9.503680,6.430770,3.554524
9.505777,6.426476,3.553517
9.507871,6.422179,3.552509
9.509961,6.417878,3.551499
9.512048,6.413573,3.550486
9.514132,6.409265,3.549473
9.516212,6.404954,3.548457
9.518289,6.400639,3.547439
9.520363,6.396320,3.546420
9.522434,6.391999,3.545399
9.524502,6.387673,3.544376
9.526567,6.383344,3.543352
9.528629,6.379012,3.542325
9.530687,6.374677,3.541297
9.532743,6.370338,3.540268
9.534796,6.365996,3.539236
9.536846,6.361650,3.538203
9.538894,6.357302,3.537168
9.540938,6.352949,3.536132
