psi_m,x_m,y_m
0.725624,1.349474,-0.787891
0.724651,1.352000,-0.788098
0.723679,1.354524,-0.788299
0.722708,1.357047,-0.788495
0.721737,1.359569,-0.788685
0.720767,1.362089,-0.788870
0.719799,1.364608,-0.789050
0.718831,1.367126,-0.789224
0.717864,1.369642,-0.789393
0.716898,1.372156,-0.789556
0.715933,1.374670,-0.789714
0.714969,1.377182,-0.789866
0.714006,1.379692,-0.790014
0.713044,1.382201,-0.790156
0.712083,1.384708,-0.790292
0.711124,1.387214,-0.790424
0.710165,1.389719,-0.790550
0.709207,1.392222,-0.790671
0.708251,1.394723,-0.790786
0.707296,1.397223,-0.790897
0.706341,1.399721,-0.791002
0.705389,1.402218,-0.791102
0.704437,1.404713,-0.791197
0.703486,1.407207,-0.791287
0.702537,1.409699,-0.791372
0.701589,1.412190,-0.791452
0.700642,1.414678,-0.791526
0.699696,1.417166,-0.791596
0.698752,1.419651,-0.791661
0.697809,1.422135,-0.791720
0.696867,1.424617,-0.791775
0.695927,1.427098,-0.791824
0.694988,1.429577,-0.791869
0.694050,1.432054,-0.791908
0.693114,1.434530,-0.791943
0.692179,1.437004,-0.791973
0.691245,1.439476,-0.791998
0.690313,1.441946,-0.792018
0.689382,1.444415,-0.792033
0.688453,1.446882,-0.792043
0.687525,1.449347,-0.792049
0.686598,1.451810,-0.792050
0.685673,1.454272,-0.792046
0.684749,1.456732,-0.792037
0.683827,1.459190,-0.792024
0.682906,1.461646,-0.792005
0.681986,1.464100,-0.791982
0.681068,1.466553,-0.791955
0.680152,1.469004,-0.791922
0.679237,1.471452,-0.791885
0.678323,1.473899,-0.791844
0.677411,1.476344,-0.791798
0.676501,1.478788,-0.791747
0.675592,1.481229,-0.791691
0.674684,1.483668,-0.791631
0.673779,1.486106,-0.791567
0.672874,1.488541,-0.791498
0.671971,1.490975,-0.791424
0.671070,1.493407,-0.791346
0.670170,1.495836,-0.791264
0.669272,1.498264,-0.791177
0.668375,1.500690,-0.791085
0.667480,1.503114,-0.790990
0.666586,1.505535,-0.790889
0.665694,1.507955,-0.790785
0.664803,1.510373,-0.790676
0.663914,1.512789,-0.790562
0.663027,1.515202,-0.790445
0.662141,1.517614,-0.790323
0.661256,1.520024,-0.790196
0.660374,1.522431,-0.790066
0.659492,1.524837,-0.789931
0.658613,1.527240,-0.789792
0.657735,1.529641,-0.789648
0.656858,1.532040,-0.789501
0.655983,1.534437,-0.789349
0.655110,1.536832,-0.789193
0.654238,1.539225,-0.789033
0.653368,1.541616,-0.788868
0.652499,1.544004,-0.788700
0.651632,1.546391,-0.788527
0.650766,1.548775,-0.788351
0.649902,1.551157,-0.788170
0.649040,1.553537,-0.787985
0.648179,1.555914,-0.787796
0.647319,1.558290,-0.787604
0.646462,1.560663,-0.787407
0.645605,1.563034,-0.787206
0.644751,1.565403,-0.787001
0.643898,1.567769,-0.786792
0.643046,1.570134,-0.786579
0.642196,1.572496,-0.786362
0.641348,1.574856,-0.786142
0.640501,1.577213,-0.785917
0.639655,1.579568,-0.785688
0.638812,1.581921,-0.785456
0.637969,1.584272,-0.785220
0.637128,1.586620,-0.784980
0.636289,1.588966,-0.784736
0.635451,1.591310,-0.784488
0.634615,1.593651,-0.784237
0.633781,1.595990,-0.783982
0.632947,1.598326,-0.783723
0.632116,1.600661,-0.783460
0.631285,1.602992,-0.783193
0.630457,1.605322,-0.782923
0.629630,1.607649,-0.782649
0.628804,1.609974,-0.782372
0.627980,1.612296,-0.782090
0.627157,1.614616,-0.781805
0.626336,1.616933,-0.781517
0.625516,1.619248,-0.781225
0.624697,1.621561,-0.780929
0.623881,1.623871,-0.780629
0.623065,1.626178,-0.780326
0.622251,1.628484,-0.780020
0.621439,1.630786,-0.779710
0.620627,1.633087,-0.779396
0.619818,1.635384,-0.779079
0.619009,1.637679,-0.778759
0.618203,1.639972,-0.778435
0.617397,1.642262,-0.778107
0.616593,1.644550,-0.777776
0.615790,1.646835,-0.777442
0.614989,1.649118,-0.777104
0.614189,1.651398,-0.776762
0.613391,1.653675,-0.776418
0.612594,1.655950,-0.776070
0.611798,1.658223,-0.775718
0.611003,1.660493,-0.775363
0.610210,1.662760,-0.775005
0.609419,1.665024,-0.774644
0.608628,1.667286,-0.774279
0.607839,1.669546,-0.773911
0.607052,1.671802,-0.773540
0.606265,1.674057,-0.773165
0.605480,1.676308,-0.772787
0.604696,1.678557,-0.772406
0.603914,1.680803,-0.772022
0.603133,1.683047,-0.771635
0.602353,1.685288,-0.771244
0.601574,1.687526,-0.770850
0.600797,1.689761,-0.770453
0.600020,1.691994,-0.770053
0.599246,1.694224,-0.769650
0.598472,1.696452,-0.769243
0.597699,1.698677,-0.768834
0.596928,1.700899,-0.768421
0.596158,1.703118,-0.768005
0.595389,1.705334,-0.767587
0.594622,1.707548,-0.767165
0.593856,1.709759,-0.766740
0.593090,1.711968,-0.766312
0.592326,1.714173,-0.765881
0.591563,1.716376,-0.765448
0.590802,1.718576,-0.765011
0.590041,1.720773,-0.764571
0.589282,1.722967,-0.764128
0.588524,1.725159,-0.763682
0.587766,1.727348,-0.763234
0.587010,1.729534,-0.762782
0.586256,1.731717,-0.762328
0.585502,1.733897,-0.761871
0.584749,1.736075,-0.761410
0.583997,1.738250,-0.760947
0.583247,1.740421,-0.760481
0.582497,1.742590,-0.760013
0.581749,1.744756,-0.759541
0.581002,1.746920,-0.759067
0.580255,1.749080,-0.758590
0.579510,1.751238,-0.758110
0.578766,1.753392,-0.757627
0.578023,1.755544,-0.757142
0.577281,1.757693,-0.756654
0.576539,1.759838,-0.756163
0.575799,1.761981,-0.755669
0.575060,1.764121,-0.755173
0.574322,1.766258,-0.754674
0.573585,1.768393,-0.754172
0.572848,1.770524,-0.753668
0.572113,1.772652,-0.753161
0.571379,1.774777,-0.752651
0.570645,1.776900,-0.752139
0.569913,1.779019,-0.751624
0.569181,1.781135,-0.751107
0.568451,1.783249,-0.750587
0.567721,1.785359,-0.750064
0.566992,1.787466,-0.749539
0.566264,1.789571,-0.749012
0.565537,1.791672,-0.748481
0.564811,1.793771,-0.747949
0.564086,1.795866,-0.747414
0.563361,1.797958,-0.746876
0.562637,1.800047,-0.746336
0.561915,1.802134,-0.745793
0.561193,1.804217,-0.745248
0.560472,1.806297,-0.744701
0.559751,1.808374,-0.744151
0.559032,1.810448,-0.743598
0.558313,1.812519,-0.743043
0.557596,1.814587,-0.742486
0.556878,1.816651,-0.741927
0.556162,1.818713,-0.741365
0.555447,1.820771,-0.740801
0.554732,1.822827,-0.740234
0.554018,1.824879,-0.739665
0.553305,1.826928,-0.739094
0.552592,1.828974,-0.738520
0.551881,1.831017,-0.737945
0.551170,1.833057,-0.737366
0.550459,1.835094,-0.736786
0.549750,1.837127,-0.736203
0.549041,1.839158,-0.735619
0.548333,1.841185,-0.735031
0.547625,1.843209,-0.734442
0.546919,1.845230,-0.733851
0.546213,1.847247,-0.733257
0.545507,1.849262,-0.732661
0.544803,1.851273,-0.732063
0.544099,1.853281,-0.731463
0.543395,1.855286,-0.730860
0.542692,1.857288,-0.730256
0.541990,1.859286,-0.729649
0.541289,1.861282,-0.729040
0.540588,1.863274,-0.728430
0.539888,1.865263,-0.727817
0.539188,1.867248,-0.727202
0.538489,1.869230,-0.726585
0.537791,1.871210,-0.725966
0.537093,1.873185,-0.725344
0.536396,1.875158,-0.724721
0.535699,1.877127,-0.724096
0.535003,1.879093,-0.723469
0.534308,1.881056,-0.722840
0.533613,1.883016,-0.722209
0.532919,1.884972,-0.721575
0.532225,1.886925,-0.720940
0.531532,1.888874,-0.720303
0.530839,1.890821,-0.719664
0.530147,1.892764,-0.719024
0.529455,1.894703,-0.718381
0.528764,1.896640,-0.717736
0.528074,1.898573,-0.717089
0.527384,1.900502,-0.716441
0.526694,1.902429,-0.715791
0.526005,1.904352,-0.715139
0.525317,1.906272,-0.714485
0.524629,1.908188,-0.713829
0.523942,1.910101,-0.713171
0.523255,1.912011,-0.712512
0.522568,1.913917,-0.711850
0.521882,1.915820,-0.711187
0.521197,1.917719,-0.710522
0.520512,1.919615,-0.709856
0.519827,1.921508,-0.709188
0.519143,1.923398,-0.708517
0.518459,1.925284,-0.707846
0.517776,1.927166,-0.707172
0.517093,1.929045,-0.706497
0.516411,1.930921,-0.705820
0.515729,1.932794,-0.705141
0.515048,1.934662,-0.704461
0.514367,1.936528,-0.703779
0.513686,1.938390,-0.703096
0.513006,1.940249,-0.702410
0.512327,1.942104,-0.701724
0.511647,1.943956,-0.701035
0.510969,1.945804,-0.700345
0.510290,1.947649,-0.699653
0.509612,1.949490,-0.698960
0.508935,1.951328,-0.698265
0.508258,1.953163,-0.697569
0.507581,1.954994,-0.696871
0.506905,1.956822,-0.696171
0.506229,1.958646,-0.695470
0.505553,1.960466,-0.694768
0.504878,1.962283,-0.694064
0.504203,1.964097,-0.693358
0.503529,1.965907,-0.692651
0.502855,1.967714,-0.691943
0.502182,1.969517,-0.691233
0.501508,1.971317,-0.690521
0.500836,1.973113,-0.689809
0.500163,1.974905,-0.689094
0.499491,1.976694,-0.688378
0.498820,1.978480,-0.687661
0.498148,1.980262,-0.686943
0.497478,1.982040,-0.686223
0.496807,1.983815,-0.685502
0.496137,1.985587,-0.684779
0.495467,1.987355,-0.684055
0.494798,1.989119,-0.683329
0.494129,1.990880,-0.682603
0.493460,1.992637,-0.681875
0.492792,1.994391,-0.681145
0.492124,1.996141,-0.680415
0.491457,1.997887,-0.679683
0.490790,1.999630,-0.678949
0.490123,2.001369,-0.678215
0.489457,2.003105,-0.677479
0.488791,2.004837,-0.676742
0.488125,2.006566,-0.676003
0.487460,2.008291,-0.675264
0.486795,2.010012,-0.674523
0.486131,2.011730,-0.673781
0.485466,2.013444,-0.673038
0.484803,2.015155,-0.672293
0.484139,2.016862,-0.671548
0.483476,2.018565,-0.670801
0.482814,2.020265,-0.670053
0.482152,2.021961,-0.669304
0.481490,2.023654,-0.668554
0.480828,2.025343,-0.667802
0.480167,2.027028,-0.667050
0.479506,2.028709,-0.666296
0.478846,2.030387,-0.665541
0.478186,2.032062,-0.664786
0.477527,2.033732,-0.664029
0.476867,2.035400,-0.663271
0.476209,2.037063,-0.662512
0.475550,2.038723,-0.661752
0.474892,2.040379,-0.660990
0.474235,2.042031,-0.660228
0.473578,2.043680,-0.659465
0.472921,2.045325,-0.658701
0.472265,2.046966,-0.657935
0.471609,2.048604,-0.657169
0.470953,2.050238,-0.656402
0.470298,2.051869,-0.655634
0.469643,2.053495,-0.654864
0.468989,2.055118,-0.654094
0.468335,2.056738,-0.653323
0.467682,2.058353,-0.652551
0.467029,2.059965,-0.651778
0.466376,2.061574,-0.651004
0.465724,2.063178,-0.650229
0.465072,2.064779,-0.649453
0.464421,2.066376,-0.648677
0.463770,2.067970,-0.647899
0.463120,2.069559,-0.647121
0.462470,2.071146,-0.646341
0.461820,2.072728,-0.645561
0.461171,2.074306,-0.644780
0.460523,2.075881,-0.643998
0.459875,2.077452,-0.643216
0.459227,2.079020,-0.642432
0.458580,2.080584,-0.641648
0.457933,2.082144,-0.640863
0.457287,2.083700,-0.640077
0.456642,2.085252,-0.639290
0.455997,2.086801,-0.638502
0.455352,2.088346,-0.637714
0.454708,2.089888,-0.636925
0.454064,2.091425,-0.636135
0.453421,2.092959,-0.635345
0.452779,2.094489,-0.634554
0.452136,2.096015,-0.633762
0.451495,2.097538,-0.632969
0.450854,2.099057,-0.632175
0.450214,2.100572,-0.631381
