psi_m,x_m,y_m
12.671356,4.710012,3.486910
12.671733,4.709099,3.487845
12.672084,4.708190,3.488779
12.672398,4.707282,3.489710
12.672673,4.706377,3.490639
12.672912,4.705474,3.491566
12.673161,4.704573,3.492489
12.673445,4.703675,3.493407
12.673763,4.702780,3.494320
12.674114,4.701887,3.495228
12.674499,4.700996,3.496133
12.674870,4.700107,3.497034
12.675203,4.699221,3.497934
12.675498,4.698337,3.498831
12.675757,4.697455,3.499726
12.676002,4.696576,3.500617
12.676281,4.695698,3.501504
12.676594,4.694824,3.502386
12.676942,4.693951,3.503264
12.677299,4.693081,3.504137
12.677618,4.692213,3.505009
12.677901,4.691347,3.505878
12.678169,4.690483,3.506744
12.678472,4.689622,3.507605
12.678809,4.688763,3.508461
12.679156,4.687906,3.509314
12.679465,4.687051,3.510164
12.679737,4.686199,3.511012
12.680020,4.685348,3.511856
12.680336,4.684500,3.512695
12.680687,4.683654,3.513530
12.681023,4.682810,3.514361
12.681322,4.681969,3.515190
12.681596,4.681129,3.516016
12.681892,4.680291,3.516838
12.682222,4.679456,3.517655
12.682563,4.678623,3.518467
12.682865,4.677792,3.519278
12.683154,4.676963,3.520085
12.683478,4.676136,3.520888
12.683811,4.675311,3.521686
12.684107,4.674488,3.522482
12.684390,4.673668,3.523275
12.684707,4.672849,3.524063
12.685045,4.672032,3.524846
12.685359,4.671218,3.525626
12.685646,4.670405,3.526404
12.685956,4.669595,3.527177
12.686289,4.668786,3.527946
12.686595,4.667980,3.528712
12.686889,4.667175,3.529474
12.687216,4.666372,3.530232
12.687530,4.665572,3.530986
12.687830,4.664773,3.531737
12.688152,4.663976,3.532483
12.688461,4.663182,3.533226
12.688768,4.662389,3.533966
12.689086,4.661598,3.534701
12.689414,4.660809,3.535432
12.689704,4.660022,3.536160
12.690005,4.659237,3.536885
12.690340,4.658453,3.537604
12.690661,4.657672,3.538320
12.690957,4.656892,3.539033
12.691275,4.656115,3.539741
12.691592,4.655339,3.540446
12.691895,4.654565,3.541147
12.692208,4.653793,3.541844
12.692532,4.653023,3.542537
12.692830,4.652254,3.543226
12.693139,4.651487,3.543912
12.693469,4.650722,3.544593
12.693775,4.649959,3.545270
12.694067,4.649198,3.545945
12.694393,4.648438,3.546614
12.694729,4.647681,3.547279
12.695028,4.646925,3.547941
12.695314,4.646170,3.548600
12.695634,4.645418,3.549254
12.695976,4.644667,3.549903
12.696293,4.643918,3.550549
12.696584,4.643170,3.551192
12.696898,4.642424,3.551830
12.697233,4.641680,3.552464
12.697544,4.640938,3.553094
12.697841,4.640197,3.553721
12.698160,4.639458,3.554343
12.698490,4.638721,3.554961
12.698782,4.637985,3.555576
12.699085,4.637251,3.556187
12.699422,4.636518,3.556793
12.699745,4.635787,3.557395
12.700043,4.635058,3.557994
12.700363,4.634330,3.558588
12.700682,4.633604,3.559178
12.700987,4.632880,3.559764
12.701303,4.632157,3.560347
12.701629,4.631435,3.560924
12.701930,4.630715,3.561499
12.702241,4.629997,3.562069
12.702575,4.629280,3.562635
12.702883,4.628565,3.563197
12.703177,4.627851,3.563755
12.703506,4.627138,3.564309
12.703846,4.626428,3.564858
12.704148,4.625718,3.565404
12.704436,4.625010,3.565946
12.704759,4.624304,3.566483
12.705092,4.623599,3.567016
12.705400,4.622895,3.567546
12.705707,4.622193,3.568071
12.706024,4.621492,3.568592
12.706351,4.620793,3.569109
12.706665,4.620095,3.569621
12.706977,4.619398,3.570130
12.707300,4.618703,3.570634
12.707609,4.618009,3.571135
12.707929,4.617317,3.571631
12.708247,4.616626,3.572123
12.708564,4.615936,3.572611
12.708879,4.615248,3.573095
12.709193,4.614560,3.573574
12.709505,4.613875,3.574050
12.709828,4.613190,3.574521
12.710137,4.612507,3.574988
12.710457,4.611825,3.575451
12.710775,4.611144,3.575909
12.711092,4.610465,3.576364
12.711408,4.609787,3.576814
12.711721,4.609110,3.577260
12.712046,4.608434,3.577702
12.712357,4.607760,3.578140
12.712678,4.607087,3.578573
12.712998,4.606414,3.579002
12.713316,4.605744,3.579427
12.713633,4.605074,3.579848
12.713949,4.604405,3.580264
12.714263,4.603738,3.580676
12.714576,4.603072,3.581084
12.714899,4.602407,3.581488
12.715220,4.601743,3.581887
12.715540,4.601080,3.582282
12.715847,4.600418,3.582674
12.716164,4.599758,3.583060
12.716492,4.599098,3.583442
12.716806,4.598440,3.583820
12.717119,4.597783,3.584194
12.717443,4.597126,3.584564
12.717764,4.596471,3.584929
12.718085,4.595817,3.585290
12.718404,4.595164,3.585646
12.718721,4.594512,3.585998
12.719037,4.593860,3.586346
12.719352,4.593210,3.586690
12.719677,4.592561,3.587029
12.719989,4.591913,3.587365
12.720311,4.591266,3.587695
12.720632,4.590620,3.588021
12.720951,4.589974,3.588343
12.721269,4.589330,3.588661
12.721586,4.588686,3.588974
12.721901,4.588044,3.589284
12.722227,4.587402,3.589588
12.722551,4.586762,3.589888
12.722861,4.586122,3.590184
12.723183,4.585483,3.590476
12.723514,4.584845,3.590762
12.723821,4.584208,3.591046
12.724138,4.583571,3.591324
12.724465,4.582936,3.591598
12.724780,4.582301,3.591868
12.725104,4.581667,3.592133
12.725427,4.581034,3.592393
12.725737,4.580402,3.592650
12.726070,4.579770,3.592902
