psi_m,x_m,y_m
0.773696,1.224326,-0.770626
0.772721,1.226903,-0.771125
0.771745,1.229478,-0.771617
0.770768,1.232053,-0.772103
0.769791,1.234627,-0.772583
0.768812,1.237200,-0.773057
0.767833,1.239773,-0.773524
0.766853,1.242344,-0.773985
0.765873,1.244915,-0.774439
0.764892,1.247485,-0.774888
0.763911,1.250055,-0.775330
0.762929,1.252623,-0.775766
0.761946,1.255191,-0.776195
0.760963,1.257757,-0.776619
0.759980,1.260323,-0.777036
0.758997,1.262888,-0.777448
0.758013,1.265452,-0.777853
0.757029,1.268015,-0.778251
0.756045,1.270577,-0.778644
0.755061,1.273139,-0.779031
0.754076,1.275699,-0.779412
0.753092,1.278258,-0.779786
0.752107,1.280816,-0.780155
0.751122,1.283374,-0.780518
0.750138,1.285930,-0.780874
0.749153,1.288485,-0.781225
0.748169,1.291040,-0.781569
0.747184,1.293593,-0.781908
0.746200,1.296145,-0.782241
0.745216,1.298696,-0.782568
0.744232,1.301246,-0.782889
0.743249,1.303795,-0.783204
0.742266,1.306343,-0.783513
0.741283,1.308889,-0.783816
0.740300,1.311435,-0.784114
0.739318,1.313979,-0.784406
0.738336,1.316523,-0.784692
0.737355,1.319065,-0.784972
0.736374,1.321606,-0.785246
0.735394,1.324145,-0.785515
0.734414,1.326684,-0.785778
0.733435,1.329221,-0.786035
0.732456,1.331757,-0.786287
0.731478,1.334292,-0.786533
0.730501,1.336825,-0.786773
0.729524,1.339358,-0.787008
0.728548,1.341889,-0.787237
0.727573,1.344418,-0.787461
0.726598,1.346947,-0.787679
0.725624,1.349474,-0.787891
0.724651,1.352000,-0.788098
0.723679,1.354524,-0.788299
0.722708,1.357047,-0.788495
0.721737,1.359569,-0.788685
0.720767,1.362089,-0.788870
0.719799,1.364608,-0.789050
0.718831,1.367126,-0.789224
0.717864,1.369642,-0.789393
0.716898,1.372156,-0.789556
0.715933,1.374670,-0.789714
0.714969,1.377182,-0.789866
0.714006,1.379692,-0.790014
0.713044,1.382201,-0.790156
0.712083,1.384708,-0.790292
0.711124,1.387214,-0.790424
0.710165,1.389719,-0.790550
0.709207,1.392222,-0.790671
0.708251,1.394723,-0.790786
0.707296,1.397223,-0.790897
0.706341,1.399721,-0.791002
0.705389,1.402218,-0.791102
0.704437,1.404713,-0.791197
0.703486,1.407207,-0.791287
0.702537,1.409699,-0.791372
0.701589,1.412190,-0.791452
