psi_m,x_m,y_m
17.323990,0.285954,-0.833196
17.325350,0.286507,-0.834606
17.326712,0.287064,-0.836013
17.328075,0.287626,-0.837416
17.329439,0.288192,-0.838816
17.330804,0.288762,-0.840212
17.332171,0.289337,-0.841605
17.333538,0.289916,-0.842994
17.334906,0.290499,-0.844380
17.336276,0.291087,-0.845762
17.337646,0.291679,-0.847141
17.339018,0.292275,-0.848517
17.340390,0.292876,-0.849888
17.341764,0.293481,-0.851257
17.343139,0.294090,-0.852622
17.344514,0.294704,-0.853984
17.345891,0.295322,-0.855342
17.347269,0.295944,-0.856697
17.348648,0.296570,-0.858048
17.350028,0.297201,-0.859396
17.351408,0.297836,-0.860741
17.352790,0.298475,-0.862082
17.354173,0.299119,-0.863420
17.355557,0.299766,-0.864754
17.356942,0.300418,-0.866085
17.358327,0.301075,-0.867413
17.359714,0.301735,-0.868737
17.361102,0.302400,-0.870058
17.362491,0.303068,-0.871376
17.363880,0.303741,-0.872690
17.365271,0.304419,-0.874001
17.366662,0.305100,-0.875309
17.368055,0.305785,-0.876613
17.369448,0.306475,-0.877914
17.370842,0.307169,-0.879212
17.372238,0.307867,-0.880507
17.373634,0.308569,-0.881798
17.375031,0.309275,-0.883086
17.376429,0.309986,-0.884370
17.377828,0.310700,-0.885652
17.379227,0.311419,-0.886930
17.380628,0.312142,-0.888205
17.382029,0.312869,-0.889477
17.383432,0.313599,-0.890745
17.384835,0.314334,-0.892010
17.386239,0.315074,-0.893272
17.387644,0.315817,-0.894531
17.389049,0.316564,-0.895787
17.390456,0.317315,-0.897039
17.391863,0.318070,-0.898288
17.393271,0.318830,-0.899534
17.394680,0.319593,-0.900777
17.396090,0.320360,-0.902017
17.397501,0.321132,-0.903254
17.398912,0.321907,-0.904487
17.400324,0.322686,-0.905718
17.401737,0.323470,-0.906945
17.403151,0.324257,-0.908169
17.404565,0.325048,-0.909390
17.405981,0.325844,-0.910608
17.407397,0.326643,-0.911823
17.408813,0.327446,-0.913034
17.410231,0.328253,-0.914243
17.411649,0.329064,-0.915449
17.413068,0.329879,-0.916651
17.414487,0.330698,-0.917851
17.415908,0.331521,-0.919047
17.417329,0.332348,-0.920240
17.418750,0.333178,-0.921431
17.420173,0.334013,-0.922618
17.421596,0.334851,-0.923802
17.423020,0.335694,-0.924984
17.424444,0.336540,-0.926162
17.425869,0.337390,-0.927337
17.427295,0.338244,-0.928510
17.428721,0.339101,-0.929679
17.430148,0.339963,-0.930846
17.431576,0.340828,-0.932009
17.433004,0.341697,-0.933170
17.434433,0.342571,-0.934327
17.435862,0.343447,-0.935482
17.437292,0.344328,-0.936634
17.438723,0.345212,-0.937783
17.440154,0.346101,-0.938929
17.441586,0.346993,-0.940072
17.443018,0.347889,-0.941212
17.444451,0.348788,-0.942350
17.445885,0.349691,-0.943484
17.447319,0.350599,-0.944616
17.448753,0.351509,-0.945744
17.450188,0.352424,-0.946870
17.451624,0.353342,-0.947994
17.453060,0.354264,-0.949114
17.454497,0.355190,-0.950231
17.455934,0.356119,-0.951346
17.457371,0.357053,-0.952458
17.458809,0.357989,-0.953567
17.460248,0.358930,-0.954674
17.461687,0.359874,-0.955777
17.463127,0.360822,-0.956878
17.464567,0.361774,-0.957976
17.466007,0.362729,-0.959071
17.467448,0.363688,-0.960164
17.468889,0.364650,-0.961254
17.470331,0.365617,-0.962341
17.471773,0.366586,-0.963426
17.473216,0.367560,-0.964508
17.474659,0.368537,-0.965587
17.476102,0.369518,-0.966663
17.477546,0.370502,-0.967737
17.478990,0.371490,-0.968808
17.480434,0.372481,-0.969877
17.481879,0.373476,-0.970942
17.483324,0.374475,-0.972006
17.484770,0.375477,-0.973066
17.486216,0.376483,-0.974124
17.487662,0.377492,-0.975180
17.489108,0.378505,-0.976233
17.490555,0.379522,-0.977283
17.492002,0.380542,-0.978331
17.493450,0.381565,-0.979376
17.494898,0.382592,-0.980418
17.496346,0.383623,-0.981458
17.497794,0.384657,-0.982496
17.499242,0.385695,-0.983531
17.500691,0.386736,-0.984563
17.502140,0.387780,-0.985593
17.503590,0.388828,-0.986621
17.505039,0.389880,-0.987646
17.506489,0.390935,-0.988668
17.507939,0.391994,-0.989688
17.509389,0.393055,-0.990706
17.510840,0.394121,-0.991721
17.512290,0.395190,-0.992734
17.513741,0.396262,-0.993744
17.515192,0.397338,-0.994752
17.516643,0.398417,-0.995758
17.518095,0.399500,-0.996761
