psi_m,x_m,y_m
2.807649,2.681915,-1.148770
2.810883,2.689228,-1.148035
2.814105,2.696543,-1.147282
2.817313,2.703860,-1.146510
2.820508,2.711180,-1.145721
2.823689,2.718501,-1.144912
2.826858,2.725825,-1.144086
2.830013,2.733151,-1.143241
2.833154,2.740479,-1.142378
2.836283,2.747808,-1.141497
2.839397,2.755140,-1.140597
2.842498,2.762472,-1.139680
2.845586,2.769807,-1.138744
2.848660,2.777143,-1.137790
2.851721,2.784480,-1.136818
2.854767,2.791819,-1.135828
2.857801,2.799158,-1.134819
2.860820,2.806499,-1.133793
2.863825,2.813841,-1.132749
2.866817,2.821184,-1.131687
2.869795,2.828528,-1.130607
2.872759,2.835872,-1.129510
2.875709,2.843218,-1.128394
2.878645,2.850564,-1.127261
2.881568,2.857910,-1.126110
2.884476,2.865257,-1.124941
2.887370,2.872604,-1.123755
2.890250,2.879952,-1.122551
2.893116,2.887300,-1.121330
2.895967,2.894648,-1.120091
2.898805,2.901996,-1.118835
2.901628,2.909344,-1.117561
2.904437,2.916693,-1.116270
2.907231,2.924041,-1.114962
2.910012,2.931388,-1.113636
2.912777,2.938736,-1.112293
2.915529,2.946083,-1.110933
2.918266,2.953430,-1.109556
2.920989,2.960776,-1.108162
2.923697,2.968122,-1.106751
2.926390,2.975467,-1.105323
2.929069,2.982812,-1.103878
2.931734,2.990155,-1.102416
2.934383,2.997498,-1.100938
2.937018,3.004840,-1.099443
2.939639,3.012181,-1.097931
2.942244,3.019521,-1.096402
2.944835,3.026860,-1.094857
2.947411,3.034198,-1.093296
2.949973,3.041534,-1.091718
2.952519,3.048870,-1.090124
2.955051,3.056204,-1.088513
2.957567,3.063536,-1.086887
2.960069,3.070867,-1.085244
2.962556,3.078197,-1.083585
2.965028,3.085525,-1.081909
2.967484,3.092851,-1.080218
2.969926,3.100176,-1.078511
2.972353,3.107499,-1.076789
2.974764,3.114820,-1.075050
2.977161,3.122139,-1.073296
2.979542,3.129456,-1.071526
2.981908,3.136772,-1.069740
2.984259,3.144085,-1.067939
2.986595,3.151396,-1.066123
2.988915,3.158705,-1.064291
2.991220,3.166012,-1.062444
2.993510,3.173317,-1.060581
2.995785,3.180620,-1.058704
2.998044,3.187920,-1.056811
3.000288,3.195218,-1.054904
3.002516,3.202513,-1.052981
3.004729,3.209806,-1.051044
3.006926,3.217096,-1.049091
3.009108,3.224384,-1.047125
3.011275,3.231669,-1.045143
3.013426,3.238952,-1.043147
3.015561,3.246232,-1.041136
3.017681,3.253509,-1.039111
3.019785,3.260783,-1.037072
3.021874,3.268055,-1.035018
3.023947,3.275324,-1.032950
3.026004,3.282590,-1.030868
3.028046,3.289852,-1.028772
3.030072,3.297112,-1.026662
3.032082,3.304369,-1.024539
3.034077,3.311623,-1.022401
3.036056,3.318874,-1.020250
3.038019,3.326122,-1.018085
3.039966,3.333366,-1.015906
3.041897,3.340608,-1.013714
3.043813,3.347846,-1.011509
3.045713,3.355081,-1.009290
3.047597,3.362312,-1.007058
3.049464,3.369541,-1.004813
3.051316,3.376766,-1.002555
3.053153,3.383987,-1.000284
3.054973,3.391205,-0.998000
3.056777,3.398420,-0.995703
3.058565,3.405632,-0.993394
3.060337,3.412839,-0.991071
3.062094,3.420044,-0.988737
3.063834,3.427244,-0.986389
3.065558,3.434442,-0.984030
3.067266,3.441635,-0.981658
3.068958,3.448825,-0.979274
3.070634,3.456012,-0.976878
3.072294,3.463194,-0.974469
3.073937,3.470373,-0.972049
3.075565,3.477549,-0.969617
3.077176,3.484720,-0.967173
3.078772,3.491888,-0.964717
3.080351,3.499052,-0.962250
3.081913,3.506212,-0.959771
3.083460,3.513369,-0.957281
