psi_m,x_m,y_m
1.652609,1.850243,-1.453483
1.652392,1.853765,-1.455350
1.652177,1.857285,-1.457211
1.651966,1.860804,-1.459066
1.651758,1.864321,-1.460915
1.651554,1.867836,-1.462758
1.651353,1.871350,-1.464595
1.651156,1.874863,-1.466427
1.650963,1.878374,-1.468252
1.650773,1.881883,-1.470072
1.650588,1.885392,-1.471886
1.650407,1.888898,-1.473694
1.650230,1.892404,-1.475497
1.650057,1.895908,-1.477293
1.649889,1.899410,-1.479084
1.649725,1.902912,-1.480869
1.649566,1.906412,-1.482648
1.649412,1.909911,-1.484422
1.649263,1.913409,-1.486190
1.649118,1.916905,-1.487952
1.648978,1.920400,-1.489708
1.648844,1.923895,-1.491459
1.648715,1.927388,-1.493204
1.648591,1.930880,-1.494943
1.648472,1.934371,-1.496676
1.648359,1.937861,-1.498404
1.648252,1.941350,-1.500126
1.648150,1.944838,-1.501843
1.648054,1.948325,-1.503554
1.647964,1.951811,-1.505259
1.647880,1.955296,-1.506959
1.647802,1.958780,-1.508653
1.647730,1.962264,-1.510341
1.647664,1.965747,-1.512024
1.647605,1.969229,-1.513702
1.647552,1.972710,-1.515373
1.647505,1.976191,-1.517040
1.647465,1.979671,-1.518700
1.647432,1.983150,-1.520355
1.647406,1.986629,-1.522005
1.647386,1.990107,-1.523649
1.647373,1.993584,-1.525288
1.647368,1.997061,-1.526921
1.647369,2.000537,-1.528549
1.647378,2.004013,-1.530171
1.647393,2.007489,-1.531788
1.647416,2.010964,-1.533399
1.647447,2.014439,-1.535005
1.647485,2.017913,-1.536606
1.647531,2.021387,-1.538201
1.647584,2.024861,-1.539791
1.647645,2.028335,-1.541376
1.647714,2.031808,-1.542955
1.647790,2.035281,-1.544529
1.647875,2.038754,-1.546097
1.647967,2.042227,-1.547661
1.648068,2.045699,-1.549219
1.648177,2.049172,-1.550772
1.648294,2.052644,-1.552319
1.648419,2.056117,-1.553861
1.648553,2.059589,-1.555398
1.648695,2.063062,-1.556930
1.648846,2.066534,-1.558457
1.649005,2.070007,-1.559978
1.649173,2.073480,-1.561494
1.649349,2.076953,-1.563006
1.649535,2.080426,-1.564512
1.649729,2.083899,-1.566012
1.649932,2.087373,-1.567508
1.650144,2.090847,-1.568999
1.650365,2.094321,-1.570484
1.650595,2.097795,-1.571965
1.650834,2.101270,-1.573440
1.651082,2.104746,-1.574911
1.651340,2.108221,-1.576376
1.651606,2.111697,-1.577837
1.651883,2.115174,-1.579292
1.652168,2.118651,-1.580742
1.652463,2.122129,-1.582188
1.652767,2.125607,-1.583629
1.653082,2.129086,-1.585064
1.653405,2.132566,-1.586495
1.653738,2.136046,-1.587921
1.654081,2.139527,-1.589342
1.654434,2.143008,-1.590758
1.654796,2.146491,-1.592169
1.655168,2.149974,-1.593575
1.655551,2.153458,-1.594977
1.655943,2.156943,-1.596374
1.656344,2.160429,-1.597766
1.656756,2.163915,-1.599153
1.657178,2.167403,-1.600535
1.657610,2.170891,-1.601913
1.658052,2.174381,-1.603286
1.658504,2.177872,-1.604654
1.658967,2.181363,-1.606018
1.659439,2.184856,-1.607377
1.659922,2.188350,-1.608731
1.660415,2.191845,-1.610081
1.660918,2.195341,-1.611426
1.661431,2.198839,-1.612766
1.661955,2.202338,-1.614102
1.662489,2.205838,-1.615433
1.663034,2.209339,-1.616760
1.663589,2.212841,-1.618082
1.664154,2.216345,-1.619399
1.664730,2.219851,-1.620712
1.665316,2.223358,-1.622021
1.665913,2.226866,-1.623325
1.666520,2.230376,-1.624624
1.667138,2.233887,-1.625919
1.667766,2.237400,-1.627210
1.668405,2.240914,-1.628496
1.669055,2.244430,-1.629778
1.669715,2.247947,-1.631055
1.670385,2.251467,-1.632328
