psi_bar,psi_hat,x_bar,x_hat,y_bar,y_hat,psi_m,x_m,y_m
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039540,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039540,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039540,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039540,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039540,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039540,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039541,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039541,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039542,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039542,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
-0.020000,0.020000,-0.040000,0.040000,-0.039543,0.039543,0.000000,0.000000,0.000000
