psi_bar,psi_hat,x_bar,x_hat,y_bar,y_hat,psi_m,x_m,y_m
0.002686,0.013188,-0.189834,0.091057,0.214905,0.043118,0.015091,-0.091981,0.248538
-0.008182,0.013946,-0.146312,0.084486,-0.284541,0.052257,0.005006,-0.055255,-0.241424
-0.008941,0.014380,-0.139740,0.079594,-0.293681,0.041473,0.005006,-0.055255,-0.241424
-0.009374,0.014792,-0.134849,0.074913,-0.282897,0.030365,0.005006,-0.055255,-0.241424
-0.009787,0.015209,-0.130167,0.070388,-0.271789,0.019628,0.005006,-0.055255,-0.241424
-0.010204,0.015632,-0.125642,0.066012,-0.261052,0.009271,0.005006,-0.055255,-0.241424
-0.010627,0.016060,-0.121267,0.061782,-0.250695,-0.000716,0.005006,-0.055255,-0.241424
-0.011054,0.016491,-0.117037,0.057693,-0.240708,-0.010344,0.005006,-0.055255,-0.241424
-0.011486,0.016926,-0.112947,0.053739,-0.231080,-0.019626,0.005006,-0.055255,-0.241424
-0.011920,0.017361,-0.108993,0.049916,-0.221798,-0.028571,0.005006,-0.055255,-0.241424
-0.012356,0.017798,-0.105171,0.046221,-0.212853,-0.037191,0.005006,-0.055255,-0.241424
-0.095462,0.018234,0.396832,0.042650,-0.076673,-0.045495,-0.077665,0.443054,-0.113863
-0.095899,0.016189,0.400404,0.059113,-0.068368,-0.048342,-0.077665,0.443054,-0.113863
-0.093854,0.014143,0.383940,0.075695,-0.065521,-0.050896,-0.077665,0.443054,-0.113863
-0.091808,0.012134,0.367358,0.091741,-0.062967,-0.053341,-0.077665,0.443054,-0.113863
-0.089799,0.010161,0.351313,0.107246,-0.060522,-0.055686,-0.077665,0.443054,-0.113863
-0.087825,0.008223,0.335808,0.122227,-0.058177,-0.057934,-0.077665,0.443054,-0.113863
-0.085888,0.006320,0.320826,0.136702,-0.055929,-0.060089,-0.077665,0.443054,-0.113863
-0.083985,0.004452,0.306352,0.150686,-0.053774,-0.062155,-0.077665,0.443054,-0.113863
-0.082117,0.002617,0.292368,0.164196,-0.051708,-0.064133,-0.077665,0.443054,-0.113863
-0.080282,0.000815,0.278858,0.177246,-0.049730,-0.066028,-0.077665,0.443054,-0.113863
-0.007749,-0.000955,-0.456832,0.189852,-0.236217,-0.067843,-0.006935,-0.279586,-0.302245
-0.005980,-0.000571,-0.469438,0.173131,-0.234402,-0.077224,-0.006935,-0.279586,-0.302245
-0.006363,-0.000156,-0.452717,0.155994,-0.225021,-0.086537,-0.006935,-0.279586,-0.302245
-0.006778,0.000259,-0.435580,0.139394,-0.215708,-0.095513,-0.006935,-0.279586,-0.302245
-0.007194,0.000674,-0.418980,0.123346,-0.206732,-0.104154,-0.006935,-0.279586,-0.302245
-0.007609,0.001088,-0.402932,0.107831,-0.198091,-0.112471,-0.006935,-0.279586,-0.302245
-0.008023,0.001501,-0.387418,0.092834,-0.189774,-0.120475,-0.006935,-0.279586,-0.302245
-0.008436,0.001912,-0.372420,0.078337,-0.181770,-0.128176,-0.006935,-0.279586,-0.302245
-0.008847,0.002320,-0.357923,0.064324,-0.174069,-0.135584,-0.006935,-0.279586,-0.302245
-0.009254,0.002724,-0.343911,0.050780,-0.166661,-0.142709,-0.006935,-0.279586,-0.302245
0.134822,0.003125,-0.252524,0.037690,0.324272,-0.149560,0.137546,-0.201744,0.181563
0.134421,0.007856,-0.239433,0.028117,0.331123,-0.136873,0.137546,-0.201744,0.181563
0.129690,0.012582,-0.229860,0.018967,0.318436,-0.123917,0.137546,-0.201744,0.181563
0.124963,0.017210,-0.220710,0.010124,0.305480,-0.111384,0.137546,-0.201744,0.181563
0.120336,0.021739,-0.211868,0.001576,0.292947,-0.099283,0.137546,-0.201744,0.181563
0.115807,0.026171,-0.203320,-0.006688,0.280846,-0.087603,0.137546,-0.201744,0.181563
0.111374,0.030510,-0.195056,-0.014676,0.269166,-0.076330,0.137546,-0.201744,0.181563
0.107036,0.034756,-0.187068,-0.022398,0.257892,-0.065451,0.137546,-0.201744,0.181563
0.102790,0.038912,-0.179346,-0.029862,0.247014,-0.054955,0.137546,-0.201744,0.181563
0.098634,0.042981,-0.171882,-0.037076,0.236518,-0.044830,0.137546,-0.201744,0.181563
-0.151652,0.046965,-0.095152,-0.044050,0.059541,-0.035065,-0.108671,-0.132228,0.014711
-0.155635,0.043478,-0.088179,-0.048092,0.049775,-0.032369,-0.108671,-0.132228,0.014711
-0.152149,0.039910,-0.084136,-0.051921,0.047080,-0.030026,-0.108671,-0.132228,0.014711
-0.148581,0.036397,-0.080307,-0.055611,0.044736,-0.027774,-0.108671,-0.132228,0.014711
-0.145067,0.032939,-0.076617,-0.059169,0.042485,-0.025605,-0.108671,-0.132228,0.014711
-0.141609,0.029537,-0.073059,-0.062599,0.040315,-0.023513,-0.108671,-0.132228,0.014711
-0.138207,0.026189,-0.069629,-0.065906,0.038224,-0.021498,-0.108671,-0.132228,0.014711
-0.134860,0.022897,-0.066322,-0.069094,0.036209,-0.019557,-0.108671,-0.132228,0.014711
-0.131568,0.019659,-0.063134,-0.072166,0.034268,-0.017688,-0.108671,-0.132228,0.014711
-0.128330,0.016475,-0.060062,-0.075126,0.032399,-0.015887,-0.108671,-0.132228,0.014711
-0.060419,0.013344,-0.349915,-0.077979,0.027979,-0.014154,-0.043945,-0.425041,0.012092
-0.057288,0.012207,-0.347062,-0.092409,0.026246,-0.012561,-0.043945,-0.425041,0.012092
-0.056152,0.011123,-0.332632,-0.106738,0.024653,-0.011030,-0.043945,-0.425041,0.012092
-0.055068,0.010057,-0.318303,-0.120591,0.023122,-0.009560,-0.043945,-0.425041,0.012092
-0.054001,0.009008,-0.304450,-0.133970,0.021652,-0.008147,-0.043945,-0.425041,0.012092
-0.052952,0.007976,-0.291071,-0.146891,0.020239,-0.006790,-0.043945,-0.425041,0.012092
-0.051920,0.006961,-0.278150,-0.159368,0.018882,-0.005487,-0.043945,-0.425041,0.012092
-0.050905,0.005963,-0.265673,-0.171416,0.017579,-0.004237,-0.043945,-0.425041,0.012092
-0.049908,0.004982,-0.253625,-0.183049,0.016329,-0.003037,-0.043945,-0.425041,0.012092
-0.048927,0.004019,-0.241992,-0.194280,0.015129,-0.001886,-0.043945,-0.425041,0.012092
0.002959,0.003072,0.080351,-0.205123,0.003991,-0.000782,0.006978,-0.113930,0.002105
0.003906,0.003669,0.091193,-0.203117,0.002887,-0.000061,0.006978,-0.113930,0.002105
0.003309,0.004283,0.089188,-0.200748,0.002166,0.000620,0.006978,-0.113930,0.002105
0.002695,0.004887,0.086818,-0.198434,0.001485,0.001270,0.006978,-0.113930,0.002105
0.002091,0.005483,0.084504,-0.196186,0.000835,0.001891,0.006978,-0.113930,0.002105
0.001495,0.006069,0.082257,-0.194004,0.000214,0.002484,0.006978,-0.113930,0.002105
0.000909,0.006645,0.080074,-0.191885,-0.000379,0.003050,0.006978,-0.113930,0.002105
0.000333,0.007213,0.077955,-0.189826,-0.000945,0.003590,0.006978,-0.113930,0.002105
-0.000235,0.007772,0.075896,-0.187827,-0.001485,0.004105,0.006978,-0.113930,0.002105
-0.000794,0.008321,0.073897,-0.185885,-0.002000,0.004596,0.006978,-0.113930,0.002105
-0.000495,0.008862,0.099336,-0.183999,-0.074963,0.005064,0.007826,-0.086549,-0.070368
-0.001036,0.009420,0.097449,-0.181070,-0.075431,0.002612,0.007826,-0.086549,-0.070368
-0.001594,0.009970,0.094521,-0.178194,-0.072979,0.000138,0.007826,-0.086549,-0.070368
-0.002143,0.010513,0.091645,-0.175404,-0.070506,-0.002254,0.007826,-0.086549,-0.070368
-0.002687,0.011051,0.088855,-0.172699,-0.068114,-0.004565,0.007826,-0.086549,-0.070368
-0.003224,0.011582,0.086149,-0.170075,-0.065803,-0.006796,0.007826,-0.086549,-0.070368
